Date,ACWI ex SINGAPORE
2015-12-11,2093.719008070695
2015-12-14,2081.017143016522
2015-12-15,2120.333319167605
2015-12-16,2144.5329186740655
2015-12-17,2152.6357251892846
2015-12-18,2122.9327407779087
2015-12-21,2115.3638032822523
2015-12-22,2119.913034074586
2015-12-23,2164.2193125990925
2015-12-24,2151.7686941046663
2015-12-25,2151.0133063571743
2015-12-28,2144.2578809401907
2015-12-29,2175.4622877762636
2015-12-30,2161.1401058359806
2015-12-31,2155.919176777777
2016-01-01,2155.938586066702
2016-01-04,2123.307563830083
2016-01-05,2139.747516380758
2016-01-06,2107.7909007777002
2016-01-07,2046.4436969233295
2016-01-08,2015.718693680132
2016-01-11,2016.419259356109
2016-01-12,2026.5527419609807
2016-01-13,2003.378830390265
2016-01-14,2009.4014644802462
2016-01-15,1952.4423541834872
2016-01-18,1956.6059774465402
2016-01-19,1962.7410441050285
2016-01-20,1923.9883570241743
2016-01-21,1943.32350398969
2016-01-22,1994.8016631470414
2016-01-25,1976.2953167393366
2016-01-26,1988.6796304888464
2016-01-27,1981.6922434698208
2016-01-28,1972.4860571936022
2016-01-29,2034.1319865285607
2016-02-01,2025.9768833083924
2016-02-02,1988.7186493007023
2016-02-03,1962.6109953176267
2016-02-04,1955.2412531510813
2016-02-05,1931.0978032675946
2016-02-08,1900.0101001753353
2016-02-09,1860.4900243774766
2016-02-10,1878.1283307741749
2016-02-11,1829.2988232730154
2016-02-12,1865.1167735933711
2016-02-15,1905.6808941409313
2016-02-16,1925.4845816783434
2016-02-17,1956.7876256572456
2016-02-18,1964.9694019027645
2016-02-19,1956.4131621523863
2016-02-22,1995.6939090401027
2016-02-23,1975.0950642410614
2016-02-24,1966.601466981387
2016-02-25,1987.3063125762571
2016-02-26,2008.5480444949699
2016-02-29,2011.4154040317387
2016-03-01,2049.0454905965053
2016-03-02,2074.4725208869313
2016-03-03,2069.902503024797
2016-03-04,2069.7232156351233
2016-03-07,2074.939052332778
2016-03-08,2044.141714607506
2016-03-09,2057.646949444416
2016-03-10,2032.0254786623234
2016-03-11,2065.919698814085
2016-03-14,2077.8316446718704
2016-03-15,2064.070825865696
2016-03-16,2073.971485538502
2016-03-17,2060.4950797470146
2016-03-18,2070.583283894389
2016-03-21,2075.1851405596326
2016-03-22,2081.7037068223995
2016-03-23,2075.0527737314364
2016-03-24,2065.0827355920133
2016-03-25,2066.473813162438
2016-03-28,2061.7075237148183
2016-03-29,2078.6179115714112
2016-03-30,2071.4809407075545
2016-03-31,2059.6387481105116
2016-04-01,2057.4537724412194
2016-04-04,2051.8544418366705
2016-04-05,2024.5431942781054
2016-04-06,2040.8385660313372
2016-04-07,2026.7454256604722
2016-04-08,2036.0671657546902
2016-04-11,2031.7611594096682
2016-04-12,2059.2629680055275
2016-04-13,2104.4219967384483
2016-04-14,2115.4443494228335
2016-04-15,2107.590552755571
2016-04-18,2106.6404030006324
2016-04-19,2119.925285607021
2016-04-20,2129.4605151658257
2016-04-21,2133.8277059789957
2016-04-22,2136.2565912094283
2016-04-25,2125.6420363941706
2016-04-26,2122.783191188165
2016-04-27,2123.090252433306
2016-04-28,2113.1709911202042
2016-04-29,2079.5453765885177
2016-05-02,2073.275472834567
2016-05-03,2050.2159003165343
2016-05-04,2036.8574864360276
2016-05-05,2049.8891138678123
2016-05-06,2047.2855124898892
2016-05-09,2050.443818820444
2016-05-10,2074.725650525876
2016-05-11,2058.5956473874926
2016-05-12,2060.2234010244038
2016-05-13,2061.118932893717
2016-05-16,2070.110828511574
2016-05-17,2062.864965874155
2016-05-18,2071.0700828272456
2016-05-19,2066.7170179622162
2016-05-20,2080.333774557194
2016-05-23,2079.2518999096455
2016-05-24,2108.1151549078313
2016-05-25,2131.060831254347
2016-05-26,2128.2435358975426
2016-05-27,2144.511678902861
2016-05-30,2144.1291032410563
2016-05-31,2142.6445147580694
2016-06-01,2133.1041506110664
2016-06-02,2137.50208084871
2016-06-03,2112.146895448252
2016-06-06,2116.598183627997
2016-06-07,2131.1210509326506
2016-06-08,2131.3404431403173
2016-06-09,2131.055981588265
2016-06-10,2106.3244107084456
2016-06-13,2080.040084475872
2016-06-14,2077.8266042532277
2016-06-15,2078.4683257897295
2016-06-16,2086.5404249035464
2016-06-17,2078.1017294246694
2016-06-20,2098.0089965118127
2016-06-21,2116.88617389564
2016-06-22,2115.121904664099
2016-06-23,2131.128979141607
2016-06-24,2072.369870828593
2016-06-27,2052.572067048041
2016-06-28,2073.856856760038
2016-06-29,2109.7406061066445
2016-06-30,2133.6193548810975
