Date,ACWI ex FRANCE
2015-12-11,2105.9808794281143
2015-12-14,2093.9712634208886
2015-12-15,2132.5966032978076
2015-12-16,2157.5394764786774
2015-12-17,2165.163182226432
2015-12-18,2135.267199618234
2015-12-21,2128.275893084645
2015-12-22,2132.962102473071
2015-12-23,2177.363575629504
2015-12-24,2164.60780758964
2015-12-25,2163.824700257844
2015-12-28,2157.4422756600575
2015-12-29,2188.5164538715285
2015-12-30,2174.0089173437264
2015-12-31,2169.250584891318
2016-01-01,2169.2707068697814
2016-01-04,2137.09176514543
2016-01-05,2153.9319064997144
2016-01-06,2121.55738691303
2016-01-07,2058.8331286990237
2016-01-08,2028.022964054694
2016-01-11,2029.0122324944123
2016-01-12,2038.4326499172644
2016-01-13,2014.2047165680963
2016-01-14,2021.5434597978092
2016-01-15,1963.949755543684
2016-01-18,1968.590724954145
2016-01-19,1973.7575934505194
2016-01-20,1935.6362592981582
2016-01-21,1954.3991143770932
2016-01-22,2005.843812218504
2016-01-25,1986.951925327897
2016-01-26,1998.9900808875632
2016-01-27,1991.2966874949734
2016-01-28,1982.6818860014437
2016-01-29,2045.3163919363512
2016-02-01,2036.9197676068281
2016-02-02,1999.8931537060423
2016-02-03,1973.590193118874
2016-02-04,1966.0153079395668
2016-02-05,1941.6485664022828
2016-02-08,1911.6142734625491
2016-02-09,1871.6957622519717
2016-02-10,1888.9590951127407
2016-02-11,1840.7200031190773
2016-02-12,1876.4186879478907
2016-02-15,1916.7592949704228
2016-02-16,1937.3908561809892
2016-02-17,1967.8435206024246
2016-02-18,1976.414573071025
2016-02-19,1967.8151893001034
2016-02-22,2007.4539114820038
2016-02-23,1986.9807754132448
2016-02-24,1979.3179816151157
2016-02-25,1999.4170125294788
2016-02-26,2020.6473148490197
2016-02-29,2023.103577488256
2016-03-01,2061.214222157192
2016-03-02,2087.574257074076
2016-03-03,2083.1828346036814
2016-03-04,2082.5771355172787
2016-03-07,2088.226057316847
2016-03-08,2056.610781171392
2016-03-09,2070.478696175133
2016-03-10,2044.9453835019904
2016-03-11,2077.9233689543053
2016-03-14,2090.0761643146857
2016-03-15,2076.2515190277995
2016-03-16,2086.694939292034
2016-03-17,2073.177672862474
