Date,SELECT OECD COUNTRIES
1998-12-31,1000.0
1999-01-01,1000.0002106560322
1999-01-04,1005.6511945199035
1999-01-05,1017.3924073904228
1999-01-06,1042.0403059287664
1999-01-07,1042.5302301385711
1999-01-08,1052.3004752534464
1999-01-11,1044.7466352450099
1999-01-12,1026.0366294021928
1999-01-13,998.57933370621
1999-01-14,992.0581966713235
1999-01-15,1016.7619236439784
1999-01-18,1024.8184111538558
1999-01-19,1026.618987114322
1999-01-20,1035.8425778498197
1999-01-21,1022.8997969663286
1999-01-22,1007.5708696085643
1999-01-25,1014.7195752087345
1999-01-26,1024.1352050774192
1999-01-27,1025.5849659696744
1999-01-28,1043.1163037234835
1999-01-29,1056.862677127952
1999-02-01,1062.98671344214
1999-02-02,1053.9185192345406
1999-02-03,1053.6816519122542
1999-02-04,1046.4842880038889
1999-02-05,1039.5719090218224
1999-02-08,1041.251798829313
1999-02-09,1017.0243479736632
1999-02-10,1016.1752974059959
1999-02-11,1035.9947155785296
1999-02-12,1031.6813111630988
1999-02-15,1035.5723445050003
1999-02-16,1043.979392440359
1999-02-17,1029.429565292982
1999-02-18,1035.482460195598
1999-02-19,1046.4031319304104
1999-02-22,1070.66579112043
1999-02-23,1079.1829374668173
1999-02-24,1075.867573557336
1999-02-25,1061.8784810960437
1999-02-26,1063.4862235134476
1999-03-01,1059.4329532640575
1999-03-02,1054.6107814189434
1999-03-03,1052.6939854648426
1999-03-04,1069.1017017512272
1999-03-05,1093.6778300434862
1999-03-08,1093.7891592930969
1999-03-09,1095.8377708326968
1999-03-10,1097.8414866895714
1999-03-11,1117.8623405911662
1999-03-12,1109.7753168029733
1999-03-15,1117.0178173589534
1999-03-16,1123.202644765298
1999-03-17,1110.7310720421217
1999-03-18,1117.0222526611462
1999-03-19,1122.388000141149
1999-03-22,1120.1336902205458
1999-03-23,1097.7657649763896
1999-03-24,1092.8434684608353
1999-03-25,1113.8749478297068
1999-03-26,1119.5959632145584
1999-03-29,1139.0589576636055
1999-03-30,1130.254405819986
1999-03-31,1126.0108388666877
1999-04-01,1131.4685413078676
1999-04-02,1132.5877812128101
1999-04-05,1149.7546178275252
1999-04-06,1152.462303782394
1999-04-07,1156.3126248229441
1999-04-08,1165.840513561542
1999-04-09,1173.1425736605338
1999-04-12,1170.2510055632592
1999-04-13,1176.5667891051792
1999-04-14,1166.6791985699094
1999-04-15,1166.5372384135815
1999-04-16,1166.639341506208
1999-04-19,1164.9178087295156
1999-04-20,1159.6906796156798
1999-04-21,1177.5576608433378
1999-04-22,1192.4271984382544
1999-04-23,1189.6063152959716
1999-04-26,1198.8607669841706
1999-04-27,1201.5991713567505
1999-04-28,1196.946726002468
1999-04-29,1194.1432915881308
1999-04-30,1191.1615368889823
1999-05-03,1202.2665495123122
1999-05-04,1187.5755985626529
1999-05-05,1183.4564592049112
1999-05-06,1172.3685059716
1999-05-07,1172.8721836072918
