Date,AC FAR EAST ex JP ESG UNIVERSAL ex TC
2013-05-31,1000.0
2013-06-03,988.3946918952134
2013-06-04,989.4471980979132
2013-06-05,979.5910599492639
2013-06-06,963.3792086654386
2013-06-07,954.184411310688
2013-06-10,954.914831654135
2013-06-11,935.3773186047526
2013-06-12,929.7754072802408
2013-06-13,915.6946168351836
2013-06-14,924.5243909946992
2013-06-17,929.4474237988409
2013-06-18,927.7478712279171
2013-06-19,921.9909856723565
2013-06-20,909.6357477707011
2013-06-21,901.77373363524
2013-06-24,886.3351987213143
2013-06-25,887.2424602220991
2013-06-26,908.7876834805742
2013-06-27,923.5677340744704
2013-06-28,944.103660619261
2013-07-01,940.2729404496304
2013-07-02,937.3353348251785
2013-07-03,921.8004221656249
2013-07-04,933.0864647618567
2013-07-05,945.7701549101405
2013-07-08,926.7969725061394
2013-07-09,940.1142806114157
2013-07-10,942.8116840025507
2013-07-11,959.165085630285
2013-07-12,955.8964657511021
2013-07-15,958.67891868331
2013-07-16,952.4973726820447
2013-07-17,957.8214743806093
2013-07-18,953.4867524743978
2013-07-19,945.6419117048006
2013-07-22,944.5373987920102
2013-07-23,959.7093306254094
2013-07-24,960.0907625419186
2013-07-25,955.5376331187521
2013-07-26,956.2429971990373
2013-07-29,949.7487043697695
2013-07-30,955.3705560028845
2013-07-31,946.9962721264673
2013-08-01,954.6030966183486
2013-08-02,953.206872807792
2013-08-05,959.2142327612115
2013-08-06,947.7431349907224
2013-08-07,935.4441773245945
2013-08-08,934.3626460261556
2013-08-09,938.4650686637293
2013-08-12,950.0688377350285
2013-08-13,965.8646255798354
2013-08-14,963.8685491569233
2013-08-15,961.3730608620302
2013-08-16,954.6773959048867
2013-08-19,945.3834274685197
2013-08-20,921.678746727681
2013-08-21,919.8142534713838
2013-08-22,916.0700209205235
2013-08-23,917.7831453716209
2013-08-26,923.9937862353041
2013-08-27,913.7287674635356
2013-08-28,910.5733672347151
2013-08-29,931.9518933249268
2013-08-30,942.2343687694535
2013-09-02,951.9954850319156
2013-09-03,960.2805317903743
2013-09-04,954.3618901192299
2013-09-05,967.001377768092
2013-09-06,965.6088839792225
2013-09-09,973.213246295773
2013-09-10,984.95986529131
2013-09-11,983.5903241479964
2013-09-12,983.0778891615468
2013-09-13,981.6535090700958
2013-09-16,992.1687694410974
2013-09-17,990.9662319856152
2013-09-18,987.5818836825583
2013-09-19,988.6978619980339
2013-09-20,988.8186617053342
2013-09-23,992.3615665194294
2013-09-24,986.4926058214058
2013-09-25,982.8278773536313
2013-09-26,981.7326366358575
2013-09-27,979.9583725908388
2013-09-30,967.2260466698605
2013-10-01,971.6851621576288
2013-10-02,970.9322266348183
2013-10-03,977.4538257239379
2013-10-04,979.0511035641114
2013-10-07,977.2985594381314
2013-10-08,982.0894200238025
2013-10-09,984.6006143051555
2013-10-10,985.2694831950876
2013-10-11,992.6754271407611
