Date,AC EUROPE
2000-12-29,100.0
2001-01-01,100.00000005351748
2001-01-02,98.6702315834807
2001-01-03,97.5153455336237
2001-01-04,99.41040567557579
2001-01-05,98.8274082314485
2001-01-08,98.41404350086583
2001-01-09,97.70648701957934
2001-01-10,97.21299822471376
2001-01-11,98.21696670854078
2001-01-12,98.85085600977659
2001-01-15,99.18641598314086
2001-01-16,97.90362412934948
2001-01-17,100.29076112827879
2001-01-18,99.75302026748432
2001-01-19,99.64126915799685
2001-01-22,99.62765971782093
2001-01-23,99.45794578830186
2001-01-24,100.51755461014304
2001-01-25,100.91080879097595
2001-01-26,100.71871687024144
2001-01-29,100.92232625494646
2001-01-30,100.7863255923521
2001-01-31,101.10683804504035
2001-02-01,100.04061009005352
2001-02-02,99.5360692668234
2001-02-05,99.26752358900742
2001-02-06,99.91177311755544
2001-02-07,98.66022187255149
2001-02-08,98.82147357537592
2001-02-09,97.43311002272627
2001-02-12,98.1560898101676
2001-02-13,98.3068983794828
2001-02-14,97.29441988199208
2001-02-15,98.57527631347386
2001-02-16,96.42835671660178
2001-02-19,96.05443903629471
2001-02-20,95.48833102807696
2001-02-21,94.50462175316969
2001-02-22,94.06314867490114
2001-02-23,92.51147476876967
2001-02-26,93.20365919350661
2001-02-27,93.31220229431081
2001-02-28,93.11060216981252
2001-03-01,92.25019712570882
2001-03-02,92.22161449389932
2001-03-05,93.35706245655346
2001-03-06,94.55344811717208
2001-03-07,94.6065431398681
2001-03-08,94.07000885905995
2001-03-09,93.05436797170417
2001-03-12,90.93045889572538
2001-03-13,90.07108156588924
2001-03-14,88.76089171853772
2001-03-15,90.2884409015263
2001-03-16,88.11483576022488
2001-03-19,87.50028216800538
2001-03-20,88.8003361801619
2001-03-21,87.19858712247326
2001-03-22,83.74902219110666
2001-03-23,85.52983697881544
2001-03-26,88.33503669745033
2001-03-27,90.15131890490093
2001-03-28,89.01969683954107
2001-03-29,89.24834127516885
2001-03-30,89.6370134690191
2001-04-02,89.30375524467117
2001-04-03,86.54811842617654
2001-04-04,86.75569484136562
2001-04-05,88.84006074361996
2001-04-06,88.5384991792921
2001-04-09,89.77204096240658
2001-04-10,91.95880396957061
2001-04-11,92.2883567674503
2001-04-12,92.1069091287981
2001-04-13,92.11388899575812
2001-04-16,92.33217068237543
2001-04-17,91.9187076682133
2001-04-18,94.57421143489579
2001-04-19,94.13993494547982
2001-04-20,93.23853203149167
2001-04-23,92.53348329368728
2001-04-24,92.95772617403645
2001-04-25,92.76645412839099
2001-04-26,93.29054016910072
2001-04-27,94.85576740531114
2001-04-30,95.83589982254925
2001-05-01,95.52828477085237
2001-05-02,95.07994703070008
2001-05-03,93.25012084814753
2001-05-04,93.8991018428121
2001-05-07,94.50832537105853
2001-05-08,94.58938372380608
2001-05-09,94.01139352356147
2001-05-10,95.72096807926886
2001-05-11,95.34965883246956
2001-05-14,93.78587596758629
2001-05-15,94.72942897731437
2001-05-16,94.77748613396942
2001-05-17,95.74819608857116
2001-05-18,96.457270629408
2001-05-21,97.05268653726048
2001-05-22,97.81196414462767
2001-05-23,97.0965037060422
2001-05-24,97.2155472867639
2001-05-25,96.74295268299207
2001-05-28,96.73222837573428
2001-05-29,96.24850598161386
2001-05-30,94.97409769519884
2001-05-31,95.39469653785763
2001-06-01,95.25125807021706
2001-06-04,95.60824444179316
2001-06-05,96.61914918801405
2001-06-06,95.97535540168458
2001-06-07,95.66768173204933
2001-06-08,95.54912603930087
2001-06-11,94.72036815824038
2001-06-12,92.78686702409955
2001-06-13,93.52976390939205
2001-06-14,92.36014027967406
2001-06-15,91.57445090573526
2001-06-18,90.78522556668054
2001-06-19,91.13281319884751
2001-06-20,90.83229949593581
2001-06-21,90.84145371770961
2001-06-22,91.1921522042886
2001-06-25,91.00285638769473
2001-06-26,89.62612215619095
2001-06-27,89.6887270953821
2001-06-28,91.01351074830289
2001-06-29,91.88729985147577
2001-07-02,93.19907173521942
2001-07-03,92.03147587002182
2001-07-04,91.45283897676002
2001-07-05,90.93131977526366
2001-07-06,88.90444932126675
2001-07-09,88.76803748460519
2001-07-10,88.12297209043724
2001-07-11,86.86021621515201
2001-07-12,88.11030234762885
2001-07-13,88.66069241124353
2001-07-16,88.16196435490977
2001-07-17,87.40265419244948
2001-07-18,86.19268678448383
2001-07-19,87.57489264605525
2001-07-20,86.84575057737551
2001-07-23,87.23787616201594
2001-07-24,85.94650737876185
2001-07-25,84.79153402118499
2001-07-26,85.52894759914466
2001-07-27,87.1350779386517
2001-07-30,88.0519778592715
2001-07-31,89.00174291031774
2001-08-01,89.24560340717515
2001-08-02,89.27271976369862
2001-08-03,88.41579702715572
2001-08-06,88.448875460163
2001-08-07,88.65208894000993
2001-08-08,87.5949217620641
2001-08-09,85.84289094840736
2001-08-10,85.15974466722233
2001-08-13,85.55597157281825
2001-08-14,86.61779789778846
2001-08-15,85.97705805283306
2001-08-16,85.05442892805908
2001-08-17,83.70700417404545
2001-08-20,83.79423410809541
2001-08-21,84.70444583029239
2001-08-22,84.40102558149614
2001-08-23,84.68580045427987
2001-08-24,85.95711024507122
2001-08-27,86.11138257839656
2001-08-28,85.13746421217739
2001-08-29,84.96026766010007
2001-08-30,83.35217792648328
2001-08-31,83.52067559552972
2001-09-03,82.65379843595362
2001-09-04,83.84985678766
2001-09-05,82.75274257216518
2001-09-06,80.91035348561743
2001-09-07,78.9120186283665
2001-09-10,78.21628428916117
2001-09-11,73.44266253775645
2001-09-12,74.673457859946
2001-09-13,75.41285127021965
2001-09-14,71.57232048090412
