Date,ACWI ex INDONESIA
2015-12-11,2094.4516891533735
2015-12-14,2081.7733342376087
2015-12-15,2121.0073218617704
2015-12-16,2145.1349958116466
2015-12-17,2153.1148103569817
2015-12-18,2123.581717456844
2015-12-21,2115.9619280157435
2015-12-22,2120.45972303778
2015-12-23,2164.756202196534
2015-12-24,2152.3412254912473
2015-12-25,2151.5870603736757
2015-12-28,2144.765865798872
2015-12-29,2175.967908867893
2015-12-30,2161.653508779375
2015-12-31,2156.4245156579427
2016-01-01,2156.443893429317
2016-01-04,2123.765468818586
2016-01-05,2140.1290487030624
2016-01-06,2108.017629271651
2016-01-07,2046.6236730938601
2016-01-08,2015.9358150585076
2016-01-11,2016.6532011930394
2016-01-12,2026.6227079537366
2016-01-13,2003.438308671216
2016-01-14,2009.323393371494
2016-01-15,1952.3805360434603
2016-01-18,1956.5125613340924
2016-01-19,1962.7509129909224
2016-01-20,1923.9019954432645
2016-01-21,1943.1694244432194
2016-01-22,1994.6638371677204
2016-01-25,1976.1470151282722
2016-01-26,1988.4253492851362
2016-01-27,1981.3374384951894
2016-01-28,1972.1784141664712
2016-01-29,2033.9154644948392
2016-02-01,2025.6046960333404
2016-02-02,1988.3958343344925
2016-02-03,1962.2616301883168
2016-02-04,1954.910657273543
2016-02-05,1930.7521823469233
2016-02-08,1899.7065500876643
2016-02-09,1860.3271766915645
2016-02-10,1877.8159453613566
2016-02-11,1828.8424862758245
2016-02-12,1864.7228256768724
2016-02-15,1905.3864096066495
2016-02-16,1925.2488923313392
2016-02-17,1956.39987660178
2016-02-18,1964.7222026068423
2016-02-19,1956.3068978699978
2016-02-22,1995.5834855641958
2016-02-23,1975.0751476254918
2016-02-24,1966.4180998788001
2016-02-25,1987.0589744938854
2016-02-26,2008.2974270614397
2016-02-29,2011.179762117183
2016-03-01,2048.7843677818137
2016-03-02,2074.2410469154242
2016-03-03,2069.8844124857515
2016-03-04,2069.9020785189286
2016-03-07,2075.062563765438
2016-03-08,2044.157839431567
2016-03-09,2057.7903518959565
2016-03-10,2032.1290615757387
2016-03-11,2066.0468017319886
