Date,ACWI ex SOUTH AFRICA
2015-12-11,2086.7468666018676
2015-12-14,2073.0714932561373
2015-12-15,2111.727141685618
2015-12-16,2136.026266962215
2015-12-17,2143.727826095463
2015-12-18,2114.268085476667
2015-12-21,2106.6362248714663
2015-12-22,2111.165167541649
2015-12-23,2155.074015533107
2015-12-24,2142.739601183912
2015-12-25,2141.9855554053493
2015-12-28,2135.259357537214
2015-12-29,2166.444969985384
2015-12-30,2152.5725197185848
2015-12-31,2147.273590421632
2016-01-01,2147.2929652033176
2016-01-04,2115.0099336009966
2016-01-05,2131.212259988718
2016-01-06,2099.504696446092
2016-01-07,2038.5994140990258
2016-01-08,2008.194447562383
2016-01-11,2009.2574861893102
2016-01-12,2019.058835575176
2016-01-13,1995.8184689352588
2016-01-14,2001.9184879560132
2016-01-15,1945.5767694040185
2016-01-18,1949.6290517825503
2016-01-19,1955.631830119555
2016-01-20,1917.1776409193562
2016-01-21,1936.2109579539524
2016-01-22,1987.2617806590142
2016-01-25,1968.9039551695982
2016-01-26,1980.978225839509
2016-01-27,1973.8342050436013
2016-01-28,1964.288515894892
2016-01-29,2025.3696204756086
2016-02-01,2017.3953938259963
2016-02-02,1980.6554391285624
2016-02-03,1954.5757922998148
2016-02-04,1946.6766492936229
2016-02-05,1922.9010907318016
2016-02-08,1892.1403328502522
2016-02-09,1853.0607916447475
2016-02-10,1870.2583439964203
2016-02-11,1821.5798173546686
2016-02-12,1857.1141784724987
2016-02-15,1897.2997335648688
2016-02-16,1917.2299762565003
2016-02-17,1947.9642311693306
2016-02-18,1956.0312405744696
2016-02-19,1947.9619625874166
2016-02-22,1986.8924281323273
2016-02-23,1966.518177972777
2016-02-24,1958.3445704404307
2016-02-25,1978.8397869817002
2016-02-26,2000.3345709498258
2016-02-29,2002.9528156971164
2016-03-01,2040.1456727049253
2016-03-02,2065.4079231622754
2016-03-03,2060.915610799654
2016-03-04,2060.8032487158716
2016-03-07,2065.694053474678
2016-03-08,2035.0326109199045
2016-03-09,2048.719323090994
2016-03-10,2023.3380542030986
2016-03-11,2057.052256287405
2016-03-14,2069.1598226950628
2016-03-15,2055.7986622676667
2016-03-16,2065.6792790093796
2016-03-17,2051.4686560285527
2016-03-18,2061.34699289833
2016-03-21,2065.7278297559837
2016-03-22,2072.1896855817604
2016-03-23,2065.9343766630936
2016-03-24,2056.108403402289
2016-03-25,2057.4970187107374
2016-03-28,2052.773554010349
2016-03-29,2069.593265616894
2016-03-30,2062.0050122891753
2016-03-31,2049.955514793844
2016-04-01,2047.9860051375997
2016-04-04,2042.2115251327375
2016-04-05,2015.3364890986718
2016-04-06,2031.9291577171068
2016-04-07,2017.868604638108
2016-04-08,2026.7471961943143
2016-04-11,2022.2863882751974
2016-04-12,2049.4563973563886
2016-04-13,2094.3611743624133
2016-04-14,2105.306248214662
2016-04-15,2097.656445033851
2016-04-18,2096.5747327615654
2016-04-19,2109.866838253544
2016-04-20,2119.2060234169453
2016-04-21,2123.6258573197365
2016-04-22,2126.2990669888313
2016-04-25,2115.6867916504893
2016-04-26,2112.7155376834003
2016-04-27,2113.079771965457
2016-04-28,2102.757321512601
2016-04-29,2069.266023868334
2016-05-02,2063.1745594523854
2016-05-03,2040.8012941942204
2016-05-04,2027.5915714584903
2016-05-05,2040.6777971313782
2016-05-06,2038.065198260712
2016-05-09,2041.4868514864002
