Date,AC FAR EAST ex JAPAN ex HK
2000-12-29,100.00000000000001
2001-01-01,99.91308735437124
2001-01-02,100.06603444561854
2001-01-03,98.92099684737025
2001-01-04,103.54286842095135
2001-01-05,105.9529675819538
2001-01-08,106.34982535280069
2001-01-09,109.20929420175221
2001-01-10,107.94949047836303
2001-01-11,105.29699965527882
2001-01-12,107.19939645626387
2001-01-15,109.07500455312635
2001-01-16,110.90260608324681
2001-01-17,112.42686432842694
2001-01-18,111.65291860165551
2001-01-19,114.85482704661125
2001-01-22,116.06743570802023
2001-01-23,115.49159123526933
2001-01-24,117.56727374405901
2001-01-25,118.14045192672049
2001-01-26,116.00810634857868
2001-01-29,116.06705619868146
2001-01-30,116.10134955472294
2001-01-31,118.92115318675077
2001-02-01,116.90979419215232
2001-02-02,118.65977573012353
2001-02-05,114.43747915372053
2001-02-06,115.36219968704945
2001-02-07,113.70006235172683
2001-02-08,116.46518000880776
2001-02-09,116.34354875906807
2001-02-12,115.78184993060401
2001-02-13,118.05894711864367
2001-02-14,117.35180330645477
2001-02-15,120.68871165490195
2001-02-16,118.9582979325315
2001-02-19,116.60333916519234
2001-02-20,119.59146600910539
2001-02-21,117.52595463525705
2001-02-22,115.68471141866839
2001-02-23,115.6584264193011
2001-02-26,115.44584783930304
2001-02-27,113.65263257778966
2001-02-28,113.2868039664756
2001-03-01,109.33679564366258
2001-03-02,106.7055293303082
2001-03-05,108.61373296287445
2001-03-06,109.26141528768258
2001-03-07,109.94237580212568
2001-03-08,109.25851303415656
2001-03-09,108.19121934921408
2001-03-12,105.46236287627379
2001-03-13,105.49680801553494
2001-03-14,106.8090826726046
2001-03-15,107.64096072065323
2001-03-16,108.1739119678584
2001-03-19,106.31187039032505
2001-03-20,104.82998202524337
2001-03-21,105.47138035765049
2001-03-22,105.79485819532194
2001-03-23,106.37853655163804
2001-03-26,107.46243549830632
2001-03-27,105.40483792501715
2001-03-28,105.93682581762937
2001-03-29,105.2723844274554
2001-03-30,105.20017601600135
2001-04-02,103.11518080391411
2001-04-03,100.33409741805733
2001-04-04,95.23661196291759
2001-04-05,96.44786696264451
2001-04-06,97.91227114214163
2001-04-09,94.98795854417523
2001-04-10,96.38217314055348
2001-04-11,99.82712821453859
2001-04-12,99.84108264274933
2001-04-13,99.99194882537881
2001-04-16,100.00270370481641
2001-04-17,99.51811419178016
2001-04-18,103.78296185934524
2001-04-19,105.27974923955462
2001-04-20,102.56938306674145
2001-04-23,103.43540229104681
2001-04-24,103.42175859854561
2001-04-25,103.10195292113005
2001-04-26,102.52194342428623
2001-04-27,103.11991437554792
2001-04-30,105.46594206129043
2001-05-01,105.05186697215578
2001-05-02,107.18265739996342
2001-05-03,107.62916892948691
2001-05-04,105.01596898288378
2001-05-07,106.10341758393429
2001-05-08,105.86028447542226
2001-05-09,105.91295709738452
2001-05-10,105.41241042515439
2001-05-11,107.12485895244468
2001-05-14,106.01875248409998
2001-05-15,104.69858083223856
2001-05-16,103.13152944208552
