Date,AC AP ex JP WITH PARTIAL A SHARES
2008-11-27,1051.9397135325
2008-11-28,1088.062947966804
2008-12-30,1052.5716379105138
2008-12-31,1080.829008330427
2009-01-29,1065.6913748849204
2009-01-30,1084.0467209644053
2009-02-26,1037.903604812593
2009-02-27,1030.7105115961149
2009-03-30,1129.1644233206937
2009-03-31,1132.3303624600344
2009-04-29,1248.7570670556706
2009-04-30,1306.7045304968708
2009-05-28,1392.3602384703904
2009-05-29,1399.0198913540044
2009-06-29,1418.0422344512301
2009-06-30,1425.985305111987
2009-07-30,1570.4453803025124
2009-07-31,1584.2765197995186
2009-08-28,1573.9757685364477
2009-08-31,1558.5944592599303
2009-09-29,1674.014422638306
2009-09-30,1677.2260360821006
2009-10-29,1635.2674154684744
2009-10-30,1656.5773985427609
2009-11-27,1634.408162545026
2009-11-30,1673.698264936549
2009-12-30,1798.6237778810416
2009-12-31,1814.097394059854
2010-01-28,1774.868626432448
2010-01-29,1754.132689602262
2010-02-25,1803.2363752460822
2010-02-26,1810.3676994445043
2010-03-30,1992.8882687332334
2010-03-31,1963.2442141626627
2010-04-29,2010.9514204617487
2010-04-30,2023.8509753579594
2010-05-28,1946.873954080956
2010-05-31,1957.7298394460654
2010-06-29,2001.0716959451233
2010-06-30,1974.4129879268626
2010-07-29,1991.9045818455902
2010-07-30,1994.1863475325213
2010-08-30,2036.4944752917195
2010-08-31,2010.2978738291094
2010-09-29,2107.5942718671163
2010-09-30,2093.8543517042704
2010-10-28,2119.3872287254057
2010-10-29,2113.4283743658134
2010-11-29,2213.491554356659
2010-11-30,2212.1294919753414
2010-12-30,2307.195456637951
2010-12-31,2291.3400972564405
2011-01-28,2244.3548754211793
2011-01-31,2212.6350739110094
2011-02-25,2161.779043778205
2011-02-28,2159.403137709006
2011-03-30,2207.6418130782768
2011-03-31,2209.7712353126453
2011-04-28,2214.451155371161
2011-04-29,2204.6986461684382
2011-05-30,2207.551880347986
2011-05-31,2223.5912369639077
2011-06-29,2141.534734580214
2011-06-30,2161.2125413743393
2011-07-28,2219.744555610655
2011-07-29,2187.0237099581022
2011-08-30,1962.161866823118
2011-08-31,1997.859473622718
2011-09-29,1844.9809384960897
2011-09-30,1854.226344286125
2011-10-28,2014.1669437087592
2011-10-31,2019.0955607896024
2011-11-29,1934.3737429359119
2011-11-30,1927.457795607933
2011-12-29,2003.4276525749497
2011-12-30,1999.1446639203034
2012-01-30,2156.0740195507674
2012-01-31,2184.6838829513817
2012-02-28,2211.624024474121
2012-02-29,2249.5979497191543
2012-03-29,2187.590439318217
2012-03-30,2190.866840680814
2012-04-27,2192.613711271382
2012-04-30,2216.225450654274
2012-05-30,2129.3195237164105
2012-05-31,2126.0772942855165
2012-06-28,2140.96728194693
2012-06-29,2152.7591069486602
2012-07-30,2285.315103860323
2012-07-31,2302.647793109448
2012-08-30,2257.5942702277175
2012-08-31,2241.6303550464263
2012-09-27,2311.1668454770806
2012-09-28,2325.607141568758
2012-10-30,2302.21032155154
2012-10-31,2319.763252588545
2012-11-29,2356.1708085297337
2012-11-30,2364.606625373172
2012-12-28,2401.2721644963044
2012-12-31,2406.9109746074973
2013-01-30,2409.2706720553283
2013-01-31,2400.651360289471
2013-02-27,2476.8445226503136
2013-02-28,2514.9239109194095
2013-03-28,2514.618774514877
2013-03-29,2519.0648170193235
2013-04-29,2500.829586187747
2013-04-30,2515.6824286086135
2013-05-30,2453.726446882888
2013-05-31,2452.7659445132326
2013-06-27,2267.0897391328767
2013-06-28,2299.4121719509762
2013-07-30,2319.474455350436
2013-07-31,2297.6472387902004
2013-08-29,2270.5006206138264
2013-08-30,2297.9312134276556
2013-09-27,2402.195636941158
2013-09-30,2370.4072546724315
2013-10-30,2451.574702079179
2013-10-31,2469.705713184202
2013-11-28,2434.5298581873362
2013-11-29,2442.056661416697
2013-12-30,2368.8773870710174
2013-12-31,2382.629048966237
2014-01-30,2299.7174610830157
2014-01-31,2311.3461504519614
2014-02-27,2376.5035351198385
2014-02-28,2357.5421889918557
2014-03-28,2391.057167484545
2014-03-31,2403.062107583705
2014-04-29,2432.772944125107
2014-04-30,2412.4210235157243
2014-05-29,2543.8948613692437
2014-05-30,2530.056536384696
2014-06-27,2566.5885003842895
2014-06-30,2564.3052832725116
2014-07-30,2732.259974611637
2014-07-31,2718.205749947306
2014-08-28,2784.7557774190777
2014-08-29,2782.2554173427748
2014-09-29,2687.915328009085
2014-09-30,2692.85260867392
2014-10-30,2745.776233072854
2014-10-31,2789.4676427095933
2014-11-27,2780.781004474787
2014-11-28,2769.684681296468
2014-12-30,2775.217376313365
2014-12-31,2798.2153516009093
2015-01-29,3042.130649618033
2015-01-30,3043.7174694713794
2015-02-26,3163.3971446443943
2015-02-27,3159.1192071766964
2015-03-30,3254.4781226770588
2015-03-31,3298.134545230983
2015-04-29,3418.4825410853387
2015-04-30,3358.5572862932518
2015-05-28,3355.9210467536
2015-05-29,3345.550409904302
2015-06-29,3115.3283294621065
2015-06-30,3158.311056757236
2015-07-30,3032.716962701517
2015-07-31,3018.6135529209664
2015-08-28,2684.0688742954244
2015-08-31,2671.4333591200475
2015-09-29,2559.1193325562103
2015-09-30,2620.0032447764893
2015-10-29,2874.012268373033
2015-10-30,2849.1961367331137
2015-11-27,2917.2621536381725
2015-11-30,2905.9720465696105
2015-12-30,2816.9919470545933
2015-12-31,2831.1502650898183
2016-01-28,2528.261364553158
2016-01-29,2607.4704933041394
2016-02-26,2572.223901183143
2016-02-29,2573.983363301572
2016-03-30,2734.9310123726273
2016-03-31,2738.6038945261216
2016-04-28,2767.4045567325625
2016-04-29,2722.8724465390474
2016-05-30,2747.2768542596255
2016-05-31,2759.727233747855
2016-06-29,2778.3259521402724
2016-06-30,2823.0343346456048
2016-07-28,2998.8258051448584
2016-07-29,2959.4205131187314
2016-08-30,3042.8351274359034
2016-08-31,3036.3011589475113
2016-09-29,3097.025218217743
2016-09-30,3061.534133106863
2016-10-28,3093.676728714873
2016-10-31,3086.9923671345337
2018-03-30,3624.715990294697
2018-04-11,3657.752159801761
2018-04-12,3667.20129740267
2018-04-13,3659.4075645781945
