Date,KUKJE INDEX (ACWI ex Korea)
1998-12-31,1000.0
1999-01-01,1000.0002007436335
1999-01-04,1005.355121776654
1999-01-05,1016.7478392465424
1999-01-06,1041.7060804085113
1999-01-07,1043.0645753705583
1999-01-08,1052.8945571533663
1999-01-11,1045.165110215107
1999-01-12,1026.5281082614474
1999-01-13,997.1722186740283
1999-01-14,990.4204753545828
1999-01-15,1015.7851397041946
1999-01-18,1024.0899953787452
1999-01-19,1025.6531907410833
1999-01-20,1035.2228227739297
1999-01-21,1021.8803937039463
1999-01-22,1006.3517293142908
1999-01-25,1012.3694713222832
1999-01-26,1021.8761680519257
1999-01-27,1024.1129948727635
1999-01-28,1040.7930714214385
1999-01-29,1054.29694797854
1999-02-01,1061.0680248266692
1999-02-02,1052.278796723762
1999-02-03,1051.8380109897946
1999-02-04,1044.9878661517423
1999-02-05,1037.8881236958694
1999-02-08,1039.699434870971
1999-02-09,1016.039637267186
1999-02-10,1015.0950350917435
1999-02-11,1034.8487753479485
1999-02-12,1031.2687507489688
1999-02-15,1035.0753052919285
1999-02-16,1043.430064243647
1999-02-17,1029.1479507171148
1999-02-18,1034.8408275568222
1999-02-19,1045.6016896734545
1999-02-22,1069.392708457816
1999-02-23,1077.369881568697
1999-02-24,1074.8470235741966
1999-02-25,1061.0330335981043
1999-02-26,1063.131125594714
1999-03-01,1059.835584890203
1999-03-02,1054.930363416466
1999-03-03,1053.586920230146
1999-03-04,1069.7970322023975
1999-03-05,1093.9736907116417
1999-03-08,1094.7597100170583
1999-03-09,1097.422948465562
1999-03-10,1099.6572473290814
1999-03-11,1119.2799346990578
1999-03-12,1111.4834264939814
1999-03-15,1119.2203212848613
1999-03-16,1125.615172502253
1999-03-17,1113.3059458197372
1999-03-18,1119.374145199214
1999-03-19,1125.460540533962
1999-03-22,1123.3102813590033
1999-03-23,1101.4724122794364
1999-03-24,1096.019474625011
1999-03-25,1117.1295478337543
1999-03-26,1122.9800695622555
1999-03-29,1141.5863285510322
1999-03-30,1133.7659383277244
1999-03-31,1129.6855732269682
1999-04-01,1134.8339567683113
1999-04-02,1136.4075622867379
1999-04-05,1153.3224513900525
1999-04-06,1156.0557547502538
1999-04-07,1160.520018789261
1999-04-08,1169.6652751826125
1999-04-09,1177.211814839954
1999-04-12,1174.1500585613487
1999-04-13,1180.8587661925274
1999-04-14,1171.7824744620111
1999-04-15,1172.629156372696
1999-04-16,1174.6647245362196
1999-04-19,1174.4171938193476
1999-04-20,1168.1012780461508
1999-04-21,1185.2503257115568
1999-04-22,1200.3138758687144
1999-04-23,1197.557931663475
1999-04-26,1206.5529815064197
1999-04-27,1209.2560956585803
1999-04-28,1205.0164986709979
1999-04-29,1202.6258236275953
1999-04-30,1201.039142238858
1999-05-03,1212.3815839678673
1999-05-04,1199.1674141071749
1999-05-05,1195.4254695946165
1999-05-06,1185.191248704184
1999-05-07,1185.0370862901136
1999-05-10,1183.602059460075
1999-05-11,1194.8091551991724
1999-05-12,1200.177137403549
1999-05-13,1207.604047250535
1999-05-14,1180.0360603319075
1999-05-17,1172.8097063509204
1999-05-18,1175.5960582336495
1999-05-19,1181.0194255586687
1999-05-20,1185.1468816593238
1999-05-21,1186.4950385771622
1999-05-24,1172.8598439933114
1999-05-25,1154.259081229911
1999-05-26,1175.1895923453249
1999-05-27,1161.666066564618
1999-05-28,1171.877419745269
1999-05-31,1175.5997295927862
1999-06-01,1171.8423517527813
1999-06-02,1185.779287962276
1999-06-03,1190.1507662666475
1999-06-04,1211.4141073982082
1999-06-07,1220.8050937145238
1999-06-08,1204.4673578692477
1999-06-09,1207.5251018247614
1999-06-10,1193.6971497598415
1999-06-11,1195.2853653364261
1999-06-14,1195.1835431857817
1999-06-15,1200.9786994690298
1999-06-16,1228.1794978763069
1999-06-17,1237.269624509791
1999-06-18,1232.6059886197127
1999-06-21,1246.798379800357
1999-06-22,1241.7481829073577
1999-06-23,1232.194261468059
1999-06-24,1216.9591984589947
1999-06-25,1205.2314073911857
1999-06-28,1223.1574256425313
1999-06-29,1236.6610084400684
1999-06-30,1246.3747680804127
1999-07-01,1269.4880396892506
1999-07-02,1282.266092152342
1999-07-05,1289.9710896947488
1999-07-06,1283.7167607568888
1999-07-07,1284.7830103362048
1999-07-08,1286.119372556171
1999-07-09,1289.0189362168962
1999-07-12,1294.2590371909369
1999-07-13,1282.7162180323617
1999-07-14,1285.8296952682279
1999-07-15,1293.9484933801084
1999-07-16,1297.7161133721233
1999-07-19,1299.6739393050518
1999-07-20,1255.6485300823265
1999-07-21,1242.7525607218909
1999-07-22,1229.8313732252777
1999-07-23,1223.105933531854
1999-07-26,1197.343992036324
1999-07-27,1208.3629822940702
1999-07-28,1215.0011686188473
1999-07-29,1190.6582142850064
1999-07-30,1194.8574485330396
1999-08-02,1195.781042003605
1999-08-03,1192.9300858405195
1999-08-04,1174.8418811080294
1999-08-05,1164.6796115691445
1999-08-06,1158.230672936912
1999-08-09,1164.6693069717137
1999-08-10,1149.8130157221776
1999-08-11,1165.5705857151042
1999-08-12,1174.7066035930777
1999-08-13,1200.4101289373102
1999-08-16,1208.691740722526
1999-08-17,1220.5869014585141
1999-08-18,1215.1413094920822
1999-08-19,1200.2395228863118
1999-08-20,1212.1739352791672
1999-08-23,1237.120548555606
1999-08-24,1242.5250121750726
1999-08-25,1259.932165126134
1999-08-26,1251.085164341281
1999-08-27,1241.7380764106863
1999-08-30,1233.5269892017777
1999-08-31,1209.0296752708073
1999-09-01,1218.5447717194218
1999-09-02,1198.2192329943996
1999-09-03,1231.2923215383921
1999-09-06,1239.5718246145002
1999-09-07,1230.6385110489132
1999-09-08,1226.4287622106492
1999-09-09,1239.6377372722302
