Date,ACWI + FRONTIER MARKETS (ACWI FM)
2002-05-31,816.1240401964882
2002-06-03,801.4892361937704
2002-06-04,792.6401913240725
2002-06-05,798.119895117461
2002-06-06,783.3529815857217
2002-06-07,778.7469001498041
2002-06-10,780.4874508186377
2002-06-11,775.3404638885225
2002-06-12,770.7889790180863
2002-06-13,763.3929273972387
2002-06-14,754.2007276522227
2002-06-17,774.3934595317642
2002-06-18,771.8284594040545
2002-06-19,754.7590882893376
2002-06-20,740.1027126061923
2002-06-21,728.8300555848921
2002-06-24,720.8323772088438
2002-06-25,722.3882159169563
2002-06-26,704.3071136996303
2002-06-27,717.9267681813966
2002-06-28,724.5027845130626
2002-07-01,715.8983832400385
2002-07-02,701.7798929270025
2002-07-03,702.6024693059727
2002-07-04,706.8787877089585
2002-07-05,733.6130710609302
2002-07-08,720.9984988053377
2002-07-09,707.1162850742379
2002-07-10,690.0004378275961
2002-07-11,683.2548749151301
2002-07-12,682.3537985177983
2002-07-15,661.4582687655087
2002-07-16,651.7893631476147
2002-07-17,661.2937955943768
2002-07-18,654.7678017855956
2002-07-19,628.6517403848538
2002-07-22,610.7652983084778
2002-07-23,604.3076116879957
2002-07-24,619.0525837460824
2002-07-25,618.3549535533278
2002-07-26,628.5256466595873
2002-07-29,663.7504065846638
2002-07-30,662.2737735417231
2002-07-31,669.6752221491427
2002-08-01,649.541493680808
2002-08-02,639.6509887986375
2002-08-05,620.2134607752066
2002-08-06,646.1111390466663
2002-08-07,651.1825835585887
2002-08-08,671.1324414321606
2002-08-09,674.8612327545088
2002-08-12,665.6392592410408
2002-08-13,659.3144332797835
2002-08-14,666.1741255064143
2002-08-15,680.4691303484148
2002-08-16,678.6859181555096
2002-08-19,695.3058436000196
2002-08-20,687.4804352764643
2002-08-21,692.0340715345028
2002-08-22,706.3882113550242
2002-08-23,694.4251352578245
2002-08-26,697.1750084634976
2002-08-27,690.5804597104642
2002-08-28,674.6385263428218
2002-08-29,669.3367786458465
2002-08-30,672.1219126996027
2002-09-02,666.5976574360261
2002-09-03,635.9030312331496
2002-09-04,642.7257414194163
2002-09-05,637.9641560753952
2002-09-06,651.770639362678
2002-09-09,656.0246102727399
2002-09-10,667.292362304306
2002-09-11,672.2970478521639
2002-09-12,654.3997573201908
2002-09-13,649.3421763579769
2002-09-16,651.8306247769835
2002-09-17,646.0614407068717
2002-09-18,633.476606896099
2002-09-19,617.7754372044915
2002-09-20,616.1103638571444
2002-09-23,604.9933150377987
2002-09-24,597.4565236015675
2002-09-25,608.2121210693824
2002-09-26,624.3469703372489
2002-09-27,614.4074387478576
2002-09-30,595.5154719006034
2002-10-01,611.7518390494608
2002-10-02,607.0719168384088
2002-10-03,598.8596706666916
2002-10-04,590.561051370459
2002-10-07,579.0928110982446
2002-10-08,583.8913811488322
2002-10-09,568.7802218335056
2002-10-10,583.5270717043654
2002-10-11,604.9103921730912
2002-10-14,605.7560460809673
