Date,ACWI WITH PARTIAL A SHARES
2008-11-27,1036.4354923966437
2008-11-28,1060.6956665901432
2008-12-30,981.672161540689
2008-12-31,1003.3276431924277
2009-01-29,995.7801990600934
2009-01-30,995.3935664516163
2009-02-26,917.461002782156
2009-02-27,906.0826013482722
2009-03-30,931.4262081138679
2009-03-31,938.1509963054441
2009-04-29,1039.0250461116366
2009-04-30,1050.9062825125166
2009-05-28,1081.3509628087668
2009-05-29,1081.8160618273657
2009-06-29,1090.441687584405
2009-06-30,1085.7012833135984
2009-07-30,1170.594142054744
2009-07-31,1168.7654587137897
2009-08-28,1203.961336695812
2009-08-31,1195.6867077763113
2009-09-29,1232.41624014891
2009-09-30,1227.7689893241604
2009-10-29,1213.9658123090267
2009-10-30,1197.619220974358
2009-11-27,1222.126006704982
2009-11-30,1225.3915360938902
2009-12-30,1314.2887063012029
2009-12-31,1308.827852523378
2010-01-28,1296.912889974625
2010-01-29,1292.5953409409258
2010-02-25,1333.4807293992178
2010-02-26,1333.335136538198
2010-03-30,1443.254048113521
2010-03-31,1431.2578511687698
2010-04-29,1473.5955060895521
2010-04-30,1458.921595280378
2010-05-28,1422.5557605120898
2010-05-31,1430.9888738013528
2010-06-29,1406.5350116350546
2010-06-30,1389.3576553421224
2010-07-29,1410.5981754677025
2010-07-30,1412.6189894193092
2010-08-30,1403.5772571499197
2010-08-31,1397.413015297578
2010-09-29,1434.883696547839
2010-09-30,1425.337441189805
2010-10-28,1449.1070967205899
2010-10-29,1450.7064123107057
2010-11-29,1515.200306980091
2010-11-30,1514.5115293638994
2010-12-30,1588.2432274342898
2010-12-31,1577.101713262042
2011-01-28,1572.2718724374342
2011-01-31,1567.3994303103407
2011-02-25,1596.2137444584127
2011-02-28,1601.1098975682685
2011-03-30,1566.3693536408025
2011-03-31,1556.7799666954386
2011-04-28,1546.9002454368735
2011-04-29,1550.0114372798137
2011-05-30,1556.680870923567
2011-05-31,1565.2682216754392
2011-06-29,1518.8181720231244
2011-06-30,1527.6224614142795
2011-07-28,1531.6256987890488
2011-07-29,1516.2093876369538
2011-08-30,1380.6345897704748
2011-08-31,1402.7406138226352
2011-09-29,1369.8435863939567
2011-09-30,1363.180462251396
2011-10-28,1468.7110933437073
2011-10-31,1451.725046226242
2011-11-29,1420.3131082542845
2011-11-30,1459.1308459016968
2011-12-29,1511.698350162865
2011-12-30,1510.0154044426042
2012-01-30,1576.6482412157147
2012-01-31,1584.4611427882696
2012-02-28,1625.0871686832936
2012-02-29,1628.5324661158058
2012-03-29,1642.5119989037378
2012-03-30,1646.671987128219
2012-04-27,1638.3573416949805
2012-04-30,1637.9360823861803
2012-05-30,1597.0392688500149
2012-05-31,1596.1879534133939
2012-06-28,1617.5419828569309
2012-06-29,1631.9043013785933
2012-07-30,1717.8659307647054
2012-07-31,1704.5499328317433
2012-08-30,1706.9763018152628
2012-08-31,1701.531246556618
2012-09-27,1729.0880259183618
2012-09-28,1719.681919532518
2012-10-30,1693.5503732781428
2012-10-31,1695.9690563476934
2012-11-29,1713.2525692077684
2012-11-30,1711.2666633008287
2012-12-28,1708.7733492074037
2012-12-31,1726.6618917732164
2013-01-30,1759.0722423237341
2013-01-31,1754.3328873966366
2013-02-27,1807.843501490606
2013-02-28,1821.1761234545606
2013-03-28,1887.4940576831038
2013-03-29,1887.8817485427057
2013-04-29,1891.7269162673988
2013-04-30,1891.2453529115535
2013-05-30,1929.101986004445
2013-05-31,1918.8311864439988
2013-06-27,1854.3828638705281
2013-06-28,1856.9519007570257
2013-07-30,1912.5826952384807
2013-07-31,1904.7318878034137
2013-08-29,1880.2926492399629
2013-08-30,1878.3004066029523
2013-09-27,1938.585635751172
2013-09-30,1924.1445703448833
2013-10-30,1978.8315920498553
2013-10-31,1992.8058881298355
2013-11-28,2019.5105911776568
2013-11-29,2018.0612719070446
2013-12-30,2017.6587322065275
2013-12-31,2028.3821201374856
2014-01-30,1988.2068888697427
2014-01-31,1989.7172126502967
2014-02-27,2047.3421123957576
2014-02-28,2036.4432842960014
2014-03-28,2038.7493889082796
2014-03-31,2049.6820165180193
2014-04-29,2058.4874345514786
2014-04-30,2056.7136452705427
2014-05-29,2139.241397805486
2014-05-30,2134.3162795224202
2014-06-27,2171.380704145296
2014-06-30,2167.244844191188
2014-07-30,2223.5182849286516
2014-07-31,2191.0696774901194
2014-08-28,2268.8314558874085
2014-08-29,2274.8154536506627
2014-09-29,2290.866689981589
2014-09-30,2295.15508514874
2014-10-30,2288.4858925205913
2014-10-31,2330.476431748325
2014-11-27,2386.9024183869224
2014-11-28,2381.504566904088
2014-12-30,2407.6983124172093
2014-12-31,2406.689623884636
2015-01-29,2553.505391844507
2015-01-30,2540.3828738661186
2015-02-26,2701.109335798555
2015-02-27,2697.8927836994676
2015-03-30,2773.2321346046074
2015-03-31,2774.756137044938
2015-04-29,2778.514718288375
2015-04-30,2738.0999369711794
2015-05-28,2825.063346284575
2015-05-29,2795.067937538324
2015-06-29,2681.443364288735
2015-06-30,2684.977417471565
2015-07-30,2750.6060748113878
2015-07-31,2730.1667125524914
2015-08-28,2521.044534644693
2015-08-31,2507.028551842307
2015-09-29,2365.121925296007
2015-09-30,2425.477095710225
2015-10-29,2664.820534961555
2015-10-30,2643.4822386506708
2015-11-27,2745.759774612646
2015-11-30,2742.0062413103983
2015-12-30,2624.1451906295547
2015-12-31,2617.8530830184827
2016-01-28,2393.175776649364
2016-01-29,2468.113291348271
2016-02-26,2437.426037327105
2016-02-29,2441.01243923509
2016-03-30,2514.9047864297804
2016-03-31,2500.485506220272
2016-04-28,2565.052883885779
2016-04-29,2524.3607293769132
2016-05-30,2602.080669523869
2016-05-31,2600.4382733369794
2016-06-29,2561.0486842041014
2016-06-30,2590.0895773844863
2016-07-28,2688.7077062975427
