Date,ACWI ex ISRAEL
1999-01-01,1000.0002004840886
1999-01-04,1005.5877556608465
1999-01-05,1017.1405498169639
1999-01-06,1042.1395408738008
1999-01-07,1043.8029888623635
1999-01-08,1053.3858842119419
1999-01-11,1045.702655440484
1999-01-12,1026.9652641386133
1999-01-13,997.6822913139843
1999-01-14,990.6685977059943
1999-01-15,1016.0782198607026
1999-01-18,1024.4167228138979
1999-01-19,1025.9891797511564
1999-01-20,1035.5772527058093
1999-01-21,1022.0638859012793
1999-01-22,1006.2963940479441
1999-01-25,1012.2684423946669
1999-01-26,1021.7484116294305
1999-01-27,1024.2747339012665
1999-01-28,1040.963442973298
1999-01-29,1054.3895758562996
1999-02-01,1061.1842696571239
1999-02-02,1052.3141152853802
1999-02-03,1051.7634405986648
1999-02-04,1044.9434864377251
1999-02-05,1037.8936059784417
1999-02-08,1039.6524310001485
1999-02-09,1015.9040152718786
1999-02-10,1014.9681667093307
1999-02-11,1034.6559401066997
1999-02-12,1031.3427859584492
1999-02-15,1035.1338834691
1999-02-16,1043.4602953857752
1999-02-17,1029.2277249839706
1999-02-18,1034.7194778757437
1999-02-19,1045.2764449513293
1999-02-22,1068.8466275000449
1999-02-23,1076.7890209372733
1999-02-24,1074.2556703088533
1999-02-25,1060.4783401735974
1999-02-26,1062.7520279753464
1999-03-01,1059.4905698166751
1999-03-02,1054.6973933025668
1999-03-03,1053.3272236444825
1999-03-04,1069.385447422622
1999-03-05,1093.4937978564194
1999-03-08,1094.4943685422916
1999-03-09,1097.1787205534056
1999-03-10,1099.3463849689697
1999-03-11,1119.0363165081903
1999-03-12,1111.2884930387522
1999-03-15,1119.020310108554
1999-03-16,1125.4993352879455
1999-03-17,1113.1952653988035
1999-03-18,1119.120909063659
1999-03-19,1125.448365168549
1999-03-22,1123.354727227328
1999-03-23,1101.6290762805684
1999-03-24,1096.1315934159807
1999-03-25,1117.1346683683726
1999-03-26,1123.020327337223
1999-03-29,1141.4870449233672
1999-03-30,1133.8411508314741
1999-03-31,1129.7148382433138
1999-04-01,1135.012824126465
1999-04-02,1136.69891712625
1999-04-05,1153.5608893657661
1999-04-06,1156.4339884247831
1999-04-07,1160.957883526837
1999-04-08,1170.1114584547431
1999-04-09,1177.7085022930146
1999-04-12,1174.6111297441266
1999-04-13,1181.3063656589181
1999-04-14,1172.2335282146075
1999-04-15,1173.375098306505
1999-04-16,1175.5185950049672
1999-04-19,1175.8232422374238
1999-04-20,1169.5968483153272
1999-04-21,1186.4204763752566
1999-04-22,1201.3885415875889
1999-04-23,1198.7686511522456
1999-04-26,1208.0354460706617
1999-04-27,1210.9279993196553
1999-04-28,1206.6931256349117
1999-04-29,1203.9559544317458
1999-04-30,1202.2776578283533
1999-05-03,1213.5158202961572
1999-05-04,1200.4083268743773
1999-05-05,1196.6497168086532
1999-05-06,1186.7941038211359
