Date,ACWI ex THAILAND
2015-12-11,2095.0319751926127
2015-12-14,2082.3390186559923
2015-12-15,2121.521336538404
2015-12-16,2145.7635391991594
2015-12-17,2153.865998374623
2015-12-18,2124.355699498618
2015-12-21,2116.8468104582444
2015-12-22,2121.396287337997
2015-12-23,2165.652969137433
2015-12-24,2153.2042003106003
2015-12-25,2152.4654461911023
2015-12-28,2145.695235783574
2015-12-29,2176.8880396358354
2015-12-30,2162.564550354526
2015-12-31,2157.3404735832914
2016-01-01,2157.359849260839
2016-01-04,2124.6933843617603
2016-01-05,2141.179607730553
2016-01-06,2109.084621484706
2016-01-07,2047.747714183175
2016-01-08,2016.9974450043335
2016-01-11,2017.6597042246096
2016-01-12,2027.6064850770094
2016-01-13,2004.3859882493473
2016-01-14,2010.278526189962
2016-01-15,1953.430412739498
2016-01-18,1957.5123504575977
2016-01-19,1963.6947454808235
2016-01-20,1924.795780814706
2016-01-21,1944.0708154406288
2016-01-22,1995.546342778167
2016-01-25,1977.0721413931085
2016-01-26,1989.3017941668822
2016-01-27,1982.235519811822
2016-01-28,1973.022354707574
2016-01-29,2034.7647534601856
2016-02-01,2026.5088389825778
2016-02-02,1989.29138931109
2016-02-03,1963.1057395367902
2016-02-04,1955.8362764351177
2016-02-05,1931.869977766135
2016-02-08,1900.8429721315854
2016-02-09,1861.4179027968414
2016-02-10,1878.9155524786534
2016-02-11,1830.0731588503434
2016-02-12,1865.8919161301794
2016-02-15,1906.5919474265793
2016-02-16,1926.445317605123
2016-02-17,1957.5704478432328
2016-02-18,1965.8629863072629
2016-02-19,1957.1958657726138
2016-02-22,1996.482019124074
2016-02-23,1975.873682966981
2016-02-24,1967.2107072365347
2016-02-25,1987.8505592275794
2016-02-26,2009.1732223659628
2016-02-29,2012.1648866875746
2016-03-01,2049.686373459085
2016-03-02,2075.1555930256036
2016-03-03,2070.7653886822295
2016-03-04,2070.82402019465
2016-03-07,2075.902856946155
2016-03-08,2045.0193930379594
2016-03-09,2058.5895694463306
2016-03-10,2033.0095138718166
2016-03-11,2066.8850720072787
2016-03-14,2078.813870742585
2016-03-15,2065.0871071415104
2016-03-16,2075.0417938600635
2016-03-17,2061.7773949868297
2016-03-18,2071.916617353006
2016-03-21,2076.3870671086866
2016-03-22,2082.8893802018347
2016-03-23,2076.2050809863854
2016-03-24,2066.1538258603214
2016-03-25,2067.5983929569084
2016-03-28,2062.813080068179
2016-03-29,2079.68163714305
2016-03-30,2072.689154283484
2016-03-31,2060.7605115903684
2016-04-01,2058.5206324506717
2016-04-04,2052.9876636286313
2016-04-05,2025.6971333048
2016-04-06,2042.030184019464
2016-04-07,2028.0065395201673
2016-04-08,2037.2428221095686
2016-04-11,2032.9668362106765
2016-04-12,2060.374602730408
2016-04-13,2105.7116229938524
2016-04-14,2116.7207073135123
2016-04-15,2108.945254968371
2016-04-18,2107.936826208782
2016-04-19,2121.3281099983133
2016-04-20,2130.824811426683
2016-04-21,2135.1671435052644
2016-04-22,2137.5880825767313
2016-04-25,2126.8825953787755
2016-04-26,2123.971238639864
2016-04-27,2124.2420637730934
2016-04-28,2114.3435031767663
2016-04-29,2080.628572853544
2016-05-02,2074.355700604926
2016-05-03,2051.218913146277
2016-05-04,2037.7920683447537
2016-05-05,2050.8299216252203
2016-05-06,2048.0959649916244
2016-05-09,2051.2613028561213
2016-05-10,2075.433123762899
2016-05-11,2059.3573245392768
2016-05-12,2060.9489938066617
2016-05-13,2061.8591438640674
2016-05-16,2070.784258796546
2016-05-17,2063.65582809309
2016-05-18,2071.8121613520266
2016-05-19,2067.4387362151024
2016-05-20,2081.0903997990686
2016-05-23,2080.0667547497046
2016-05-24,2108.815347370694
2016-05-25,2131.739655214638
2016-05-26,2128.940623315843
2016-05-27,2145.252051176564
2016-05-30,2144.7733458102034
2016-05-31,2143.323222361254
2016-06-01,2133.7925963544803
2016-06-02,2138.1843199929826
2016-06-03,2112.8903377976085
2016-06-06,2117.3567607416812
2016-06-07,2131.9392632251884
2016-06-08,2132.2309534758374
2016-06-09,2131.9423341058746
2016-06-10,2107.178707669054
2016-06-13,2080.8651707939243
2016-06-14,2078.601687513672
2016-06-15,2079.232022264953
2016-06-16,2087.3411111936184
2016-06-17,2078.8994901142787
2016-06-20,2098.9245188593222
2016-06-21,2117.720457106142
2016-06-22,2115.994340648981
2016-06-23,2131.893238333179
2016-06-24,2073.188681389342
2016-06-27,2053.3370585144908
2016-06-28,2074.6660351917194
2016-06-29,2110.6249271010497
2016-06-30,2134.6242226071404
2016-07-01,2140.004030938828
2016-07-04,2140.751164680386
2016-07-05,2125.4673144033154
2016-07-06,2124.1019274491664
2016-07-07,2129.8706263154736
2016-07-08,2159.173044333468
2016-07-11,2177.9856290245125
2016-07-12,2192.29461804652
2016-07-13,2190.5810289085803
2016-07-14,2203.2128244497953
2016-07-15,2207.4849208166656
2016-07-18,2213.0588470733965
2016-07-19,2217.3964685041306
2016-07-20,2228.594583518204
2016-07-21,2228.8858001870717
2016-07-22,2234.3898857327513
2016-07-25,2231.5342009361907
2016-07-26,2232.3384579061185
2016-07-27,2232.7254624016
2016-07-28,2215.6900627848327
2016-07-29,2211.933574269079
2016-08-01,2211.8424505328176
2016-08-02,2187.3279793241813
2016-08-03,2191.7441778146626
2016-08-04,2206.0375189228175
2016-08-05,2232.6125853951826
2016-08-08,2238.297556654565
2016-08-09,2241.9165454356644
2016-08-10,2231.628548694042
2016-08-11,2240.2046150015194
2016-08-12,2241.2890853646477
2016-08-15,2243.1606376478308
2016-08-16,2221.0989856594842
2016-08-17,2217.7195890358234
2016-08-18,2215.2774986541276
2016-08-19,2208.863402987548
2016-08-22,2207.1719866009644
2016-08-23,2216.179201897188
2016-08-24,2219.5047800624557
2016-08-25,2209.021707214735
2016-08-26,2208.8193489295268
2016-08-29,2229.530566577527
2016-08-30,2231.3325988895194
2016-08-31,2228.1620780450426
2016-09-01,2221.2415884058255
2016-09-02,2242.633842137303
2016-09-05,2252.11575032282
2016-09-06,2246.9278420674
2016-09-07,2249.0471891080656
2016-09-08,2239.759879093985
2016-09-09,2205.6098066244613
2016-09-12,2207.783972688833
2016-09-13,2178.663177779822
2016-09-14,2174.6961384561378
2016-09-15,2190.8080862699785
2016-09-16,2195.8470828363056
2016-09-19,2203.0921708529486
2016-09-20,2206.1390261899364
2016-09-21,2235.450142856181
2016-09-22,2241.167944296101
2016-09-23,2232.132012132687
2016-09-26,2202.4888573313046
2016-09-27,2223.797605156455
2016-09-28,2233.577146090817
2016-09-29,2219.5073473469106
2016-09-30,2221.999991642453
2016-10-03,2224.997310352553
2016-10-04,2232.2640512332296
2016-10-05,2228.030779842602
2016-10-06,2231.7341413573818
2016-10-07,2222.6685488843973
2016-10-10,2235.792647573284
2016-10-11,2230.059594991291
2016-10-12,2233.258884006848
2016-10-13,2219.301545496241
2016-10-14,2231.0939263921623
2016-10-17,2225.945870027853
2016-10-18,2249.0224672734166
2016-10-19,2258.428188248018
2016-10-20,2264.009774592217
2016-10-21,2271.481329076149
2016-10-24,2276.7669433919036
2016-10-25,2275.949745862767
2016-10-26,2260.2852809075175
2016-10-27,2252.5641252965174
2016-10-28,2245.640227390554
2016-10-31,2239.3149558938444
2016-11-01,2213.9633290502484
2016-11-02,2182.93349704809
2016-11-03,2179.7458320203777
2016-11-04,2165.008225768278
2016-11-07,2216.2296571209636
2016-11-08,2223.492372686471
2016-11-09,2243.152442839607
2016-11-10,2262.0955236709833
2016-11-11,2254.6470986589
2016-11-14,2274.427823682141
2016-11-15,2285.6812973210926
2016-11-16,2295.0413231618995
2016-11-17,2305.6324792455903
2016-11-18,2314.959876436717
2016-11-21,2321.3285604661337
2016-11-22,2334.531166861549
2016-11-23,2342.8653944803123
2016-11-24,2339.3181581044064
2016-11-25,2340.5788037730085
2016-11-28,2337.6774904704835
2016-11-29,2331.8700877937445
2016-11-30,2331.754551489431
2016-12-01,2325.5426480794367
2016-12-02,2313.7261369896382
2016-12-05,2311.2464242310552
2016-12-06,2323.2685739252515
2016-12-07,2344.131500726764
2016-12-08,2386.0846891664632
2016-12-09,2411.356384845206
2016-12-12,2393.694471769168
2016-12-13,2404.707172437679
2016-12-14,2388.344737676777
2016-12-15,2427.4235878906925
2016-12-16,2428.37885828608
2016-12-19,2425.5524391329445
2016-12-20,2442.842844338142
2016-12-21,2428.3972709095938
2016-12-22,2417.834844549177
2016-12-23,2418.155619717669
2016-12-26,2417.5556431916566
2016-12-27,2421.634961553023
2016-12-28,2426.8170121819485
2016-12-29,2410.063358244827
2016-12-30,2395.7935827798933
2017-01-02,2397.9822318401834
2017-01-03,2443.820515383027
2017-01-04,2443.2058746758244
2017-01-05,2427.753627945621
2017-01-06,2433.9408081480838
2017-01-09,2430.725243585359
2017-01-10,2427.728813610083
2017-01-11,2454.968491913532
2017-01-12,2421.623655836139
2017-01-13,2433.750217339147
2017-01-16,2430.923647763375
2017-01-17,2411.375767126734
2017-01-18,2415.8505156747397
2017-01-19,2421.840074456378
2017-01-20,2414.4330796408362
2017-01-23,2400.1726256007096
2017-01-24,2411.1373136870216
2017-01-25,2433.4161154665835
2017-01-26,2448.966222607891
2017-01-27,2439.9349998277567
2017-01-30,2428.8295160798307
2017-01-31,2402.143071903697
2017-02-01,2415.322956493872
2017-02-02,2407.6089542563122
2017-02-03,2425.085138539525
2017-02-06,2428.501440940301
2017-02-07,2438.519122266263
2017-02-08,2440.883520545257
2017-02-09,2458.418831784187
2017-02-10,2478.0454952922014
2017-02-13,2494.6418558688006
2017-02-14,2504.710952925279
2017-02-15,2517.017138035852
2017-02-16,2499.43171691257
2017-02-17,2507.244849092062
2017-02-20,2510.9874217820034
2017-02-21,2539.6000027994105
2017-02-22,2538.8747403524835
2017-02-23,2531.8301443069718
2017-02-24,2529.6745397400678
2017-02-27,2519.497801009854
2017-02-28,2511.7215027977686
2017-03-01,2550.9667878574364
2017-03-02,2548.736578700014
2017-03-03,2538.7401006616724
2017-03-06,2527.3041604726454
2017-03-07,2525.9096235818174
2017-03-08,2524.462490602171
2017-03-09,2516.751110326642
2017-03-10,2512.0739515729742
2017-03-13,2518.0554928475394
2017-03-14,2515.634696862257
2017-03-15,2533.8723025031054
2017-03-16,2527.0052924136417
2017-03-17,2525.3592363009375
2017-03-20,2521.507435302363
2017-03-21,2491.6238903581325
2017-03-22,2487.4281310903643
2017-03-23,2493.939735727031
2017-03-24,2491.0857360662417
2017-03-27,2471.277711606279
2017-03-28,2492.8858129579417
2017-03-29,2519.9004776089246
2017-03-30,2526.985754666564
2017-03-31,2525.760033157474
2017-04-03,2532.2294414217467
2017-04-04,2531.190763153659
2017-04-05,2527.644975506867
2017-04-06,2528.613277076168
2017-04-07,2536.458672201903
2017-04-10,2541.697444828222
2017-04-11,2535.131811320321
2017-04-12,2532.232725203507
2017-04-13,2520.3165790507883
2017-04-14,2518.576998514747
2017-04-17,2527.095727817661
2017-04-18,2507.0093494615708
2017-04-19,2499.360860698926
2017-04-20,2503.019028877905
2017-04-21,2516.897234840263
2017-04-24,2515.0445628712673
2017-04-25,2516.024132847612
2017-04-26,2528.0304619692115
2017-04-27,2528.5672104260943
2017-04-28,2519.5185330756526
2017-05-01,2518.618278130806
2017-05-02,2529.508782060913
2017-05-03,2523.956070636433
2017-05-04,2517.9824828025667
2017-05-05,2520.376214889301
2017-05-08,2536.4428760629817
2017-05-09,2543.09132884915
2017-05-10,2553.014408163549
2017-05-11,2549.9836348085287
2017-05-12,2540.0581951401546
2017-05-15,2540.2495166710305
2017-05-16,2523.641931649356
2017-05-17,2480.2922230969166
2017-05-18,2477.7614826810586
2017-05-19,2480.823866585026
2017-05-22,2483.2920085446863
2017-05-23,2489.856741865416
2017-05-24,2501.6024693282543
2017-05-25,2505.834979753541
2017-05-26,2510.41947704564
2017-05-29,2511.0102777882016
2017-05-30,2508.1783859538327
2017-05-31,2493.804423889872
2017-06-01,2512.692042885511
2017-06-02,2517.636839696913
2017-06-05,2519.4724565207134
2017-06-06,2509.5782516528334
2017-06-07,2511.637368158918
2017-06-08,2518.6420235592254
2017-06-09,2525.365271379264
2017-06-12,2514.1174198307335
2017-06-13,2525.3727664979942
2017-06-14,2512.5201489271803
2017-06-15,2522.5162597623257
2017-06-16,2519.2855840562215
2017-06-19,2544.5154760719433
2017-06-20,2536.490740130108
2017-06-21,2529.2945120425948
2017-06-22,2528.769642557086
2017-06-23,2524.0269540786926
2017-06-26,2528.9393006561636
2017-06-27,2497.909276467417
2017-06-28,2496.6548448816106
2017-06-29,2469.7331665809693
2017-06-30,2469.8500636946424
2017-07-03,2484.024130761623
2017-07-04,2483.6889884456928
2017-07-05,2491.2644295488462
2017-07-06,2461.2130168397025
2017-07-07,2468.196164271278
2017-07-10,2475.181521506073
2017-07-11,2469.4826476437493
2017-07-12,2492.399394282035
2017-07-13,2503.60756127073
2017-07-14,2508.601785798735
2017-07-17,2505.3243073907147
2017-07-18,2483.1468392658076
2017-07-19,2508.8928007275276
2017-07-20,2489.227375728502
2017-07-21,2479.442024892889
2017-07-24,2479.083211363385
2017-07-25,2480.9216180496082
