Date,EM ASIA ESG LEADERS
2007-09-28,1000.0
2007-10-01,1006.7768646693838
2007-10-02,1037.6432658399058
2007-10-03,1039.07971988791
2007-10-04,1031.1388544293338
2007-10-05,1038.6889644236292
2007-10-08,1047.5473427910924
2007-10-09,1054.552932312865
2007-10-10,1063.920141507877
2007-10-11,1070.1074997271783
2007-10-12,1055.7797041654392
2007-10-15,1069.1852334087087
2007-10-16,1070.8469962904658
2007-10-17,1067.9505037642584
2007-10-18,1062.6207982980397
2007-10-19,1052.981784655253
2007-10-22,1031.3390461390377
2007-10-23,1055.7020496051207
2007-10-24,1052.5962003638285
2007-10-25,1067.1653352370863
2007-10-26,1078.4781339580577
2007-10-29,1106.6252550845065
2007-10-30,1103.2665196646406
2007-10-31,1100.0109402698774
2007-11-01,1097.1422198638265
2007-11-02,1073.1706403612475
2007-11-05,1049.8831767271392
2007-11-06,1050.9958406469848
2007-11-07,1047.8390741836956
2007-11-08,1021.2390586939429
2007-11-09,1023.2958698841734
2007-11-12,998.69603241049
2007-11-13,993.4917665736731
2007-11-14,1027.3928939995812
2007-11-15,1019.3843305291022
2007-11-16,1000.8376237197264
2007-11-19,991.6138474183671
2007-11-20,976.6373078363763
2007-11-21,942.7900563446631
2007-11-22,935.3695423348463
2007-11-23,943.9472474739837
2007-11-26,969.880203592915
2007-11-27,959.5811720399765
2007-11-28,961.590001907179
2007-11-29,984.1581867839809
2007-11-30,1000.7201532199522
2007-12-03,1006.2121353342663
2007-12-04,1005.3516177368784
2007-12-05,1021.3866057487662
2007-12-06,1029.5587586329011
2007-12-07,1024.9982279811816
2007-12-10,1008.5727669936006
2007-12-11,1027.2858626862962
2007-12-12,1017.1052242604145
2007-12-13,1006.7501042890871
2007-12-14,1007.8282590248808
2007-12-17,980.5526165224402
2007-12-18,976.9832604492683
2007-12-19,984.1039936846763
2007-12-20,985.3323663196423
2007-12-21,996.6088938010877
2007-12-24,1017.4197125707695
2007-12-25,1018.8952738836623
2007-12-26,1015.5360864505282
2007-12-27,1010.991177643395
2007-12-28,996.9287974393834
2007-12-31,1008.9811983458119
2008-01-01,1008.6674157026067
2008-01-02,989.2624143015069
2008-01-03,979.0453284280451
2008-01-04,986.1494740071627
2008-01-07,972.4879132684839
2008-01-08,978.0155271786731
2008-01-09,991.0656934776976
2008-01-10,974.9204038955113
2008-01-11,968.0422626780667
2008-01-14,957.671505213081
2008-01-15,949.6712833764018
2008-01-16,927.9168793493649
2008-01-17,931.1464748545001
2008-01-18,930.2660054897945
2008-01-21,898.0652497275132
2008-01-22,835.6221359169175
2008-01-23,872.2978944126558
2008-01-24,866.5015108116845
2008-01-25,903.3746641222396
2008-01-28,869.9969201042729
2008-01-29,884.9794106719206
2008-01-30,867.0111699055784
2008-01-31,873.6382550784381
2008-02-01,891.1160645730536
2008-02-04,915.8531453539382
2008-02-05,928.6442300602436
2008-02-06,908.052669088953
2008-02-07,912.064191376231
2008-02-08,912.623981909919
2008-02-11,884.6990538148577
2008-02-12,881.5870946968074
2008-02-13,888.1038281590734
2008-02-14,915.3408903989415
2008-02-15,915.3766443111302
2008-02-18,910.844519028944
2008-02-19,915.4521515219494
2008-02-20,902.2068245709658
2008-02-21,902.171183833947
2008-02-22,891.1819190044972
2008-02-25,900.856982715643
2008-02-26,904.7101488683688
2008-02-27,906.8776498549431
2008-02-28,905.0162776439092
2008-02-29,894.6096261400211
2008-03-03,863.1410464501599
2008-03-04,857.1962724624303
2008-03-05,855.1564222105376
2008-03-06,861.3479665227729
2008-03-07,837.2511737361473
2008-03-10,816.1380250859864
2008-03-11,826.095420752145
2008-03-12,828.8433385917386
2008-03-13,793.2816681749765
2008-03-14,789.5641668608541
2008-03-17,747.1066842061213
2008-03-18,752.5188643841018
2008-03-19,773.8418289958666
2008-03-20,780.9607061399171
2008-03-21,789.6805425629933
2008-03-24,808.670061144744
2008-03-25,830.1174180923123
2008-03-26,824.1678471766428
2008-03-27,815.9915151854266
2008-03-28,828.7662200569367
2008-03-31,812.7059123066014
2008-04-01,828.9198478001034
2008-04-02,849.749404266316
2008-04-03,852.6802152039936
2008-04-04,842.5303035224778
2008-04-07,855.8666417608589
2008-04-08,846.7862303487402
2008-04-09,840.7651299698126
2008-04-10,853.2123881795214
