Date,EM LATIN AMERICA ESG LEADERS
2007-09-28,1000.0
2007-10-01,1025.7255031057055
2007-10-02,1043.919965538125
2007-10-03,1028.6369535551564
2007-10-04,1034.7183329682587
2007-10-05,1070.3429753864486
2007-10-08,1089.7268774524111
2007-10-09,1108.2743746008107
2007-10-10,1095.1180606247626
2007-10-11,1079.806377180522
2007-10-12,1079.3886901919564
2007-10-15,1071.7237422352057
2007-10-16,1041.352506538909
2007-10-17,1067.3458686846072
2007-10-18,1059.216799839927
2007-10-19,1034.9598536460371
2007-10-22,1042.8399535719343
2007-10-23,1068.5780321419293
2007-10-24,1063.3639262574206
2007-10-25,1062.8799876639287
2007-10-26,1088.0267730361697
2007-10-29,1090.849076890482
2007-10-30,1080.3915260294264
2007-10-31,1091.8615611998848
2007-11-01,1069.9473794707562
2007-11-02,1059.7349226895942
2007-11-05,1041.3300512188066
2007-11-06,1058.7311283794143
2007-11-07,1029.412128035436
2007-11-08,1002.0714324435039
2007-11-09,998.5804641504544
2007-11-12,973.0106397049716
2007-11-13,998.8103735617541
2007-11-14,1022.4421090442833
2007-11-15,1017.276798662157
2007-11-16,1024.2725517652896
2007-11-19,985.5492674894716
2007-11-20,970.5383410870925
2007-11-21,925.2599008293387
2007-11-22,928.0387466496971
2007-11-23,930.4664130349913
2007-11-26,902.1794457903736
2007-11-27,909.0523955044838
2007-11-28,979.5624730736035
2007-11-29,987.9235360858947
2007-11-30,1025.210196173881
2007-12-03,1021.514205415821
2007-12-04,1005.627074725714
2007-12-05,1036.9269257660085
2007-12-06,1059.3197551208675
2007-12-07,1069.3793146262385
2007-12-10,1066.6004324403805
2007-12-11,1044.2582274265394
2007-12-12,1030.3562577548146
2007-12-13,1002.1594963884987
2007-12-14,1010.9262524458175
2007-12-17,965.5704764583697
2007-12-18,985.7071676467651
2007-12-19,998.5899053455468
2007-12-20,1007.3338466220952
2007-12-21,1021.2219030186836
2007-12-24,1021.2001377862221
2007-12-25,1021.2001377862221
2007-12-26,1029.7224025177163
2007-12-27,1019.8659055256799
2007-12-28,1008.5216166597378
2007-12-31,1003.1936039553572
2008-01-01,1003.1936039553572
2008-01-02,968.0658892332181
2008-01-03,971.2026922798711
2008-01-04,943.7559608231935
2008-01-07,947.0452111566443
