Date,EM (EMERGING MARKETS) ESG LEADERS
2007-09-28,1000.0
2007-10-01,1008.7701665516042
2007-10-02,1036.9377017936893
2007-10-03,1039.4141126682832
2007-10-04,1035.0947603189286
2007-10-05,1048.165237332164
2007-10-08,1057.9363602181966
2007-10-09,1064.8560748750895
2007-10-10,1066.7530576919573
2007-10-11,1072.3159438356442
2007-10-12,1062.254616620992
2007-10-15,1069.4614393223742
2007-10-16,1063.4003049807593
2007-10-17,1067.7048955799214
2007-10-18,1060.9402410678467
2007-10-19,1051.037300002937
2007-10-22,1036.254803826137
2007-10-23,1060.7028987219874
2007-10-24,1058.982491708564
2007-10-25,1073.6089358555507
2007-10-26,1089.243862950738
2007-10-29,1108.1537365825359
2007-10-30,1103.55303621634
2007-10-31,1103.6314757768505
2007-11-01,1097.6616100009946
2007-11-02,1078.4221839260504
2007-11-05,1059.441526935443
2007-11-06,1063.9396598783737
2007-11-07,1055.854367493461
2007-11-08,1033.5817815143112
2007-11-09,1031.4466981354967
2007-11-12,1008.6193013959995
2007-11-13,1009.132219762017
2007-11-14,1037.2947399420405
2007-11-15,1029.067311203808
2007-11-16,1014.5641555619435
2007-11-19,1000.8009954080154
2007-11-20,990.5033482883046
2007-11-21,956.1862348401306
2007-11-22,951.062007185316
2007-11-23,957.066597579758
2007-11-26,968.0148236308403
2007-11-27,956.7173185253315
2007-11-28,974.9460245792928
2007-11-29,995.3090139563539
2007-11-30,1013.30203998236
2007-12-03,1015.1181822411542
2007-12-04,1011.2064221886959
2007-12-05,1030.7093531548765
2007-12-06,1042.274938507846
2007-12-07,1042.0532767356517
2007-12-10,1031.5773196154366
2007-12-11,1040.360473377038
2007-12-12,1031.4543416696592
2007-12-13,1015.6902831965857
2007-12-14,1014.7045255512966
2007-12-17,987.5516794484466
2007-12-18,986.6949240025856
2007-12-19,991.3447767760078
2007-12-20,993.9025139374891
2007-12-21,1005.7056916934114
2007-12-24,1020.6566324715009
2007-12-25,1021.6324380595416
2007-12-26,1019.5424382081068
2007-12-27,1020.6832481385499
2007-12-28,1007.8020534292974
2007-12-31,1012.1407999601369
2008-01-01,1011.9297644190659
2008-01-02,995.0642492898347
2008-01-03,985.6204229867581
2008-01-04,984.4029443628074
2008-01-07,973.7978923409152
2008-01-08,982.9227504039062
2008-01-09,987.5358125578329
2008-01-10,973.965243769889
2008-01-11,966.1205106336209
2008-01-14,961.72154959714
2008-01-15,947.2958524995207
2008-01-16,923.6132098843617
2008-01-17,921.6043508724479
2008-01-18,918.8881629857659
2008-01-21,880.8475330227552
2008-01-22,842.5298095633507
2008-01-23,864.371772522492
