Date,BRIC ESG LEADERS
2007-09-28,1000.0
2007-10-01,1009.2752620939771
2007-10-02,1043.1759039968158
2007-10-03,1037.7379426093885
2007-10-04,1025.660921984354
2007-10-05,1047.8342190671872
2007-10-08,1052.8440795209635
2007-10-09,1074.9248054686577
2007-10-10,1080.3174255669676
2007-10-11,1089.281434848781
2007-10-12,1076.6701676766402
2007-10-15,1098.4768664998287
2007-10-16,1090.7750820917524
2007-10-17,1103.266721309214
2007-10-18,1087.0942007057122
2007-10-19,1072.4185227245507
2007-10-22,1058.0911775587554
2007-10-23,1098.0442804225902
2007-10-24,1098.5732782767268
2007-10-25,1104.101727556187
2007-10-26,1119.035038954733
2007-10-29,1150.6810369440977
2007-10-30,1147.6704558924514
2007-10-31,1145.8620221811384
2007-11-01,1132.9659204651557
2007-11-02,1114.2410413354417
2007-11-05,1073.722094662779
2007-11-06,1078.4067809660778
2007-11-07,1068.9945158359426
2007-11-08,1039.747767797494
2007-11-09,1032.6944954476976
2007-11-12,1002.3746520258815
2007-11-13,1006.1424591309614
2007-11-14,1062.446981533351
2007-11-15,1057.543080877101
2007-11-16,1042.0015926406227
2007-11-19,1023.6428734505224
2007-11-20,1014.9214265185072
2007-11-21,971.3456682690265
2007-11-22,961.3222148854974
2007-11-23,977.9656724457853
2007-11-26,990.8953942783087
2007-11-27,985.3280127445724
2007-11-28,1012.0979491031436
2007-11-29,1030.785039820934
2007-11-30,1055.1595336586342
2007-12-03,1064.6161782674621
2007-12-04,1055.7621121300522
2007-12-05,1082.8562305746595
2007-12-06,1093.9792324693044
2007-12-07,1091.4557848076263
2007-12-10,1080.0330028739866
2007-12-11,1092.3494577837587
2007-12-12,1079.4034930373782
2007-12-13,1055.4050936464268
2007-12-14,1062.4440665027205
2007-12-17,1024.7834052084404
2007-12-18,1028.2299593176483
2007-12-19,1038.0111368056462
2007-12-20,1043.0843245012693
2007-12-21,1051.914250314043
2007-12-24,1077.476426712881
2007-12-25,1077.4193867173633
2007-12-26,1082.5219642571385
2007-12-27,1069.0502471062632
2007-12-28,1048.9161223266938
2007-12-31,1057.7558000940921
2008-01-01,1057.1800235602554
2008-01-02,1042.040562072979
2008-01-03,1031.3038350262232
2008-01-04,1036.9987665457684
2008-01-07,1034.1761462322186
2008-01-08,1043.0733310081112
2008-01-09,1054.43559840085
2008-01-10,1046.1924533234323
2008-01-11,1040.4367439294078
2008-01-14,1031.9962556981793
2008-01-15,1002.549714925033
2008-01-16,977.0368593880343
2008-01-17,973.059569460844
2008-01-18,959.1218596086107
2008-01-21,901.6471938203717
2008-01-22,853.3183926095691
2008-01-23,900.160677725962
2008-01-24,890.5234775592132
2008-01-25,936.8524485613449
2008-01-28,909.6720413126991
2008-01-29,919.8634822688596
2008-01-30,896.2159579006477
2008-01-31,890.5620584755791
2008-02-01,917.2671466203759
2008-02-04,942.2768320945671
2008-02-05,949.5566374520405
2008-02-06,911.935263862895
2008-02-07,908.3136926785793
2008-02-08,905.6085418608277
2008-02-11,884.8695504598236
2008-02-12,898.0101084640775
2008-02-13,912.6788954043851
2008-02-14,932.143084882705
2008-02-15,936.0109841965988
2008-02-18,936.084618836291
2008-02-19,931.4772296150288
2008-02-20,922.3789922007159
2008-02-21,922.3186168541715
2008-02-22,913.5138354283603
2008-02-25,922.6733079987276
2008-02-26,935.8829958181741
2008-02-27,943.1183940686694
2008-02-28,938.359551683538
2008-02-29,922.4554214197357
2008-03-03,897.2111766276456
2008-03-04,878.2123199937156
2008-03-05,887.5775879953682
2008-03-06,879.0915884706093
2008-03-07,846.5993151951415
2008-03-10,838.8972525702887
2008-03-11,855.7646831374748
2008-03-12,856.5611288886745
2008-03-13,819.6358554187042
2008-03-14,822.7547019478988
2008-03-17,770.240184404006
2008-03-18,780.8856080185891
2008-03-19,788.318240473272
2008-03-20,783.535253463701
2008-03-21,783.6355300693177
2008-03-24,793.2841624719003
2008-03-25,830.5451695779361
2008-03-26,823.3550524458248
2008-03-27,819.3118119521665
2008-03-28,838.0885549325367
2008-03-31,814.1786351527022
2008-04-01,840.6373841812534
2008-04-02,862.7072803756824
2008-04-03,874.5104332996782
2008-04-04,864.6100237215658
2008-04-07,886.1966836901031
2008-04-08,878.3989323595182
2008-04-09,870.6956162890565
2008-04-10,879.7186937677067
2008-04-11,884.4371912528329
2008-04-14,864.647583091936
2008-04-15,877.1445937775301
2008-04-16,884.6272013876121
2008-04-17,902.2882548026785
2008-04-18,915.2685628162064
2008-04-21,913.47366996528
2008-04-22,908.1212376917749
2008-04-23,920.7151005572517
2008-04-24,936.7776421206634
2008-04-25,943.5427771503735
2008-04-28,947.5525009558643
2008-04-29,945.4765369312471
2008-04-30,962.3545759980669
2008-05-01,975.1087453350366
2008-05-02,1004.0384292986334
2008-05-05,993.8087808347169
2008-05-06,984.5089163499914
2008-05-07,976.7401069198871
2008-05-08,966.633353210277
2008-05-09,950.0600452840388
2008-05-12,952.436113983272
2008-05-13,957.6001989317349
2008-05-14,960.029470694374
2008-05-15,969.7533014286644
2008-05-16,978.3307042689569
2008-05-19,989.018361748053
2008-05-20,964.9970051319818
2008-05-21,956.0542732063027
2008-05-22,945.8190685057712
2008-05-23,927.315376636081
2008-05-26,900.6507307421919
2008-05-27,904.1684415743977
2008-05-28,921.872354467149
2008-05-29,922.7114479281827
2008-05-30,938.0365549987166
2008-06-02,935.026051923355
2008-06-03,926.6664846976772
2008-06-04,908.6741145068477
2008-06-05,916.9677537810813
2008-06-06,901.3560434240306
2008-06-09,890.0258031605057
2008-06-10,877.1507741228934
2008-06-11,870.3456005343813
2008-06-12,880.3745322641842
2008-06-13,873.053503513188
2008-06-16,881.3381473164948
2008-06-17,895.7512744600615
2008-06-18,886.9886489343687
2008-06-19,879.2107422692201
2008-06-20,849.0399232056807
2008-06-23,851.0843747159732
2008-06-24,836.4731002686967
2008-06-25,849.883258096689
2008-06-26,834.2977195033656
2008-06-27,816.22224572283
2008-06-30,819.2888860996968
2008-07-01,806.6227341771583
2008-07-02,799.8589877298857
2008-07-03,779.3646566460801
2008-07-04,787.0469292908766
2008-07-07,799.876395048003
2008-07-08,790.3591083551685
2008-07-09,806.6432591307344
2008-07-10,805.7791851460775
2008-07-11,799.7470805525827
2008-07-14,799.1665788624497
2008-07-15,773.5949493965591
2008-07-16,791.7827086069406
2008-07-17,803.8311857512484
2008-07-18,810.9664599491817
2008-07-21,824.3094819035633
2008-07-22,827.9506530207902
2008-07-23,856.6301669870401
2008-07-24,847.2023133266272
2008-07-25,824.3892459551919
2008-07-28,816.4186414602347
2008-07-29,814.2671179997251
2008-07-30,842.601085417755
2008-07-31,839.6943781783588
2008-08-01,847.3838922488571
2008-08-04,824.4331736557064
2008-08-05,831.857510689604
