Date,EM EMEA ESG LEADERS
2007-09-28,1000.0
2007-10-01,1003.8104504079755
2007-10-02,1029.1346420082011
2007-10-03,1048.6016743172838
2007-10-04,1050.2919347091758
2007-10-05,1067.5917934047682
2007-10-08,1073.7330225810795
2007-10-09,1071.7730893665425
2007-10-10,1056.632185192572
2007-10-11,1075.2037155573134
2007-10-12,1074.103018667697
2007-10-15,1068.9236367972453
2007-10-16,1051.6673805138748
2007-10-17,1067.1313805177842
2007-10-18,1055.964466312559
2007-10-19,1055.6375310072315
2007-10-22,1050.0145642304947
2007-10-23,1073.8349003972237
2007-10-24,1079.9111858735203
2007-10-25,1105.888026482003
2007-10-26,1130.813927938571
2007-10-29,1126.746092685468
2007-10-30,1121.768383689942
2007-10-31,1126.049611297653
2007-11-01,1120.108870820058
2007-11-02,1112.0931086125418
2007-11-05,1108.9531503184105
2007-11-06,1116.736143304699
2007-11-07,1105.6726883533202
2007-11-08,1103.4730205573949
2007-11-09,1086.5057347938223
2007-11-12,1072.3907384808272
2007-11-13,1075.865616173529
2007-11-14,1085.697554060625
2007-11-15,1074.387417324474
2007-11-16,1059.3152629699873
2007-11-19,1046.7965002759727
2007-11-20,1057.7142465141833
2007-11-21,1029.7227765471562
2007-11-22,1027.45839118012
2007-11-23,1026.354994973446
2007-11-26,1009.5112309589496
2007-11-27,981.0043078593062
2007-11-28,1022.0729255588643
2007-11-29,1042.9443046666784
2007-11-30,1052.1058173037604
2007-12-03,1044.8033712739568
2007-12-04,1038.6164990508842
2007-12-05,1062.0482074043655
2007-12-06,1077.902198498769
2007-12-07,1085.6479965061774
2007-12-10,1090.6101742040537
2007-12-11,1086.5626986549512
2007-12-12,1085.6587502895604
2007-12-13,1059.6397492055473
2007-12-14,1044.472710419499
2007-12-17,1030.5841343173909
2007-12-18,1024.3716822827323
2007-12-19,1014.5021266694852
2007-12-20,1017.3550846902868
2007-12-21,1029.5655354045614
2007-12-24,1034.5660620450544
2007-12-25,1034.4787928293586
2007-12-26,1029.3197780503226
2007-12-27,1058.2660334285142
2007-12-28,1048.4131124426892
2007-12-31,1032.4830459093048
2008-01-01,1032.4830459093048
2008-01-02,1037.4572274786678
2008-01-03,1021.8144960005654
2008-01-04,1009.8617604609025
2008-01-07,1000.1567801724724
2008-01-08,1016.3527465161934
2008-01-09,998.5961359051711
2008-01-10,974.0358754634171
2008-01-11,966.712769829467
2008-01-14,974.0393594846785
2008-01-15,954.1653860672523
2008-01-16,918.7990440216878
2008-01-17,918.491361736215
2008-01-18,911.6006444858168
2008-01-21,861.4410400752737
2008-01-22,862.5016910733947
2008-01-23,856.4487141126458
2008-01-24,899.0389909217173
2008-01-25,887.277891083153
2008-01-28,851.88658309668
2008-01-29,870.0331144858601
2008-01-30,869.3817374725857
2008-01-31,841.9276212137607
2008-02-01,876.2329216135917
2008-02-04,881.3960966128184
2008-02-05,850.3802605165403
2008-02-06,838.0856644441933
2008-02-07,816.9582967910478
2008-02-08,815.379502891015
2008-02-11,812.6099103215802
2008-02-12,844.2051413924324
2008-02-13,859.4124990694022
2008-02-14,872.0001402293506
2008-02-15,852.7563348580237
2008-02-18,868.2725026347615
2008-02-19,875.7689092912232
2008-02-20,852.5515158603572
2008-02-21,862.006498359632
2008-02-22,858.3788561780852
2008-02-25,874.6798346236909
2008-02-26,905.1276740902126
2008-02-27,896.5220224818789
2008-02-28,881.6744167859837
2008-02-29,862.7415273280252
2008-03-03,838.923143435627
2008-03-04,823.709393000348
2008-03-05,833.4091988306831
2008-03-06,822.667510315085
2008-03-07,808.4814014749268
2008-03-10,804.6262091117712
2008-03-11,842.6893614857504
2008-03-12,848.7186977195761
2008-03-13,815.6937484333637
2008-03-14,818.0176032211922
2008-03-17,771.9824936644151
2008-03-18,797.3096023603467
2008-03-19,809.811942890481
2008-03-20,786.2432919370713
2008-03-21,787.1093110650445
2008-03-24,796.3081513554527
2008-03-25,816.672060668321
2008-03-26,811.4043073150538
2008-03-27,819.8281959450542
2008-03-28,808.0902487830092
2008-03-31,787.1364611615967
2008-04-01,822.512136720558
2008-04-02,846.5436959944292
2008-04-03,840.4518980571304
2008-04-04,844.5009674805672
2008-04-07,862.2742230643977
2008-04-08,861.5095443066614
2008-04-09,857.405282926114
2008-04-10,844.9462913993663
2008-04-11,835.4491331884598
2008-04-14,822.9937066456897
2008-04-15,827.3847111836959
2008-04-16,826.2452730719586
2008-04-17,831.9970170535627
2008-04-18,849.1684595829452
2008-04-21,840.5647290050322
2008-04-22,845.9897881351422
2008-04-23,845.9289657318312
2008-04-24,840.7193829664072
2008-04-25,851.9130294161179
2008-04-28,861.8000232586008
2008-04-29,858.468564901434
2008-04-30,865.9693122838426
2008-05-01,863.211339638457
2008-05-02,874.1100580093549
2008-05-05,880.3165438928932
2008-05-06,886.9923389174018
2008-05-07,906.1194984563169
2008-05-08,894.0699866737805
