Date,ACWI IMI VALUE WEIGHTED
1994-11-30,249.8151171494
1994-12-30,251.8907501632
1995-01-31,248.3165857052
1995-02-28,251.09811296
1995-03-31,260.6139840237
1995-04-28,268.861715791
1995-05-31,273.0516737392
1995-06-30,273.7081837522
1995-07-31,286.613791996
1995-08-31,282.3554383478
1995-09-29,289.003972896
1995-10-31,282.7052394291
1995-11-30,290.3208693156
1995-12-29,298.911719841
1996-01-31,305.8237320273
1996-02-29,308.5647944302
1996-03-29,313.1032654734
1996-04-30,322.1476244883
1996-05-31,323.6747843587
1996-06-28,324.1082557209
1996-07-31,312.0721362197
1996-08-30,317.2666295405
1996-09-30,326.0081825093
1996-10-31,328.2895702983
1996-11-29,344.399639231
1996-12-31,341.951878146
1997-01-01,341.9526905863
1997-01-02,339.8187912967
1997-01-03,341.3741733894
1997-01-06,342.4651020113
1997-01-07,343.4024323833
1997-01-08,342.8610604771
1997-01-09,342.8403159611
1997-01-10,341.4594325443
1997-01-13,343.4406510721
1997-01-14,345.9421349364
1997-01-15,346.837975753
1997-01-16,348.3248121839
1997-01-17,348.5862475999
1997-01-20,347.3717646327
1997-01-21,347.2525893507
1997-01-22,348.114210969
1997-01-23,346.8081430421
1997-01-24,344.8350897736
1997-01-27,342.5497905963
1997-01-28,342.0254800823
1997-01-29,342.6206124399
1997-01-30,344.1686470682
1997-01-31,346.1732861222
1997-02-03,346.1633922244
1997-02-04,347.0371737947
1997-02-05,345.7307645796
1997-02-06,346.0060119926
1997-02-07,346.686314889
1997-02-10,348.4581274371
1997-02-11,348.3685407904
1997-02-12,350.4540598788
1997-02-13,352.0944790178
1997-02-14,352.400072585
1997-02-17,352.1049679941
1997-02-18,352.8601724169
1997-02-19,352.4992005192
1997-02-20,352.5058899439
1997-02-21,352.994148044
1997-02-24,355.2610336287
1997-02-25,356.8377467861
1997-02-26,354.4081958935
1997-02-27,352.7807432936
1997-02-28,351.2083757748
1997-03-03,351.0292940457
1997-03-04,351.0482198713
1997-03-05,352.0763225867
1997-03-06,352.29997597
1997-03-07,353.6241586376
1997-03-10,356.1620207226
1997-03-11,356.2750274829
1997-03-12,353.6332917487
1997-03-13,350.0858356562
1997-03-14,350.5298621408
1997-03-17,349.5333838489
1997-03-18,348.650206881
1997-03-19,347.8207359588
1997-03-20,345.3338193005
1997-03-21,347.0153573651
1997-03-24,347.1111526546
1997-03-25,348.3426790774
1997-03-26,349.5842882866
1997-03-27,347.8225943613
1997-03-28,347.7397237855
1997-03-31,345.0010365341
1997-04-01,342.2763307893
1997-04-02,341.2762978417
1997-04-03,340.2212900525
1997-04-04,340.8765117853
1997-04-07,341.0212631468
1997-04-08,341.6939283221
1997-04-09,341.0366276108
1997-04-10,339.8235818774
1997-04-11,336.2806846632
1997-04-14,335.3319118489
1997-04-15,338.2767521556
1997-04-16,340.4875399242
1997-04-17,341.0581689235
1997-04-18,342.4424187654
1997-04-21,342.9601772287
