Date,BELGIUM VALUE
1974-12-31,100.0
1975-01-31,112.7424
1975-02-28,120.75406
1975-03-31,118.16533
1975-04-30,118.80044
1975-05-30,118.6624
1975-06-30,116.51686
1975-07-31,106.9578
1975-08-29,107.74711
1975-09-30,97.40733
1975-10-31,99.4687
1975-11-28,106.18862
1975-12-31,106.29766
1976-01-30,113.21422
1976-02-27,112.20196
1976-03-31,108.62546
1976-04-30,109.23652
1976-05-31,105.50228
1976-06-30,104.42871
1976-07-30,104.13715
1976-08-31,103.54747
1976-09-30,103.16272
1976-10-29,103.92196
1976-11-30,110.85902
1976-12-31,118.62125
1977-01-31,114.57443
1977-02-28,116.43512
1977-03-31,114.07819
1977-04-29,118.35053
1977-05-31,116.99317
1977-06-30,121.49919
1977-07-29,124.75927
1977-08-31,122.6077
1977-09-30,121.03665
1977-10-31,122.87379
1977-11-30,120.95417
1977-12-30,128.6061
1978-01-31,131.15091
1978-02-28,137.94842
1978-03-31,140.60521
1978-04-28,146.42529
1978-05-31,138.65176
1978-06-30,137.12506
1978-07-31,142.19244
1978-08-31,146.30867
1978-09-29,152.47511
1978-10-31,171.28583
1978-11-30,157.93404
1978-12-29,168.25563
1979-01-31,176.2611
1979-02-28,176.56813
1979-03-30,180.65473
1979-04-30,183.20612
1979-05-31,180.87171
1979-06-29,190.62079
1979-07-31,193.47891
1979-08-31,194.52617
1979-09-28,203.73145
1979-10-31,189.10683
1979-11-30,196.44953
1979-12-31,196.15209
1980-01-31,197.39897
1980-02-29,184.47812
1980-03-31,161.24106
1980-04-30,188.64985
1980-05-30,187.49352
1980-06-30,194.8969
1980-07-31,194.70916
1980-08-29,186.41093
1980-09-30,177.68473
1980-10-31,164.54556
1980-11-28,153.8852
1980-12-31,150.01152
1981-01-30,141.13176
1981-02-27,139.75116
1981-03-31,133.37088
1981-04-30,130.89477
1981-05-29,113.23186
1981-06-30,109.52531
1981-07-31,97.56713
1981-08-31,99.67501
1981-09-30,99.66217
1981-10-30,102.14601
1981-11-30,106.09583
1981-12-31,129.62613
1982-01-29,140.61894
1982-02-26,139.44949
1982-03-31,129.79558
1982-04-30,133.50643
1982-05-31,123.16985
1982-06-30,117.433
1982-07-30,125.38629
1982-08-31,129.75613
1982-09-30,131.65252
1982-10-29,129.62426
1982-11-30,133.52671
1982-12-31,145.10784
1983-01-31,146.81302
1983-02-28,150.98058
1983-03-31,171.11759
1983-04-29,180.47407
1983-05-31,175.1078
1983-06-30,184.93546
1983-07-29,190.35416
1983-08-31,180.68667
1983-09-30,182.48427
1983-10-31,172.58181
1983-11-30,173.80875
1983-12-30,184.12395
1984-01-31,190.76287
1984-02-29,192.15789
1984-03-30,202.60692
1984-04-30,211.15219
1984-05-31,201.85752
1984-06-29,190.79788
1984-07-31,188.16051
1984-08-31,211.41095
1984-09-28,204.21664
1984-10-31,211.45296
1984-11-30,205.03539
1984-12-31,205.50913
1985-01-31,199.43116
1985-02-28,200.95111
1985-03-29,222.16195
1985-04-30,214.55498
1985-05-31,229.75007
1985-06-28,222.86568
1985-07-31,245.37896
1985-08-30,256.0793
1985-09-30,285.35196
1985-10-31,339.00642
1985-11-29,376.66565
1985-12-31,387.02561
1986-01-31,382.18021
1986-02-28,490.21225
1986-03-31,512.85992
1986-04-30,562.7745
1986-05-30,514.48254
1986-06-30,533.07991
1986-07-31,542.36445
1986-08-29,582.75946
1986-09-30,585.6633
1986-10-31,593.81227
1986-11-28,640.34547
1986-12-31,658.44186
1987-01-30,704.16191
1987-02-27,726.62247
1987-03-31,756.64791
1987-04-30,801.76959
1987-05-29,752.2796
1987-06-30,800.34897
1987-07-31,850.80504
1987-08-31,872.80746
1987-09-30,822.75744
1987-10-30,683.58223
1987-11-30,693.71878
1987-12-31,727.48488
1988-01-29,758.03577
1988-02-29,995.60751
1988-03-31,998.60156
1988-04-29,1020.94606
1988-05-31,961.70587
1988-06-30,965.30227
1988-07-29,920.81978
1988-08-31,929.71046
1988-09-30,998.99251
1988-10-31,1097.15322
1988-11-30,1132.92212
1988-12-30,1148.48708
1989-01-31,1161.04051
1989-02-28,1152.81149
1989-03-31,1142.75515
1989-04-28,1177.57176
1989-05-31,1129.94774
1989-06-30,1148.64087
1989-07-31,1204.32247
1989-08-31,1158.44823
1989-09-29,1233.98316
1989-10-31,1199.37212
1989-11-30,1285.21572
1989-12-29,1358.17745
1990-01-31,1296.13197
1990-02-28,1183.59331
1990-03-30,1296.17872
1990-04-30,1301.12237
1990-05-31,1331.0182
1990-06-29,1319.10262
1990-07-31,1397.6004
1990-08-31,1257.77025
1990-09-28,1148.19529
1990-10-31,1278.79271
1990-11-30,1285.81931
1990-12-31,1292.36688
1991-01-31,1351.46471
1991-02-28,1455.80878
1991-03-29,1367.88631
1991-04-30,1317.08878
1991-05-31,1318.44818
1991-06-28,1246.78458
1991-07-31,1263.08243
1991-08-30,1255.58781
1991-09-30,1271.06071
1991-10-31,1308.56703
1991-11-29,1315.31198
1991-12-31,1469.15619
1992-01-31,1471.93166
1992-02-28,1485.92932
1992-03-31,1447.83123
1992-04-30,1466.23102
1992-05-29,1541.80311
1992-06-30,1559.33464
1992-07-31,1592.25634
1992-08-31,1578.73879
1992-09-30,1649.86253
1992-10-30,1602.93652
1992-11-30,1550.26393
1992-12-31,1565.13879
1993-01-29,1670.64568
1993-02-26,1700.82773
1993-03-31,1844.75664
1993-04-30,1787.95174
1993-05-31,1758.28371
1993-06-30,1756.92371
1993-07-30,1718.01286
1993-08-31,1757.02236
1993-09-30,1777.93465
1993-10-29,1828.95586
1993-11-30,1877.50764
1993-12-31,1999.30609
1994-01-31,2100.61297
1994-02-28,2068.0126
1994-03-31,2029.85235
1994-04-29,2169.70468
1994-05-31,2112.84976
1994-06-30,2067.5664
1994-07-29,2170.5164
1994-08-31,2219.70579
1994-09-30,2096.69543
1994-10-31,2183.31772
1994-11-30,2193.01529
1994-12-30,2232.82329
1995-01-31,2253.30456
1995-02-28,2369.45246
1995-03-31,2521.12738
1995-04-28,2744.0201
1995-05-31,2759.57628
1995-06-30,2763.81532
1995-07-31,2843.47051
1995-08-31,2650.59764
1995-09-29,2750.37084
1995-10-31,2770.98437
1995-11-30,2845.93291
