Date,UNITED KINGDOM VALUE
1974-12-31,100.0
1975-01-31,153.41875
1975-02-28,198.47949
1975-03-31,176.22752
1975-04-30,207.23818
1975-05-30,215.6028
1975-06-30,185.38612
1975-07-31,175.69247
1975-08-29,199.94225
1975-09-30,198.1201
1975-10-31,211.80773
1975-11-28,207.89056
1975-12-31,217.46801
1976-01-30,239.08775
1976-02-27,230.31797
1976-03-31,215.63524
1976-04-30,218.60193
1976-05-31,198.74659
1976-06-30,197.00827
1976-07-30,189.80213
1976-08-31,181.61232
1976-09-30,163.13108
1976-10-29,142.81907
1976-11-30,156.84028
1976-12-31,189.5256
1977-01-31,209.11349
1977-02-28,213.94503
1977-03-31,228.89331
1977-04-29,230.12923
1977-05-31,237.94896
1977-06-30,241.85579
1977-07-29,237.83195
1977-08-31,264.69958
1977-09-30,287.65604
1977-10-31,292.5859
1977-11-30,278.95921
1977-12-30,298.51186
1978-01-31,292.03068
1978-02-28,278.55099
1978-03-31,285.80234
1978-04-28,288.72251
1978-05-31,300.63126
1978-06-30,294.24412
1978-07-31,320.95973
1978-08-31,328.57693
1978-09-29,332.70429
1978-10-31,347.24799
1978-11-30,332.7596
1978-12-29,342.85122
1979-01-31,344.90534
1979-02-28,377.4867
1979-03-30,424.53429
1979-04-30,447.62916
1979-05-31,421.0964
1979-06-29,418.84622
1979-07-31,417.05065
1979-08-31,431.00095
1979-09-28,437.78236
1979-10-31,381.30985
1979-11-30,397.88685
1979-12-31,405.35067
1980-01-31,448.2114
1980-02-29,466.63513
1980-03-31,413.30077
1980-04-30,453.41195
1980-05-30,447.40241
1980-06-30,498.34885
1980-07-31,515.82246
1980-08-29,524.18845
1980-09-30,524.78645
1980-10-31,542.46121
1980-11-28,519.29988
1980-12-31,510.72526
1981-01-30,511.503
1981-02-27,500.09147
1981-03-31,506.3882
1981-04-30,531.58472
1981-05-29,483.38141
1981-06-30,467.94585
1981-07-31,447.19542
1981-08-31,460.61226
1981-09-30,382.7162
1981-10-30,415.07956
1981-11-30,499.33877
1981-12-31,471.87409
1982-01-29,481.69489
1982-02-26,446.09472
1982-03-31,453.34377
1982-04-30,464.06013
1982-05-31,476.00326
1982-06-30,439.11813
1982-07-30,440.25092
1982-08-31,445.9834
1982-09-30,445.18489
1982-10-29,468.55841
1982-11-30,444.53775
1982-12-31,454.29192
1983-01-31,458.30586
1983-02-28,454.12808
1983-03-31,469.92433
1983-04-29,540.88041
1983-05-31,557.79263
1983-06-30,578.12998
1983-07-29,548.10181
1983-08-31,553.68085
1983-09-30,556.12619
1983-10-31,545.00479
1983-11-30,566.1226
1983-12-30,573.21292
1984-01-31,615.01894
1984-02-29,639.36602
1984-03-30,658.82605
1984-04-30,660.45053
1984-05-31,600.13383
1984-06-29,597.14186
1984-07-31,558.6611
1984-08-31,611.85661
1984-09-28,602.53782
1984-10-31,596.87917
1984-11-30,609.8205
1984-12-31,612.12246
1985-01-31,633.31773
1985-02-28,603.69208
1985-03-29,690.97962
1985-04-30,705.28763
1985-05-31,742.02525
1985-06-28,732.22428
1985-07-31,810.87411
1985-08-30,854.68975
1985-09-30,825.00178
1985-10-31,920.99869
1985-11-29,988.418
1985-12-31,965.29205
1986-01-31,975.16343
1986-02-28,1082.71695
1986-03-31,1199.00361
1986-04-30,1275.56052
1986-05-30,1172.26298
1986-06-30,1280.6115
1986-07-31,1184.61976
1986-08-29,1260.96818
1986-09-30,1191.90211
1986-10-31,1225.99076
1986-11-28,1273.3219
1986-12-31,1342.533
1987-01-30,1503.38772
1987-02-27,1643.20507
1987-03-31,1765.72655
1987-04-30,1899.42527
1987-05-29,2017.24386
1987-06-30,2100.29218
1987-07-31,2143.30709
1987-08-31,2096.32319
1987-09-30,2194.21934
1987-10-30,1727.85802
1987-11-30,1660.3033
1987-12-31,1872.02584
1988-01-29,1862.59756
1988-02-29,1864.13729
1988-03-31,1983.88021
1988-04-29,2038.0627
1988-05-31,1990.41881
1988-06-30,1894.46466
1988-07-29,1935.25556
1988-08-31,1810.69653
1988-09-30,1895.59558
1988-10-31,2058.07703
1988-11-30,2090.78617
1988-12-30,2048.86206
1989-01-31,2283.05062
1989-02-28,2202.77556
1989-03-31,2214.51565
1989-04-28,2232.55556
1989-05-31,2068.92865
1989-06-30,2081.59621
1989-07-31,2427.15017
1989-08-31,2342.40296
1989-09-29,2365.71997
1989-10-31,2128.28927
1989-11-30,2254.53043
1989-12-29,2534.76318
1990-01-31,2553.91794
1990-02-28,2495.48972
1990-03-30,2428.83326
1990-04-30,2270.05717
1990-05-31,2587.39993
1990-06-29,2717.42707
1990-07-31,2854.46999
1990-08-31,2708.92796
1990-09-28,2446.82126
1990-10-31,2641.99231
1990-11-30,2791.73513
1990-12-31,2764.25439
1991-01-31,2830.06874
1991-02-28,3081.44291
1991-03-29,2873.26796
1991-04-30,2850.81289
1991-05-31,2868.81837
1991-06-28,2590.30996
1991-07-31,2901.76661
1991-08-30,2980.16944
1991-09-30,3078.76863
1991-10-31,2932.69149
1991-11-29,2729.96847
1991-12-31,2905.35363
1992-01-31,2872.54624
1992-02-28,2838.23688
1992-03-31,2663.26013
1992-04-30,3048.23841
1992-05-29,3204.81858
1992-06-30,3047.73309
1992-07-31,2888.00596
1992-08-31,2875.13935
1992-09-30,2825.73787
1992-10-30,2609.68901
1992-11-30,2647.46013
1992-12-31,2791.79604
1993-01-29,2791.69791
1993-02-26,2777.23659
1993-03-31,3041.20503
1993-04-30,3154.02675
1993-05-31,3199.1436
1993-06-30,3200.91409
1993-07-30,3208.142
1993-08-31,3396.8554
1993-09-30,3393.74472
1993-10-29,3531.65271
1993-11-30,3531.7477
1993-12-31,3846.49844
1994-01-31,4068.56446
1994-02-28,3863.65134
1994-03-31,3641.39948
1994-04-29,3742.3791
1994-05-31,3562.64219
1994-06-30,3616.61593
1994-07-29,3803.95917
1994-08-31,4016.95446
1994-09-30,3868.4499
1994-10-31,4123.91211
1994-11-30,3926.12847
1994-12-30,3922.31866
1995-01-31,3857.36544
1995-02-28,3872.2557
1995-03-31,4164.62865
1995-04-28,4229.61332
1995-05-31,4345.23221
1995-06-30,4285.22999
1995-07-31,4568.10568
1995-08-31,4454.10231
1995-09-29,4534.7905
1995-10-31,4466.24908
1995-11-30,4523.03962
1995-12-29,4663.2377
1996-01-31,4640.29226
1996-02-29,4709.48635
1996-03-29,4701.67407
1996-04-30,4765.66866
1996-05-31,4807.2808
1996-06-28,4751.57709
1996-07-31,4806.60994
1996-08-30,5067.62396
1996-09-30,5117.95852
1996-10-31,5376.52283
1996-11-29,5735.15417
1996-12-31,5986.96434
1997-01-31,5839.633725317186
1997-02-28,6037.342079246461
1997-03-31,6047.223951202755
1997-04-30,6176.104588960984
1997-05-30,6557.991967968906
1997-06-30,6601.934392776146
1997-07-31,6923.881092642245
1997-08-29,6763.714347025083
1997-09-30,7232.827412907255
1997-10-31,7200.253414310962
1997-11-28,7268.339577103052
1997-12-31,7454.232625053983
1998-01-30,7838.160626769258
1998-02-27,8286.607301096263
1998-03-31,8857.942259301431
1998-04-30,8750.320529473884
1998-05-29,8364.995611084494
1998-06-30,8457.018534126328
1998-07-31,8408.821686526946
1998-08-31,7615.265130310416
1998-09-30,7587.966921307159
1998-10-30,7972.444997547297
1998-11-30,8305.221573419118
1998-12-31,8250.090540675415
1999-01-29,7924.508425923922
1999-02-26,8258.838823468423
1999-03-31,8687.541083964774
1999-04-30,9484.894542006023
1999-05-31,8912.267918113032
1999-06-30,8903.575428935479
1999-07-30,9196.455920344077
1999-08-31,9161.776260254372
1999-09-30,9111.533686176354
1999-10-29,9099.135605962558
1999-11-30,9041.567238724698
1999-12-31,9501.48678477491
2000-01-31,8547.406016552311
2000-02-29,8123.936005292806
2000-03-31,8759.60432234563
2000-04-28,8133.61006748698
2000-05-31,8222.877007910087
2000-06-30,8211.630942736288
2000-07-31,8335.075202873291
2000-08-31,8326.61720321052
2000-09-29,8113.17308141503
2000-10-31,8481.846851619443
2000-11-30,7865.847176660733
2000-12-29,8510.595180446757
2001-01-01,8510.595180446757
2001-01-02,8434.991868618554
2001-01-03,8308.505184836782
2001-01-04,8590.851999644057
2001-01-05,8644.735567314385
2001-01-08,8539.258428929594
2001-01-09,8417.854795346873
2001-01-10,8334.704454170107
2001-01-11,8431.042907235238
2001-01-12,8401.472351160191
2001-01-15,8324.128136786518
2001-01-16,8167.485372674031
2001-01-17,8349.289191552878
2001-01-18,8355.476063712102
2001-01-19,8305.402577756575
2001-01-22,8270.65673215061
2001-01-23,8326.856559024232
2001-01-24,8384.012236590388
