Date,FRANCE VALUE
1974-12-31,100.0
1975-01-31,122.54049
1975-02-28,125.1696
1975-03-31,132.38471
1975-04-30,142.74239
1975-05-30,138.90344
1975-06-30,125.35893
1975-07-31,124.17642
1975-08-29,125.54077
1975-09-30,115.35668
1975-10-31,122.7303
1975-11-28,128.86104
1975-12-31,127.01422
1976-01-30,133.46871
1976-02-27,139.19545
1976-03-31,129.18772
1976-04-30,124.2518
1976-05-31,121.74117
1976-06-30,117.59159
1976-07-30,106.25858
1976-08-31,106.42553
1976-09-30,97.68464
1976-10-29,91.33854
1976-11-30,87.34492
1976-12-31,100.3924
1977-01-31,99.51481
1977-02-28,94.55025
1977-03-31,87.85114
1977-04-29,85.72314
1977-05-31,90.80637
1977-06-30,96.79709
1977-07-29,93.93369
1977-08-31,101.63656
1977-09-30,106.95151
1977-10-31,112.10202
1977-11-30,104.8239
1977-12-30,104.971
1978-01-31,99.76774
1978-02-28,102.65839
1978-03-31,132.26274
1978-04-28,141.11315
1978-05-31,150.85297
1978-06-30,152.77502
1978-07-31,177.00699
1978-08-31,172.36166
1978-09-29,198.67704
1978-10-31,197.20883
1978-11-30,175.44828
1978-12-29,189.68205
1979-01-31,184.26843
1979-02-28,175.6493
1979-03-30,186.07335
1979-04-30,196.4067
1979-05-31,188.90476
1979-06-29,219.58344
1979-07-31,215.99507
1979-08-31,236.09471
1979-09-28,276.86106
1979-10-31,244.29707
1979-11-30,253.0195
1979-12-31,252.31567
1980-01-31,260.22655
1980-02-29,257.24075
1980-03-31,218.53993
1980-04-30,242.80793
1980-05-30,255.01786
1980-06-30,262.57597
1980-07-31,251.73523
1980-08-29,260.26778
1980-09-30,250.90311
1980-10-31,244.77607
1980-11-28,239.0686
1980-12-31,226.98781
1981-01-30,200.7034
1981-02-27,204.93108
1981-03-31,216.88637
1981-04-30,194.49812
1981-05-29,152.11461
1981-06-30,144.13583
1981-07-31,145.04067
1981-08-31,155.69544
1981-09-30,158.34267
1981-10-30,159.2532
1981-11-30,173.71312
1981-12-31,169.09178
1982-01-29,178.19546
1982-02-26,190.46991
1982-03-31,165.41333
1982-04-30,183.57808
1982-05-31,176.73863
1982-06-30,145.48156
1982-07-30,136.07936
1982-08-31,140.36787
1982-09-30,134.18246
1982-10-29,137.97786
1982-11-30,146.20919
1982-12-31,152.0119
1983-01-31,162.17234
1983-02-28,170.01645
1983-03-31,175.95272
1983-04-29,182.63095
1983-05-31,188.36591
1983-06-30,188.12222
1983-07-29,186.6799
1983-08-31,196.532
1983-09-30,201.7044
1983-10-31,199.93098
