Date,AUSTRIA VALUE
1974-12-31,100.0
1975-01-31,103.1076
1975-02-28,111.18518
1975-03-31,111.13932
1975-04-30,108.34763
1975-05-30,106.1596
1975-06-30,104.73957
1975-07-31,95.1143
1975-08-29,94.06686
1975-09-30,90.85333
1975-10-31,95.40167
1975-11-28,93.48175
1975-12-31,95.9048
1976-01-30,97.85723
1976-02-27,100.95052
1976-03-31,103.3544
1976-04-30,101.31393
1976-05-31,99.68674
1976-06-30,98.79566
1976-07-30,101.81109
1976-08-31,105.80331
1976-09-30,110.42501
1976-10-29,109.8695
1976-11-30,107.35385
1976-12-31,114.53
1977-01-31,111.51623
1977-02-28,116.71619
1977-03-31,115.26036
1977-04-29,117.05731
1977-05-31,116.27906
1977-06-30,115.04694
1977-07-29,117.82361
1977-08-31,116.5282
1977-09-30,115.25525
1977-10-31,117.73358
1977-11-30,115.46699
1977-12-30,124.37413
1978-01-31,125.7527
1978-02-28,129.19372
1978-03-31,132.11535
1978-04-28,127.37822
1978-05-31,128.07954
1978-06-30,128.14212
1978-07-31,139.3826
1978-08-31,141.8763
1978-09-29,146.34569
1978-10-31,163.18005
1978-11-30,140.06592
1978-12-29,148.69402
1979-01-31,145.91208
1979-02-28,146.4085
1979-03-30,156.05903
1979-04-30,153.51515
1979-05-31,152.5092
1979-06-29,156.86622
1979-07-31,157.76498
1979-08-31,165.96333
1979-09-28,174.24693
1979-10-31,177.72096
1979-11-30,191.71415
1979-12-31,201.61737
1980-01-31,200.34012
1980-02-29,201.51325
1980-03-31,187.01579
1980-04-30,199.02254
1980-05-30,203.35942
1980-06-30,201.03078
1980-07-31,203.4786
1980-08-29,200.84414
1980-09-30,196.32771
1980-10-31,190.69847
1980-11-28,188.42246
1980-12-31,186.63975
1981-01-30,167.10163
1981-02-27,162.46965
1981-03-31,160.52639
1981-04-30,146.51171
1981-05-29,135.43573
1981-06-30,130.07986
1981-07-31,127.99546
1981-08-31,121.7991
1981-09-30,123.26565
1981-10-30,126.91323
1981-11-30,128.64003
1981-12-31,132.31988
1982-01-29,125.97689
1982-02-26,120.62407
1982-03-31,115.90851
1982-04-30,119.0483
1982-05-31,118.79954
1982-06-30,109.39046
1982-07-30,106.59573
1982-08-31,104.01123
1982-09-30,102.81307
1982-10-29,101.4067
1982-11-30,105.98572
1982-12-31,122.70511
1983-01-31,114.53332
1983-02-28,116.21044
1983-03-31,124.48636
1983-04-29,136.3524
1983-05-31,129.48273
1983-06-30,124.58237
1983-07-29,118.89399
1983-08-31,115.98349
1983-09-30,119.58067
1983-10-31,118.328
1983-11-30,115.74738
1983-12-30,121.0949
1984-01-31,113.50991
1984-02-29,123.3766
1984-03-30,124.79347
1984-04-30,116.7353
1984-05-31,113.72232
1984-06-29,110.91032
1984-07-31,105.83997
1984-08-31,106.64117
1984-09-28,107.29209
1984-10-31,108.93634
1984-11-30,111.13836
1984-12-31,112.96894
1985-01-31,114.59918
1985-02-28,121.02241
1985-03-29,138.0394
1985-04-30,148.91422
1985-05-31,162.46462
1985-06-28,159.00003
1985-07-31,159.44285
1985-08-30,162.37764
1985-09-30,163.83458
1985-10-31,161.26466
1985-11-29,193.65453
1985-12-31,208.34251
1986-01-31,219.55732
1986-02-28,230.58741
1986-03-31,226.31446
1986-04-30,272.35074
1986-05-30,238.98998
1986-06-30,249.82029
1986-07-31,259.17862
1986-08-29,274.07671
1986-09-30,276.80821
1986-10-31,267.01456
1986-11-28,278.55625
1986-12-31,279.74861
1987-01-30,276.44596
1987-02-27,273.82632
1987-03-31,270.47261
1987-04-30,270.43219
1987-05-29,259.36029
1987-06-30,256.28316
1987-07-31,291.75532
1987-08-31,294.27839
1987-09-30,302.53908
1987-10-30,287.72906
1987-11-30,300.52716
1987-12-31,331.65896
1988-01-29,290.5843
1988-02-29,286.77019
1988-03-31,302.11295
1988-04-29,301.32034
1988-05-31,288.34026
1988-06-30,279.4165
1988-07-29,284.26936
1988-08-31,287.32038
1988-09-30,284.94065
1988-10-31,310.51928
1988-11-30,318.70885
1988-12-30,314.53105
1989-01-31,300.28571
1989-02-28,311.42971
1989-03-31,346.2237
1989-04-28,379.63644
1989-05-31,358.02647
1989-06-30,361.92343
1989-07-31,387.30222
1989-08-31,470.65697
1989-09-29,513.96164
1989-10-31,479.23147
1989-11-30,476.25246
1989-12-29,589.91631
1990-01-31,744.35437
1990-02-28,992.04019
1990-03-30,1041.14099
1990-04-30,908.65425
1990-05-31,875.70286
1990-06-29,957.91037
1990-07-31,1046.12532
1990-08-31,860.52762
1990-09-28,645.15203
1990-10-31,691.14765
1990-11-30,671.7068
1990-12-31,675.61578
1991-01-31,643.33826
1991-02-28,762.76267
1991-03-29,673.95189
1991-04-30,693.47594
1991-05-31,695.35864
1991-06-28,622.33698
1991-07-31,621.65356
1991-08-30,626.77081
1991-09-30,655.42393
1991-10-31,569.76092
1991-11-29,596.64598
1991-12-31,607.65989
1992-01-31,624.64879
1992-02-28,667.7301
1992-03-31,620.18966
1992-04-30,579.55619
1992-05-29,609.68763
1992-06-30,608.07247
1992-07-31,519.82533
1992-08-31,527.95093
1992-09-30,550.48122
1992-10-30,505.22101
1992-11-30,469.90528
1992-12-31,456.37751
1993-01-29,467.29737
1993-02-26,511.45215
1993-03-31,493.46885
1993-04-30,500.03821
1993-05-31,515.66374
1993-06-30,538.50501
1993-07-30,577.43862
1993-08-31,654.81787
1993-09-30,639.43537
1993-10-29,679.39861
1993-11-30,634.6464
1993-12-31,666.5941
1994-01-31,714.60406
1994-02-28,689.96848
1994-03-31,675.00537
1994-04-29,682.45108
1994-05-31,668.20432
1994-06-30,707.7667
1994-07-29,708.04156
1994-08-31,740.88015
1994-09-30,696.58301
1994-10-31,705.32402
1994-11-30,675.33495
1994-12-30,684.1987
1995-01-31,669.37479
1995-02-28,717.49514
1995-03-31,718.06249
1995-04-28,707.33859
1995-05-31,729.94537
1995-06-30,723.29986
1995-07-31,728.86268
1995-08-31,687.2118
1995-09-29,683.91814
1995-10-31,651.44609
1995-11-30,631.47404
1995-12-29,656.09961
1996-01-31,706.14971
1996-02-29,708.89624
1996-03-29,716.39808
1996-04-30,729.39576
1996-05-31,762.10377
1996-06-28,737.63945
1996-07-31,712.01293
1996-08-30,719.88621
1996-09-30,711.14424
1996-10-31,727.01933
1996-11-29,740.68039
1996-12-31,759.55225
1997-01-31,730.0566144290931
1997-02-28,738.1169936573937
1997-03-31,749.3463043542165
1997-04-30,723.8485296429285
1997-05-30,737.5335996193567
1997-06-30,702.1098094076318
1997-07-31,741.298614341234
1997-08-29,719.6262390764623
1997-09-30,739.4905866265123
1997-10-31,777.8263253090021
1997-11-28,735.0678953457749
1997-12-31,822.5875748513704
1998-01-30,895.2103948274937
1998-02-27,991.3527658039461
1998-03-31,1025.7028981246588
1998-04-30,1131.1031261342125
1998-05-29,1276.9888442088252
1998-06-30,1160.8518042979592
1998-07-31,1126.575649473943
1998-08-31,853.3827385749912
1998-09-30,723.7380337915796
1998-10-30,863.3957003766162
1998-11-30,826.7560919765322
1998-12-31,840.0721270895118
1999-01-29,754.2468882161511
1999-02-26,839.9890344191044
1999-03-31,871.4753390150718
1999-04-30,922.9284315906013
1999-05-31,788.2690182773815
1999-06-30,808.7413323191365
1999-07-30,806.4354709370563
1999-08-31,834.0998506908708
1999-09-30,777.9656793639614
1999-10-29,786.3035420708624
1999-11-30,790.4035051439046
1999-12-31,839.3671250949357
2000-01-31,759.4473210888874
2000-02-29,694.9907942279405
2000-03-31,739.928264435064
2000-04-28,715.8283660102101
2000-05-31,744.6029786079475
2000-06-30,769.8402508933855
2000-07-31,794.7676802672313
2000-08-31,769.5065918121566
2000-09-29,774.1292197649315
2000-10-31,754.8276140712226
2000-11-30,714.4345670544822
2000-12-29,767.7164330731048
2001-01-01,767.7164330731048
2001-01-02,775.3034352097789
2001-01-03,764.7960332447168
2001-01-04,785.9635807832367
2001-01-05,808.0453158243713
2001-01-08,797.8027211957852
2001-01-09,785.033563656786
2001-01-10,789.8401106603764
2001-01-11,790.7632213578786
2001-01-12,800.3429768574957
2001-01-15,798.8961179054411
2001-01-16,791.8159832459984
2001-01-17,792.2301302818564
2001-01-18,789.2888869363995
2001-01-19,783.251351936522
2001-01-22,786.4505628825102
2001-01-23,784.423102572689
2001-01-24,765.5236957834336
2001-01-25,762.1111025940897
2001-01-26,765.2291458444523
2001-01-29,773.4769477042106
2001-01-30,788.4130663446888
2001-01-31,801.0259340510354
2001-02-01,813.1075025350732
2001-02-02,803.7606144182216
2001-02-05,814.2301156813263
2001-02-06,805.7552286695086
2001-02-07,805.424027809088
2001-02-08,797.0553072478676
2001-02-09,797.7083531941288
2001-02-12,807.2963040098034
2001-02-13,798.6518831577033
2001-02-14,791.0009431213858
2001-02-15,787.3845286295689
2001-02-16,805.6572735724388
2001-02-19,812.5407783776166
2001-02-20,821.2502954812475
2001-02-21,816.3833854476427
2001-02-22,812.2938312493309
2001-02-23,808.4841894364773
2001-02-26,810.4787579807338
2001-02-27,826.8338289066332
2001-02-28,820.9271104159959
2001-03-01,829.6792372337828
2001-03-02,829.1171914182027
2001-03-05,821.7551145862782
2001-03-06,829.9969420206619
2001-03-07,835.0726114816364
2001-03-08,833.0154743087329
2001-03-09,826.1164022988157
2001-03-12,823.0354214618535
2001-03-13,807.3510969321359
2001-03-14,790.3673507113297
2001-03-15,777.2535998203208
2001-03-16,755.5672355926331
2001-03-19,755.6540918684624
2001-03-20,760.8265479177227
2001-03-21,750.2505961319742
2001-03-22,722.096911486374
2001-03-23,738.8129639562769
2001-03-26,751.3782649905068
2001-03-27,761.0999910609041
2001-03-28,758.6503870706177
2001-03-29,757.6057227206989
2001-03-30,770.8613820134864
2001-04-02,765.3178940973411
2001-04-03,763.686205022538
2001-04-04,783.752181725988
2001-04-05,792.5052361060815
2001-04-06,790.6727481542488
2001-04-09,795.6199359651307
2001-04-10,791.576698518042
2001-04-11,785.5014619952524
2001-04-12,791.704955021286
2001-04-13,791.704955021286
2001-04-16,783.596946359979
2001-04-17,783.8509565536639
2001-04-18,783.182995389155
2001-04-19,789.6871270170923
2001-04-20,799.1321229909396
2001-04-23,794.7396637498515
2001-04-24,794.8418255299266
2001-04-25,793.3229720401498
2001-04-26,803.5124557460767
2001-04-27,800.968225137152
2001-04-30,797.7190900150199
2001-05-01,801.9481574371285
2001-05-02,803.9187553645123
2001-05-03,789.7849032072351
2001-05-04,781.8934030130977
2001-05-07,779.9425717280144
2001-05-08,778.2209608191151
2001-05-09,784.7432675545647
2001-05-10,795.1029490476018
2001-05-11,794.249594504459
2001-05-14,784.0315808607061
2001-05-15,785.9860665819352
2001-05-16,801.6245276927228
2001-05-17,822.4104302355296
2001-05-18,822.9151997938868
2001-05-21,805.2587961835752
2001-05-22,808.4198803114142
2001-05-23,796.540486561235
2001-05-24,793.5331020569088
2001-05-25,792.337694638738
2001-05-28,794.807777559073
2001-05-29,790.3162468330736
2001-05-30,800.7503028564132
2001-05-31,805.4787869150962
2001-06-01,816.6426125652788
2001-06-04,817.7521157898641
2001-06-05,837.140767341697
2001-06-06,833.7714780807547
2001-06-07,833.4125344231296
2001-06-08,833.4746593004213
2001-06-11,811.5090871001622
2001-06-12,820.4922328528073
2001-06-13,836.9228259852958
2001-06-14,844.0978543231615
2001-06-15,839.8371176754216
2001-06-18,837.0826758810648
2001-06-19,833.9675063002517
2001-06-20,820.4994815530234
2001-06-21,806.8481714754183
2001-06-22,815.676181304691
2001-06-25,828.365180110472
2001-06-26,823.9853342712919
2001-06-27,810.4697540931461
2001-06-28,789.813493403459
2001-06-29,780.7358226733395
2001-07-02,784.2152804848731
2001-07-03,784.2213197455503
2001-07-04,790.6604285277051
2001-07-05,784.2202690032675
2001-07-06,778.9665572485063
