Date,AUSTRALIA VALUE
1974-12-31,100.0
1975-01-31,128.04849
1975-02-28,132.48532
1975-03-31,130.19499
1975-04-30,126.74457
1975-05-30,136.8449
1975-06-30,134.90629
1975-07-31,131.41121
1975-08-29,127.76485
1975-09-30,135.84202
1975-10-31,140.34638
1975-11-28,147.76591
1975-12-31,152.01008
1976-01-30,158.46522
1976-02-27,163.15084
1976-03-31,154.0229
1976-04-30,157.95476
1976-05-31,159.87198
1976-06-30,165.17283
1976-07-30,178.66192
1976-08-31,179.53004
1976-09-30,162.64455
1976-10-29,154.56366
1976-11-30,121.39416
1976-12-31,134.64547
1977-01-31,136.55626
1977-02-28,131.45886
1977-03-31,137.99739
1977-04-29,136.40699
1977-05-31,145.63632
1977-06-30,145.97505
1977-07-29,140.23346
1977-08-31,136.06434
1977-09-30,136.60971
1977-10-31,150.95564
1977-11-30,146.88136
1977-12-30,161.96091
1978-01-31,154.73088
1978-02-28,148.19084
1978-03-31,156.70756
1978-04-28,168.10711
1978-05-31,176.05815
1978-06-30,178.57636
1978-07-31,190.09154
1978-08-31,199.38646
1978-09-29,210.50449
1978-10-31,201.22118
1978-11-30,192.95546
1978-12-29,205.27289
1979-01-31,213.12243
1979-02-28,220.78384
1979-03-30,223.08144
1979-04-30,215.80388
1979-05-31,223.07673
1979-06-29,221.16173
1979-07-31,224.05644
1979-08-31,249.65983
1979-09-28,258.84253
1979-10-31,252.9096
1979-11-30,250.21117
1979-12-31,269.12593
1980-01-31,308.84623
1980-02-29,314.26644
1980-03-31,276.9533
1980-04-30,289.90455
1980-05-30,322.70472
1980-06-30,340.91683
1980-07-31,347.77349
1980-08-29,363.62776
1980-09-30,376.30418
1980-10-31,385.71556
1980-11-28,390.41665
1980-12-31,398.20353
1981-01-30,370.45025
1981-02-27,364.83187
1981-03-31,399.74363
1981-04-30,403.66685
1981-05-29,400.74873
1981-06-30,407.13282
1981-07-31,369.14712
1981-08-31,367.56368
1981-09-30,336.39558
1981-10-30,318.62959
1981-11-30,351.00506
1981-12-31,342.32949
1982-01-29,304.42772
1982-02-26,280.17819
1982-03-31,254.44371
1982-04-30,284.75593
1982-05-31,284.4621
1982-06-30,260.8403
1982-07-30,255.22424
1982-08-31,257.04823
1982-09-30,264.18813
1982-10-29,260.78842
1982-11-30,256.65821
1982-12-31,267.30099
1983-01-31,290.48225
1983-02-28,269.02495
1983-03-31,252.87174
1983-04-29,300.64129
1983-05-31,322.96814
1983-06-30,315.94966
1983-07-29,362.26216
1983-08-31,380.9196
1983-09-30,410.81807
1983-10-31,410.17951
1983-11-30,448.02631
1983-12-30,454.79388
1984-01-31,451.21933
1984-02-29,435.77396
1984-03-30,461.58148
1984-04-30,456.43797
1984-05-31,380.34595
1984-06-29,369.08817
1984-07-31,370.0223
1984-08-31,402.86012
1984-09-28,394.07484
1984-10-31,407.50984
1984-11-30,412.43477
1984-12-31,383.86998
1985-01-31,401.18741
1985-02-28,363.87803
1985-03-29,368.62734
1985-04-30,375.35863
1985-05-31,386.59642
1985-06-28,386.38706
1985-07-31,457.12172
1985-08-30,444.44025
1985-09-30,482.15014
1985-10-31,497.99891
1985-11-29,469.04534
1985-12-31,478.87847
1986-01-31,531.80333
1986-02-28,501.57552
1986-03-31,544.00025
1986-04-30,586.6898
1986-05-30,596.8483
1986-06-30,532.56459
1986-07-31,444.0986
1986-08-29,464.1072
1986-09-30,505.85056
1986-10-31,561.14871
1986-11-28,566.18628
1986-12-31,610.79126
1987-01-30,616.36928
1987-02-27,663.9213
1987-03-31,756.61658
1987-04-30,791.59748
1987-05-29,825.70771
1987-06-30,848.13657
1987-07-31,916.75989
1987-08-31,981.24085
1987-09-30,1020.68525
1987-10-30,606.13792
1987-11-30,655.27561
1987-12-31,682.30258
1988-01-29,645.70091
1988-02-29,663.51501
1988-03-31,777.20065
1988-04-29,823.1292
1988-05-31,948.08109
1988-06-30,915.23477
1988-07-29,977.96457
1988-08-31,952.53209
1988-09-30,933.75956
1988-10-31,1009.15452
1988-11-30,991.8664
1988-12-30,976.27346
1989-01-31,1070.29833
1989-02-28,915.2493
1989-03-31,935.90254
1989-04-28,932.57539
1989-05-31,908.28815
1989-06-30,900.47875
1989-07-31,966.5596
1989-08-31,1061.19896
1989-09-29,1078.3146
1989-10-31,1024.32022
1989-11-30,1008.94021
1989-12-29,1050.1023
