Date,SWITZERLAND VALUE
1974-12-31,100.0
1975-01-31,120.69832
1975-02-28,121.29641
1975-03-31,120.05467
1975-04-30,127.47933
1975-05-30,124.05284
1975-06-30,120.79406
1975-07-31,114.67454
1975-08-29,109.45041
1975-09-30,99.02163
1975-10-31,116.05446
1975-11-28,124.31941
1975-12-31,129.54176
1976-01-30,136.33102
1976-02-27,133.43502
1976-03-31,136.85917
1976-04-30,135.57066
1976-05-31,135.81828
1976-06-30,137.91219
1976-07-30,134.47912
1976-08-31,130.60557
1976-09-30,130.78011
1976-10-29,125.53576
1976-11-30,126.63419
1976-12-31,136.74926
1977-01-31,135.87071
1977-02-28,131.50483
1977-03-31,132.93353
1977-04-29,142.84958
1977-05-31,138.13673
1977-06-30,143.2921
1977-07-29,146.23726
1977-08-31,150.49494
1977-09-30,159.95432
1977-10-31,163.33067
1977-11-30,165.99846
1977-12-30,174.28734
1978-01-31,182.73776
1978-02-28,188.98898
1978-03-31,185.84017
1978-04-28,171.117
1978-05-31,175.61271
1978-06-30,181.28813
1978-07-31,189.53936
1978-08-31,194.62362
1978-09-29,198.37896
1978-10-31,201.02121
1978-11-30,186.32059
1978-12-29,204.82384
1979-01-31,220.06316
1979-02-28,217.63982
1979-03-30,221.01215
1979-04-30,223.85545
1979-05-31,212.72055
1979-06-29,217.59912
1979-07-31,217.89492
1979-08-31,223.58787
1979-09-28,239.77729
1979-10-31,217.07033
1979-11-30,220.89832
1979-12-31,218.81396
1980-01-31,216.20828
1980-02-29,200.932
1980-03-31,167.34988
1980-04-30,193.09288
1980-05-30,194.65445
1980-06-30,211.83966
1980-07-31,209.99916
1980-08-29,210.90144
1980-09-30,205.84376
1980-10-31,199.41118
1980-11-28,191.883
1980-12-31,191.41464
1981-01-30,173.00684
1981-02-27,174.73851
1981-03-31,180.95416
1981-04-30,169.27414
1981-05-29,158.46364
1981-06-30,165.95166
1981-07-31,158.43489
1981-08-31,152.43647
1981-09-30,150.80822
1981-10-30,162.14531
1981-11-30,177.73804
1981-12-31,176.00428
1982-01-29,168.09817
1982-02-26,165.03644
1982-03-31,165.9682
1982-04-30,165.81341
1982-05-31,158.44108
1982-06-30,146.28018
1982-07-30,148.84129
1982-08-31,149.72967
1982-09-30,149.69505
1982-10-29,153.79992
1982-11-30,166.07893
1982-12-31,189.2313
1983-01-31,195.39994
1983-02-28,198.98109
1983-03-31,197.42893
1983-04-29,211.13733
1983-05-31,202.38705
1983-06-30,208.98194
1983-07-29,214.79313
1983-08-31,201.56619
1983-09-30,210.72334
1983-10-31,218.94763
1983-11-30,232.15209
1983-12-30,242.75278
1984-01-31,231.86468
1984-02-29,233.85744
1984-03-30,237.45988
1984-04-30,236.79092
1984-05-31,225.06423
1984-06-29,220.67776
1984-07-31,208.25211
1984-08-31,223.91009
1984-09-28,215.34399
1984-10-31,219.26806
1984-11-30,213.45218
1984-12-31,212.81917
1985-01-31,221.49052
1985-02-28,208.20882
1985-03-29,226.07244
1985-04-30,231.24017
1985-05-31,238.21083
1985-06-28,256.21076
1985-07-31,288.95258
1985-08-30,302.92926
1985-09-30,306.73261
1985-10-31,345.77929
1985-11-29,389.38166
1985-12-31,438.0316
1986-01-31,419.99033
1986-02-28,445.47922
1986-03-31,459.47788
1986-04-30,469.33937
1986-05-30,433.09943
1986-06-30,455.92934
1986-07-31,438.80715
1986-08-29,502.81774
1986-09-30,479.16881
1986-10-31,485.54298
1986-11-28,516.18225
1986-12-31,520.51374
1987-01-30,537.77483
1987-02-27,521.01535
1987-03-31,544.71157
1987-04-30,544.21968
1987-05-29,530.10855
1987-06-30,559.43849
1987-07-31,609.33794
1987-08-31,626.1397
1987-09-30,648.30469
1987-10-30,546.20846
1987-11-30,512.42419
1987-12-31,525.14043
1988-01-29,496.08204
1988-02-29,528.32588
1988-03-31,516.60241
1988-04-29,516.61749
1988-05-31,507.48798
1988-06-30,515.16772
1988-07-29,502.29633
1988-08-31,492.88366
1988-09-30,510.325
1988-10-31,566.95817
1988-11-30,601.25656
1988-12-30,603.31213
1989-01-31,592.35544
1989-02-28,601.97326
1989-03-31,604.56221
1989-04-28,616.33212
1989-05-31,577.45887
1989-06-30,652.88385
1989-07-31,733.11837
1989-08-31,744.72144
1989-09-29,733.14114
1989-10-31,686.30657
1989-11-30,726.92993
1989-12-29,748.25318
1990-01-31,734.92913
1990-02-28,743.92558
1990-03-30,703.08404
1990-04-30,692.77734
1990-05-31,815.33962
1990-06-29,834.20038
1990-07-31,847.53028
1990-08-31,753.17072
1990-09-28,671.55256
1990-10-31,695.39751
1990-11-30,690.05071
1990-12-31,690.29307
1991-01-31,734.80981
1991-02-28,787.7757
1991-03-29,748.81702
1991-04-30,751.55538
1991-05-31,782.05777
1991-06-28,710.62928
1991-07-31,755.91225
1991-08-30,767.35716
1991-09-30,782.24866
1991-10-31,772.49685
1991-11-29,765.16795
1991-12-31,826.84141
1992-01-31,828.59736
1992-02-28,841.44743
1992-03-31,826.73643
1992-04-30,834.39644
1992-05-29,890.00259
1992-06-30,895.04503
1992-07-31,919.44564
1992-08-31,939.53225
1992-09-30,1012.53991
1992-10-30,915.49134
1992-11-30,840.50285
1992-12-31,908.89535
1993-01-29,936.30532
1993-02-26,940.46591
1993-03-31,992.55809
1993-04-30,1024.62657
1993-05-31,1092.05066
1993-06-30,1102.16604
1993-07-30,1158.25727
1993-08-31,1228.227
1993-09-30,1261.32915
1993-10-29,1344.60949
1993-11-30,1352.72701
1993-12-31,1450.73392
1994-01-31,1548.67938
1994-02-28,1439.841
1994-03-31,1414.11707
1994-04-29,1403.50856
1994-05-31,1428.36906
1994-06-30,1425.90528
1994-07-29,1449.87004
1994-08-31,1456.01193
1994-09-30,1463.8678
1994-10-31,1491.74823
1994-11-30,1444.78976
1994-12-30,1453.9882
1995-01-31,1431.27353
1995-02-28,1479.92777
1995-03-31,1574.86143
1995-04-28,1603.94882
1995-05-31,1719.54269
1995-06-30,1767.17782
1995-07-31,1750.41301
1995-08-31,1670.95281
1995-09-29,1886.1892
1995-10-31,1991.54183
1995-11-30,1973.39505
1995-12-29,2024.77899
1996-01-31,1886.61747
1996-02-29,1945.43228
1996-03-29,2128.23087
1996-04-30,2043.2612
1996-05-31,1952.91983
1996-06-28,2089.63316
1996-07-31,2052.62442
1996-08-30,2135.25177
1996-09-30,2096.04299
1996-10-31,2079.36684
1996-11-29,2121.4901
1996-12-31,2047.69689
1997-01-31,2029.886053862218
1997-02-28,2095.1748269771774
1997-03-31,2231.72876391144
1997-04-30,2298.1291778819627
1997-05-30,2515.3173195883833
1997-06-30,2678.943156879132
1997-07-31,2675.0914834295945
1997-08-29,2437.318927963083
1997-09-30,2796.341101620115
1997-10-31,2763.8327712724436
1997-11-28,2885.7041780311656
1997-12-31,3082.6022059571123
1998-01-30,3179.879470432218
1998-02-27,3489.5514239094314
1998-03-31,3765.7017130652325
1998-04-30,3902.6061484882625
1998-05-29,4138.474087240553
1998-06-30,4209.327584189387
1998-07-31,4585.534170891331
1998-08-31,3589.5003765973097
1998-09-30,2928.0688997721604
1998-10-30,3543.907104048845
1998-11-30,3770.427838027674
1998-12-31,3815.237471261011
1999-01-29,3638.116556782038
1999-02-26,3576.795848508939
1999-03-31,3657.770781662093
1999-04-30,3830.4651428515604
1999-05-31,3556.4756877929976
1999-06-30,3518.219696406124
1999-07-30,3697.0000847530487
1999-08-31,3678.2749825808696
