Date,USA VALUE
1974-12-31,100.0
1975-01-31,114.33726
1975-02-28,117.54433
1975-03-31,119.21769
1975-04-30,124.33522
1975-05-30,130.3103
1975-06-30,139.27322
1975-07-31,133.14729
1975-08-29,130.13896
1975-09-30,127.24965
1975-10-31,133.89207
1975-11-28,136.58148
1975-12-31,137.2033
1976-01-30,152.61807
1976-02-27,152.77144
1976-03-31,158.61879
1976-04-30,159.34679
1976-05-31,158.33395
1976-06-30,165.81825
1976-07-30,166.61798
1976-08-31,166.66524
1976-09-30,173.53635
1976-10-29,171.11418
1976-11-30,172.23086
1976-12-31,183.24283
1977-01-31,179.33438
1977-02-28,174.9831
1977-03-31,173.55984
1977-04-29,177.82432
1977-05-31,176.41233
1977-06-30,182.81035
1977-07-29,180.36269
1977-08-31,173.25517
1977-09-30,174.42737
1977-10-31,167.386
1977-11-30,171.39862
1977-12-30,173.61986
1978-01-31,163.83471
1978-02-28,162.51108
1978-03-31,168.67677
1978-04-28,179.57464
1978-05-31,178.9144
1978-06-30,175.00824
1978-07-31,183.01352
1978-08-31,187.81166
1978-09-29,190.95506
1978-10-31,174.73649
1978-11-30,178.6958
1978-12-29,179.30236
1979-01-31,188.62931
1979-02-28,182.7642
1979-03-30,192.88061
1979-04-30,192.60173
1979-05-31,188.58975
1979-06-29,198.45536
1979-07-31,201.3037
1979-08-31,209.3546
1979-09-28,209.67601
1979-10-31,194.74342
1979-11-30,200.65017
1979-12-31,202.06695
1980-01-31,214.70444
1980-02-29,213.56354
1980-03-31,197.37924
1980-04-30,208.1487
1980-05-30,218.77674
1980-06-30,224.45274
1980-07-31,236.13849
1980-08-29,236.94849
1980-09-30,239.04873
1980-10-31,242.67165
1980-11-28,262.42399
1980-12-31,256.2002
1981-01-30,251.57513
1981-02-27,253.66183
1981-03-31,266.81118
1981-04-30,268.85532
1981-05-29,270.64909
1981-06-30,270.28575
1981-07-31,266.81118
1981-08-31,252.48672
1981-09-30,243.26206
1981-10-30,250.30438
1981-11-30,260.41795
1981-12-31,252.93923
1982-01-29,250.52511
1982-02-26,240.70974
1982-03-31,240.94088
1982-04-30,247.15893
1982-05-31,239.54818
1982-06-30,236.67372
1982-07-30,229.44641
1982-08-31,257.71139
1982-09-30,257.62279
1982-10-29,286.20435
1982-11-30,293.49841
1982-12-31,297.32364
1983-01-31,313.09927
1983-02-28,317.51769
1983-03-31,329.34409
1983-04-29,357.77887
1983-05-31,354.49909
1983-06-30,361.23039
1983-07-29,355.24312
1983-08-31,366.56254
1983-09-30,368.40016
1983-10-31,366.78655
1983-11-30,375.09106
1983-12-30,372.29091
1984-01-31,376.59911
1984-02-29,361.68488
1984-03-30,367.98441
1984-04-30,372.86635
1984-05-31,347.65442
1984-06-29,350.21129
1984-07-31,344.41675
1984-08-31,383.65343
1984-09-28,391.27203
1984-10-31,388.66498
1984-11-30,388.03251
1984-12-31,397.57877
1985-01-31,425.00673
1985-02-28,430.83279
1985-03-29,433.80366
1985-04-30,438.70111
1985-05-31,465.26416
1985-06-28,472.29004
1985-07-31,465.10073
1985-08-30,462.47225
1985-09-30,445.46879
1985-10-31,468.27087
1985-11-29,491.56906
1985-12-31,510.20066
1986-01-31,514.46832
1986-02-28,551.61654
1986-03-31,577.29559
1986-04-30,560.53386
1986-05-30,586.91697
1986-06-30,591.15246
1986-07-31,562.98387
1986-08-29,617.76042
1986-09-30,575.32794
1986-10-31,607.80907
1986-11-28,622.17232
1986-12-31,601.06929
1987-01-30,674.86642
1987-02-27,679.02194
1987-03-31,701.1679
1987-04-30,694.89151
1987-05-29,698.62542
1987-06-30,733.57992
1987-07-31,765.03565
1987-08-31,785.37958
1987-09-30,770.53587
1987-10-30,613.4264
1987-11-30,567.18259
1987-12-31,601.93152
1988-01-29,647.54779
1988-02-29,668.12375
1988-03-31,647.3899
1988-04-29,660.48041
1988-05-31,669.71965
1988-06-30,704.23004
1988-07-29,703.60158
1988-08-31,676.92481
1988-09-30,701.7214
1988-10-31,724.37197
1988-11-30,713.34065
1988-12-30,722.14444
1989-01-31,777.17426
1989-02-28,754.59129
1989-03-31,765.7246
1989-04-28,798.65237
1989-05-31,821.91347
1989-06-30,820.1134
1989-07-31,877.24279
1989-08-31,892.5584
1989-09-29,885.81574
1989-10-31,856.66625
1989-11-30,867.50144
1989-12-29,889.64959
1990-01-31,837.09057
1990-02-28,857.43225
1990-03-30,863.18645
