Date,DENMARK VALUE
1974-12-31,100.0
1975-01-31,108.46528
1975-02-28,112.30732
1975-03-31,105.55346
1975-04-30,114.53208
1975-05-30,117.50324
1975-06-30,116.26333
1975-07-31,112.48188
1975-08-29,114.01725
1975-09-30,111.24253
1975-10-31,118.68869
1975-11-28,119.17205
1975-12-31,118.41185
1976-01-30,125.73816
1976-02-27,119.77148
1976-03-31,112.06982
1976-04-30,112.38754
1976-05-31,114.69843
1976-06-30,122.71647
1976-07-30,122.20094
1976-08-31,120.32124
1976-09-30,118.05771
1976-10-29,112.55911
1976-11-30,114.63349
1976-12-31,124.79326
1977-01-31,125.84619
1977-02-28,134.94273
1977-03-31,134.57106
1977-04-29,132.01002
1977-05-31,130.3981
1977-06-30,129.98238
1977-07-29,127.48865
1977-08-31,124.74143
1977-09-30,121.78235
1977-10-31,122.02063
1977-11-30,118.6087
1977-12-30,127.75209
1978-01-31,131.9799
1978-02-28,138.67231
1978-03-31,136.17873
1978-04-28,133.13732
1978-05-31,133.13073
1978-06-30,133.62545
1978-07-31,142.09015
1978-08-31,149.15637
1978-09-29,152.2981
1978-10-31,167.89218
1978-11-30,151.23828
1978-12-29,159.45131
1979-01-31,166.76114
1979-02-28,166.61765
1979-03-30,164.94652
1979-04-30,161.58346
1979-05-31,154.5849
1979-06-29,156.78678
1979-07-31,161.50295
1979-08-31,160.51663
1979-09-28,155.9067
1979-10-31,147.81176
1979-11-30,150.10769
1979-12-31,144.56099
1980-01-31,133.78077
1980-02-29,127.15078
1980-03-31,114.00649
1980-04-30,122.66739
1980-05-30,126.69906
1980-06-30,127.66636
1980-07-31,133.99158
1980-08-29,134.67467
1980-09-30,136.85802
1980-10-31,138.00056
1980-11-28,138.83504
1980-12-31,137.60951
1981-01-30,136.53626
1981-02-27,137.89522
1981-03-31,134.69296
1981-04-30,130.19613
1981-05-29,124.80775
1981-06-30,123.13971
1981-07-31,122.75502
1981-08-31,130.54858
1981-09-30,129.67122
1981-10-30,142.33769
1981-11-30,146.59554
1981-12-31,140.54315
1982-01-29,135.43948
1982-02-26,131.77427
1982-03-31,115.80122
1982-04-30,118.28898
1982-05-31,112.97351
1982-06-30,105.6203
1982-07-30,105.936
1982-08-31,100.31224
1982-09-30,102.92887
1982-10-29,104.53892
1982-11-30,105.23859
1982-12-31,122.73289
1983-01-31,122.821
1983-02-28,138.9975
1983-03-31,166.7142
1983-04-29,161.48163
1983-05-31,156.24584
1983-06-30,169.26889
1983-07-29,170.38251
1983-08-31,188.048
1983-09-30,209.37877
1983-10-31,198.65347
1983-11-30,199.93524
1983-12-30,228.42575
1984-01-31,219.78883
1984-02-29,207.55675
1984-03-30,191.7581
1984-04-30,205.6005
1984-05-31,185.45557
1984-06-29,186.72633
1984-07-31,186.52764
1984-08-31,190.90833
1984-09-28,168.21293
1984-10-31,177.73421
1984-11-30,171.65541
1984-12-31,171.09434
1985-01-31,177.20784
1985-02-28,165.08754
1985-03-29,175.96017
1985-04-30,187.55656
1985-05-31,194.56069
1985-06-28,207.72081
1985-07-31,250.08218
1985-08-30,245.94235
1985-09-30,252.13424
1985-10-31,277.84773
1985-11-29,279.72972
1985-12-31,301.45464
1986-01-31,271.38765
1986-02-28,308.12632
1986-03-31,303.03924
1986-04-30,318.83657
1986-05-30,283.52235
1986-06-30,290.01305
1986-07-31,284.90121
1986-08-29,280.1521
1986-09-30,287.08638
1986-10-31,285.61051
1986-11-28,290.41811
1986-12-31,305.16536
1987-01-30,381.84658
1987-02-27,339.9887
1987-03-31,336.0948
1987-04-30,351.6198
1987-05-29,355.85835
1987-06-30,354.47944
1987-07-31,345.02193
1987-08-31,378.98938
1987-09-30,351.22064
1987-10-30,324.23947
1987-11-30,335.89541
1987-12-31,337.85615
1988-01-29,338.09065
1988-02-29,348.35893
1988-03-31,354.25432
1988-04-29,355.4648
1988-05-31,379.81553
1988-06-30,385.14296
1988-07-29,388.4235
1988-08-31,373.60778
1988-09-30,408.78739
1988-10-31,456.88812
1988-11-30,470.74403
1988-12-30,493.56804
1989-01-31,480.87958
1989-02-28,469.33723
1989-03-31,465.20056
1989-04-28,486.80313
1989-05-31,453.56476
1989-06-30,503.56865
1989-07-31,566.37297
1989-08-31,503.70588
1989-09-29,516.72018
1989-10-31,542.29103
1989-11-30,583.89498
1989-12-29,620.62306
1990-01-31,623.0348
1990-02-28,604.2796
1990-03-30,616.85467
1990-04-30,602.42506
1990-05-31,637.73979
1990-06-29,659.79595
1990-07-31,699.98677
1990-08-31,652.46445
1990-09-28,584.63248
1990-10-31,663.64682
1990-11-30,634.60228
1990-12-31,626.91645
1991-01-31,636.37474
1991-02-28,679.78313
1991-03-29,614.36811
1991-04-30,582.37251
1991-05-31,599.14197
1991-06-28,589.0738
1991-07-31,636.72851
1991-08-30,651.23199
1991-09-30,667.75511
1991-10-31,647.09312
1991-11-29,637.85843
1991-12-31,687.80125
1992-01-31,673.81656
1992-02-28,641.87057
1992-03-31,601.95083
1992-04-30,598.84687
1992-05-29,651.56751
1992-06-30,613.00824
1992-07-31,605.74746
1992-08-31,559.63089
1992-09-30,508.99672
1992-10-30,451.05909
1992-11-30,455.62622
1992-12-31,452.67017
1993-01-29,521.41314
1993-02-26,495.07277
1993-03-31,499.24107
1993-04-30,527.10201
1993-05-31,535.59881
1993-06-30,528.52234
1993-07-30,503.89011
1993-08-31,518.62186
1993-09-30,545.72141
1993-10-29,578.52913
1993-11-30,558.95747
1993-12-31,578.18362
1994-01-31,650.82356
1994-02-28,643.75353
1994-03-31,618.9268
1994-04-29,632.6733
1994-05-31,599.74003
1994-06-30,629.58865
1994-07-29,666.70054
1994-08-31,598.93157
1994-09-30,613.80706
1994-10-31,639.22155
1994-11-30,608.41559
1994-12-30,626.53785
1995-01-31,639.07331
1995-02-28,672.54625
1995-03-31,669.87212
1995-04-28,713.2017
1995-05-31,736.47613
1995-06-30,735.57316
1995-07-31,804.89857
1995-08-31,739.88763
1995-09-29,739.61781
1995-10-31,753.19924
1995-11-30,766.66905
1995-12-29,769.74507
1996-01-31,786.13856
1996-02-29,797.43612
1996-03-29,757.47163
1996-04-30,743.22555
1996-05-31,735.97925
1996-06-28,759.20401
1996-07-31,755.66757
1996-08-30,782.89535
1996-09-30,794.87651
1996-10-31,820.80861
1996-11-29,854.10248
1996-12-31,905.03836
1997-01-31,940.1707367051287
1997-02-28,920.4904436876809
1997-03-31,929.0331777619515
1997-04-30,880.7511149330879
1997-05-30,919.1456075550348
1997-06-30,949.1942837292193
1997-07-31,990.3276894250324
1997-08-29,925.069012189701
1997-09-30,988.4589395133471
1997-10-31,1023.2076288074876
