Date,HONG KONG VALUE
1974-12-31,100.0
1975-01-31,126.33541
1975-02-28,144.21656
1975-03-31,153.00782
1975-04-30,180.12171
1975-05-30,179.54863
1975-06-30,178.35889
1975-07-31,171.05781
1975-08-29,164.98746
1975-09-30,167.10319
1975-10-31,172.55294
1975-11-28,173.00156
1975-12-31,194.97639
1976-01-30,243.16823
1976-02-27,257.73651
1976-03-31,273.1207
1976-04-30,252.25352
1976-05-31,245.1238
1976-06-30,253.6704
1976-07-30,250.02605
1976-08-31,259.43066
1976-09-30,265.33955
1976-10-29,253.42271
1976-11-30,267.33034
1976-12-31,299.94759
1977-01-31,289.727
1977-02-28,285.25681
1977-03-31,278.95832
1977-04-29,292.84748
1977-05-31,284.17113
1977-06-30,285.99415
1977-07-29,268.07228
1977-08-31,276.51854
1977-09-30,266.06953
1977-10-31,262.05599
1977-11-30,262.97783
1977-12-30,254.6705
1978-01-31,260.15362
1978-02-28,259.92015
1978-03-31,295.52734
1978-04-28,308.55734
1978-05-31,312.56378
1978-06-30,394.88649
1978-07-31,415.72491
1978-08-31,509.45217
1978-09-29,473.12523
1978-10-31,487.44511
1978-11-30,337.93778
1978-12-29,332.64804
1979-01-31,368.26877
1979-02-28,350.39376
1979-03-30,356.3151
1979-04-30,353.18171
1979-05-31,374.21955
1979-06-29,360.70492
1979-07-31,417.88629
1979-08-31,411.05532
1979-09-28,506.62263
1979-10-31,490.52023
1979-11-30,570.26431
1979-12-31,668.70963
1980-01-31,667.21629
1980-02-29,645.79279
1980-03-31,510.71273
1980-04-30,585.83399
1980-05-30,603.79016
1980-06-30,711.79386
1980-07-31,796.04903
1980-08-29,835.22272
1980-09-30,811.43599
1980-10-31,1030.41117
1980-11-28,1006.78854
1980-12-31,1048.15544
1981-01-30,1081.95663
1981-02-27,1004.86547
1981-03-31,933.73869
1981-04-30,1017.41608
1981-05-29,1208.41434
1981-06-30,1234.85333
1981-07-31,1136.45681
1981-08-31,1043.56051
1981-09-30,792.55616
1981-10-30,838.92359
1981-11-30,979.57891
1981-12-31,958.46241
1982-01-29,949.43043
1982-02-26,847.54541
1982-03-31,774.64182
1982-04-30,934.71972
1982-05-31,1032.96566
1982-06-30,905.63651
1982-07-30,863.12649
1982-08-31,764.3887
1982-09-30,657.65137
1982-10-29,486.49513
1982-11-30,449.47906
1982-12-31,545.68158
1983-01-31,613.57094
1983-02-28,715.71067
1983-03-31,651.04233
1983-04-29,650.78505
1983-05-31,546.00363
1983-06-30,591.02009
1983-07-29,663.36281
1983-08-31,550.26666
1983-09-30,407.72924
1983-10-31,481.97886
1983-11-30,469.03868
1983-12-30,486.17518
1984-01-31,642.39297
1984-02-29,612.25051
1984-03-30,580.61561
1984-04-30,604.83125
1984-05-31,536.8333
1984-06-29,524.14631
1984-07-31,462.56667
1984-08-31,548.56648
1984-09-28,599.1434
1984-10-31,580.33817
1984-11-30,656.18307
1984-12-31,709.1071
1985-01-31,806.06086
1985-02-28,832.34147
1985-03-29,827.16988
1985-04-30,908.82389
1985-05-31,948.56526
1985-06-28,924.63192
1985-07-31,980.70922
1985-08-30,962.3207
1985-09-30,887.16659
1985-10-31,984.60507
1985-11-29,1017.6424
1985-12-31,1047.12128
1986-01-31,1005.9796
1986-02-28,1025.88299
1986-03-31,996.81156
1986-04-30,1106.51565
1986-05-30,1077.94259
1986-06-30,1051.71422
1986-07-31,1120.81325
1986-08-29,1178.28248
1986-09-30,1305.45271
1986-10-31,1443.54781
1986-11-28,1518.52648
1986-12-31,1640.62507
1987-01-30,1662.74935
1987-02-27,1906.58208
1987-03-31,1796.5012
1987-04-30,1756.85348
1987-05-29,1954.83744
1987-06-30,2167.40941
1987-07-31,2431.5367
1987-08-31,2519.06718
1987-09-30,2676.69709
1987-10-30,1546.43968
1987-11-30,1456.57099
1987-12-31,1552.51332
1988-01-29,1596.01555
1988-02-29,1632.78132
1988-03-31,1716.04581
1988-04-29,1755.5651
1988-05-31,1701.85173
1988-06-30,1815.34293
1988-07-29,1825.29644
1988-08-31,1689.17263
1988-09-30,1695.00071
1988-10-31,1819.82746
1988-11-30,1877.20505
1988-12-30,1905.88624
1989-01-31,2254.67795
1989-02-28,2242.19525
1989-03-31,2275.67798
1989-04-28,2385.6436
1989-05-31,2142.00458
1989-06-30,1757.1556
1989-07-31,1995.2443
1989-08-31,1954.15178
1989-09-29,2213.91547
1989-10-31,2231.72937
1989-11-30,2243.33196
1989-12-29,2272.96702
1990-01-31,2203.6578
1990-02-28,2334.59274
1990-03-30,2379.67799
1990-04-30,2338.91673
1990-05-31,2507.16193
1990-06-29,2597.41795
1990-07-31,2741.77863
1990-08-31,2407.7481
1990-09-28,2145.74918
1990-10-31,2282.15826
1990-11-30,2219.04081
1990-12-31,2214.75979
1991-01-31,2403.04609
1991-02-28,2699.05104
1991-03-29,2815.86993
1991-04-30,2720.73491
1991-05-31,2867.20547
1991-06-28,2895.10951
1991-07-31,3214.87061
1991-08-30,3231.87038
1991-09-30,3208.25744
1991-10-31,3320.31943
1991-11-29,3394.14618
1991-12-31,3504.2556
1992-01-31,3850.5457
1992-02-28,4203.30273
1992-03-31,4189.6585
1992-04-30,4544.42758
1992-05-29,5288.60547
1992-06-30,5469.13864
1992-07-31,5255.85641
1992-08-31,5101.99119
1992-09-30,5203.72938
1992-10-30,5810.4237
1992-11-30,5384.98265
1992-12-31,5047.52203
1993-01-29,5316.87457
1993-02-26,5962.1371
1993-03-31,5910.43054
1993-04-30,6494.60253
1993-05-31,7119.53329
1993-06-30,6785.21448
1993-07-30,6619.32713
1993-08-31,7047.60148
1993-09-30,7298.08737
1993-10-29,9227.65329
1993-11-30,9266.99246
1993-12-31,12426.17322
1994-01-31,12028.9266
1994-02-28,10774.75933
1994-03-31,9778.55465
1994-04-29,9502.59474
1994-05-31,10262.58798
1994-06-30,9344.21951
1994-07-29,10333.28896
1994-08-31,11007.48868
1994-09-30,10571.18035
1994-10-31,10549.61064
1994-11-30,8969.50852
1994-12-30,8519.65756
1995-01-31,7510.9886
1995-02-28,8961.60825
1995-03-31,8910.15667
1995-04-28,8590.91025
1995-05-31,9784.21857
1995-06-30,9886.46299
1995-07-31,10125.07841
1995-08-31,9688.38996
1995-09-29,10381.61317
1995-10-31,10356.74091
