Date,IRELAND VALUE
1990-12-31,100.0
1991-01-31,101.5292
1991-02-28,119.13606
1991-03-29,112.44568
1991-04-30,111.61581
1991-05-31,108.70619
1991-06-28,101.12064
1991-07-31,110.14717
1991-08-30,111.17421
1991-09-30,117.54572
1991-10-31,115.22556
1991-11-29,109.04688
1991-12-31,120.5254
1992-01-31,115.79916
1992-02-28,109.5579
1992-03-31,103.74203
1992-04-30,111.44567
1992-05-29,111.82953
1992-06-30,110.46676
1992-07-31,108.6938
1992-08-31,109.65089
1992-09-30,105.62608
1992-10-30,97.04982
1992-11-30,96.54211
1992-12-31,96.30954
1993-01-29,101.61717
1993-02-26,98.73098
1993-03-31,127.97542
1993-04-30,133.72148
1993-05-31,134.00594
1993-06-30,136.6022
1993-07-30,132.27108
1993-08-31,143.79317
1993-09-30,139.62675
1993-10-29,142.10359
1993-11-30,145.44706
1993-12-31,153.88542
1994-01-31,174.96704
1994-02-28,156.72325
1994-03-31,148.5183
1994-04-29,153.25966
1994-05-31,148.80843
1994-06-30,155.71702
1994-07-29,164.89411
1994-08-31,182.71375
1994-09-30,178.98525
1994-10-31,190.70276
1994-11-30,183.18616
1994-12-30,188.95342
1995-01-31,185.24274
1995-02-28,195.53878
1995-03-31,195.39181
1995-04-28,199.5232
1995-05-31,198.54615
1995-06-30,208.2048
1995-07-31,214.45661
1995-08-31,214.77371
1995-09-29,219.76733
1995-10-31,212.99967
1995-11-30,210.34646
1995-12-29,211.14142
1996-01-31,215.64391
1996-02-29,211.33808
1996-03-29,215.20674
1996-04-30,225.5987
1996-05-31,230.64492
1996-06-28,228.22471
1996-07-31,228.10634
1996-08-30,237.68545
1996-09-30,245.80489
1996-10-31,258.22855
1996-11-29,265.11249
1996-12-31,272.30949
1997-01-31,271.3905880763266
1997-02-28,276.2429352061542
1997-03-31,276.3498801836634
1997-04-30,270.73394010449914
1997-05-30,291.7910519522058
1997-06-30,302.68519145853423
1997-07-31,338.99069924660455
1997-08-29,329.8361234320618
1997-09-30,327.8742226796206
1997-10-31,313.98429173395095
1997-11-28,308.3120029737263
1997-12-31,310.5702434011762
1998-01-30,334.14793332251696
1998-02-27,343.73875748206194
1998-03-31,385.5541645499665
1998-04-30,411.59471565819126
1998-05-29,391.3955531980654
1998-06-30,376.6981032060323
1998-07-31,345.05740448030934
1998-08-31,290.04684257486747
1998-09-30,292.81932785685143
1998-10-30,330.0243634812012
1998-11-30,345.8835685584502
1998-12-31,368.51840864237334
1999-01-29,357.6059431949256
1999-02-26,388.2766019213547
1999-03-31,376.2753078192369
1999-04-30,410.1783963656554
1999-05-31,375.28660133613937
1999-06-30,357.55325508129556
1999-07-30,380.8499267045013
1999-08-31,370.93012086996873
1999-09-30,365.79008395903224
1999-10-29,360.9729877245578
1999-11-30,364.2455826844281
1999-12-31,354.0372904588687
2000-01-31,329.2336088795102
2000-02-29,313.52354297092376
2000-03-31,336.1808936232
2000-04-28,324.74952189315354
2000-05-31,302.5902983786257
2000-06-30,297.9169599830182
2000-07-31,274.48062294851724
2000-08-31,292.4174797868694
2000-09-29,336.61778133014076
2000-10-31,322.2281624893094
2000-11-30,329.2529838299662
2000-12-29,364.8490112440312
2001-01-01,364.8490112440312
2001-01-02,380.9426767160019
2001-01-03,380.6548438334555
2001-01-04,390.2059045754724
2001-01-05,391.0581019193316
2001-01-08,385.14624781245993
2001-01-09,379.4408662093216
2001-01-10,374.9657584220276
2001-01-11,381.775450602548
2001-01-12,381.23861065905874
2001-01-15,374.50785268345527
2001-01-16,373.23071699246105
2001-01-17,368.6256160802247
2001-01-18,375.9962081012903
2001-01-19,371.0751272425213
2001-01-22,370.446430867372
2001-01-23,369.60316149765646
2001-01-24,363.64428657916466
2001-01-25,363.5271587482598
2001-01-26,361.34944204974886
2001-01-29,359.2408415707345
2001-01-30,366.55128316100866
2001-01-31,372.78904900319
2001-02-01,373.97240329469577
2001-02-02,370.1828662946986
2001-02-05,370.8994039466635
2001-02-06,369.2686034026258
2001-02-07,366.9837512863002
2001-02-08,358.243769536335
2001-02-09,354.9431773966727
2001-02-12,355.4097245490965
2001-02-13,350.1260758175782
2001-02-14,348.54787695613726
2001-02-15,346.55298639145406
2001-02-16,352.9411757172868
2001-02-19,352.15618229330613
2001-02-20,348.6591820839121
2001-02-21,348.5779421098321
2001-02-22,344.9909029152674
2001-02-23,347.11236361698315
2001-02-26,344.4208903907437
2001-02-27,352.7414755612511
2001-02-28,354.2594078354917
2001-03-01,358.6563843123613
2001-03-02,357.71732709795447
2001-03-05,357.6267950563007
2001-03-06,350.59008168266377
2001-03-07,352.96849136168856
2001-03-08,354.5966231129565
2001-03-09,352.12141282645257
2001-03-12,350.2158074710281
2001-03-13,340.94993778211125
2001-03-14,336.2354316016567
2001-03-15,325.4369284428429
2001-03-16,320.0699580027157
2001-03-19,322.87740395347026
2001-03-20,326.8120463676899
2001-03-21,314.5550334451494
2001-03-22,296.4205635943787
2001-03-23,304.30295503877494
2001-03-26,314.05925709420876
2001-03-27,325.9382981193249
2001-03-28,320.0282210153327
2001-03-29,310.8619160357183
2001-03-30,320.15072203103847
2001-04-02,322.85581405564506
2001-04-03,319.26394623053824
2001-04-04,324.6647655600096
2001-04-05,325.4596400095931
2001-04-06,329.30048539916066
2001-04-09,334.18773604123936
2001-04-10,336.9689077225921
2001-04-11,332.0135061578717
2001-04-12,334.9346886054746
2001-04-13,334.9346886054746
2001-04-16,331.50455552501114
2001-04-17,327.9120251928302
2001-04-18,327.0204764384939
2001-04-19,328.70015871449294
2001-04-20,338.0578126487117
2001-04-23,337.4139060354324
2001-04-24,338.227950184888
2001-04-25,337.00779335528307
2001-04-26,340.4659369135756
2001-04-27,340.6756206170712
2001-04-30,344.0208671700014
2001-05-01,342.967768
2001-05-02,348.4371898185734
2001-05-03,351.71813032729716
2001-05-04,352.9436656730324
2001-05-07,351.50436688558295
2001-05-08,355.7285917619542
2001-05-09,356.5798475879646
