Date,JAPAN VALUE
1974-12-31,100.0
1975-01-31,105.2942
1975-02-28,121.72629
1975-03-31,125.19771
1975-04-30,124.31552
1975-05-30,125.47628
1975-06-30,127.16516
1975-07-31,120.23689
1975-08-29,115.932
1975-09-30,109.28444
1975-10-31,122.73113
1975-11-28,122.39083
1975-12-31,125.04134
1976-01-30,133.91988
1976-02-27,135.69994
1976-03-31,135.57507
1976-04-30,137.48861
1976-05-31,138.46248
1976-06-30,146.41057
1976-07-30,143.83546
1976-08-31,148.62731
1976-09-30,150.2221
1976-10-29,141.9396
1976-11-30,140.50803
1976-12-31,158.97624
1977-01-31,155.10934
1977-02-28,164.8165
1977-03-31,166.17408
1977-04-29,171.76458
1977-05-31,169.15548
1977-06-30,176.92571
1977-07-29,179.66649
1977-08-31,187.22258
1977-09-30,184.69558
1977-10-31,190.20964
1977-11-30,192.45303
1977-12-30,200.22667
1978-01-31,205.66503
1978-02-28,210.91476
1978-03-31,238.16334
1978-04-28,235.56688
1978-05-31,240.87124
1978-06-30,262.51482
1978-07-31,287.44821
1978-08-31,282.04366
1978-09-29,284.13206
1978-10-31,308.65468
1978-11-30,284.44755
1978-12-29,302.19409
1979-01-31,305.784
1979-02-28,294.7571
1979-03-30,282.78839
1979-04-30,273.37678
1979-05-31,275.82751
1979-06-29,280.7531
1979-07-31,279.96691
1979-08-31,280.8358
1979-09-28,284.94326
1979-10-31,259.78545
1979-11-30,248.44718
1979-12-31,266.80249
1980-01-31,273.41858
1980-02-29,264.0813
1980-03-31,255.97023
1980-04-30,273.86922
1980-05-30,294.55815
1980-06-30,311.1286
1980-07-31,295.53316
1980-08-29,316.37222
1980-09-30,336.80435
1980-10-31,346.73455
1980-11-28,332.90693
1980-12-31,358.75193
1981-01-30,367.04327
1981-02-27,361.66121
1981-03-31,390.46027
1981-04-30,435.71757
1981-05-29,426.9174
1981-06-30,449.09248
1981-07-31,440.21274
1981-08-31,457.68208
1981-09-30,418.45144
1981-10-30,419.0868
1981-11-30,463.55838
1981-12-31,464.86158
1982-01-29,458.61105
1982-02-26,429.12379
1982-03-31,384.6886
1982-04-30,423.15831
1982-05-31,406.59424
1982-06-30,381.61872
1982-07-30,362.15141
1982-08-31,367.88463
1982-09-30,353.70049
1982-10-29,358.66912
1982-11-30,437.92585
1982-12-31,496.62495
1983-01-31,475.44981
1983-02-28,484.18674
1983-03-31,509.00049
1983-04-29,517.01288
1983-05-31,513.97897
1983-06-30,524.6326
1983-07-29,523.93792
1983-08-31,513.42763
1983-09-30,557.3371
1983-10-31,562.40916
1983-11-30,560.71196
1983-12-30,603.41934
1984-01-31,626.77914
1984-02-29,622.56405
1984-03-30,705.27992
1984-04-30,690.07596
1984-05-31,615.375
1984-06-29,612.34595
1984-07-31,576.39488
1984-08-31,622.16083
1984-09-28,611.75449
1984-10-31,622.79371
1984-11-30,613.3068
1984-12-31,640.82768
1985-01-31,636.66241
1985-02-28,643.94718
1985-03-29,676.09338
1985-04-30,667.00919
1985-05-31,690.00436
1985-06-28,719.27573
1985-07-31,726.74148
1985-08-30,762.38844
1985-09-30,868.52732
1985-10-31,898.94956
1985-11-29,926.47863
1985-12-31,983.06339
1986-01-31,1017.25152
1986-02-28,1127.43262
1986-03-31,1342.63854
1986-04-30,1471.93005
1986-05-30,1439.38177
1986-06-30,1593.10947
1986-07-31,1713.82927
1986-08-29,1904.96785
1986-09-30,1938.53645
1986-10-31,1723.22128
1986-11-28,1831.30132
1986-12-31,1946.88319
1987-01-30,2068.44723
1987-02-27,2121.82393
1987-03-31,2229.71117
1987-04-30,2509.37016
1987-05-29,2640.70887
1987-06-30,2585.65036
1987-07-31,2549.95039
1987-08-31,2796.02453
1987-09-30,2838.88765
1987-10-30,2649.97242
1987-11-30,2772.23288
1987-12-31,2891.06062
1988-01-29,2991.30817
1988-02-29,3210.18947
1988-03-31,3480.62583
1988-04-29,3580.62482
1988-05-31,3459.02477
1988-06-30,3394.4554
1988-07-29,3623.62606
1988-08-31,3296.51776
1988-09-30,3409.33231
1988-10-31,3628.28544
1988-11-30,3925.8057
1988-12-30,3959.13213
1989-01-31,4011.17695
1989-02-28,4142.13376
1989-03-31,3990.5483
1989-04-28,4033.10184
1989-05-31,3860.59846
1989-06-30,3723.11497
1989-07-31,4168.39765
1989-08-31,3903.37519
1989-09-29,4175.23119
1989-10-31,4076.90848
1989-11-30,4246.93471
1989-12-29,4246.22165
1990-01-31,4036.07431
1990-02-28,3653.78801
1990-03-30,3030.71392
1990-04-30,3083.11629
1990-05-31,3493.1052
1990-06-29,3387.9724
1990-07-31,3369.64779
1990-08-31,3032.81702
1990-09-28,2610.74891
1990-10-31,3195.253
1990-11-30,2788.94495
1990-12-31,2888.27983
1991-01-31,2950.19562
1991-02-28,3360.13476
1991-03-29,3134.45519
1991-04-30,3218.83454
1991-05-31,3186.28908
1991-06-28,2975.84791
1991-07-31,3087.95942
1991-08-30,2897.04182
1991-09-30,3190.99549
1991-10-31,3258.22912
1991-11-29,2981.82924
1991-12-31,3109.05794
1992-01-31,3051.25798
1992-02-28,2825.7801
1992-03-31,2533.5653
1992-04-30,2495.13221
1992-05-29,2653.20072
1992-06-30,2430.68857
1992-07-31,2357.30499
