Date,SINGAPORE VALUE
1974-12-31,100.0
1975-01-31,161.77062
1975-02-28,201.65778
1975-03-31,218.8429
1975-04-30,212.18552
1975-05-30,198.20842
1975-06-30,180.8027
1975-07-31,169.66529
1975-08-29,162.00417
1975-09-30,157.55197
1975-10-31,178.61469
1975-11-28,173.31806
1975-12-31,183.14818
1976-01-30,235.71764
1976-02-27,229.17152
1976-03-31,213.32891
1976-04-30,219.42767
1976-05-31,211.41321
1976-06-30,216.56682
1976-07-30,213.57356
1976-08-31,222.18276
1976-09-30,228.09517
1976-10-29,212.83589
1976-11-30,205.79322
1976-12-31,221.66112
1977-01-31,221.67671
1977-02-28,220.27356
1977-03-31,216.54257
1977-04-29,212.30973
1977-05-31,211.36063
1977-06-30,226.01788
1977-07-29,237.66334
1977-08-31,239.34282
1977-09-30,233.87042
1977-10-31,235.35781
1977-11-30,244.90337
1977-12-30,249.3618
1978-01-31,247.55809
1978-02-28,249.04046
1978-03-31,274.98429
1978-04-28,294.01265
1978-05-31,305.94509
1978-06-30,344.04228
1978-07-31,362.17281
1978-08-31,426.49361
1978-09-29,381.0814
1978-10-31,440.91812
1978-11-30,357.34179
1978-12-29,370.38717
1979-01-31,412.46316
1979-02-28,378.32169
1979-03-30,399.87913
1979-04-30,412.82126
1979-05-31,434.29068
1979-06-29,415.81575
1979-07-31,424.53184
1979-08-31,447.01657
1979-09-28,471.10352
1979-10-31,428.79908
1979-11-30,438.9201
1979-12-31,470.0762
1980-01-31,539.58829
1980-02-29,562.00403
1980-03-31,490.10174
1980-04-30,529.80269
1980-05-30,586.6416
1980-06-30,612.43575
1980-07-31,643.7162
1980-08-29,673.84911
1980-09-30,633.2515
1980-10-31,673.83318
1980-11-28,706.04218
1980-12-31,703.26634
1981-01-30,806.59623
1981-02-27,852.64952
1981-03-31,878.92463
1981-04-30,978.64474
1981-05-29,927.94178
1981-06-30,1020.06865
1981-07-31,871.71221
1981-08-31,689.64581
1981-09-30,720.36902
1981-10-30,735.69343
1981-11-30,859.04011
1981-12-31,876.87982
1982-01-29,847.71246
1982-02-26,776.66219
1982-03-31,759.29738
1982-04-30,812.42269
1982-05-31,810.5555
1982-06-30,725.42573
1982-07-30,670.82074
1982-08-31,630.34723
1982-09-30,647.91447
1982-10-29,696.77484
1982-11-30,711.10208
1982-12-31,751.24182
1983-01-31,831.07389
1983-02-28,893.17762
1983-03-31,912.30841
1983-04-29,985.88289
1983-05-31,981.53657
1983-06-30,985.75549
1983-07-29,929.0449
1983-08-31,949.63834
1983-09-30,939.83139
1983-10-31,909.71347
1983-11-30,899.68956
1983-12-30,982.22159
1984-01-31,1008.68199
1984-02-29,960.22946
1984-03-30,941.37722
1984-04-30,944.91271
1984-05-31,875.7373
1984-06-29,805.18604
1984-07-31,834.27085
1984-08-31,816.15408
1984-09-28,779.69087
1984-10-31,720.18292
1984-11-30,686.41174
1984-12-31,681.42932
1985-01-31,701.94234
1985-02-28,691.84609
1985-03-29,684.17562
1985-04-30,657.63824
1985-05-31,678.94961
1985-06-28,639.32157
1985-07-31,632.54501
1985-08-30,581.30811
1985-09-30,644.04271
1985-10-31,626.78285
1985-11-29,565.93858
1985-12-31,508.09997
1986-01-31,499.7929
1986-02-28,522.60028
1986-03-31,477.85318
1986-04-30,453.88771
1986-05-30,516.54373
1986-06-30,632.05315
1986-07-31,620.72305
