Date,NORWAY VALUE
1974-12-31,100.0
1975-01-31,101.55325
1975-02-28,100.47731
1975-03-31,98.94858
1975-04-30,95.03123
1975-05-30,95.58126
1975-06-30,102.23606
1975-07-31,96.11013
1975-08-29,91.80222
1975-09-30,83.02972
1975-10-31,85.98472
1975-11-28,83.44441
1975-12-31,87.13898
1976-01-30,97.61486
1976-02-27,94.48058
1976-03-31,96.58122
1976-04-30,95.62094
1976-05-31,94.81471
1976-06-30,100.53424
1976-07-30,107.45356
1976-08-31,104.43696
1976-09-30,104.25216
1976-10-29,99.37925
1976-11-30,100.83242
1976-12-31,102.50581
1977-01-31,97.95968
1977-02-28,94.75179
1977-03-31,96.67321
1977-04-29,93.0581
1977-05-31,88.86522
1977-06-30,87.57347
1977-07-29,87.07745
1977-08-31,78.83189
1977-09-30,74.27581
1977-10-31,74.23206
1977-11-30,72.74274
1977-12-30,76.44086
1978-01-31,74.84694
1978-02-28,71.35473
1978-03-31,70.55228
1978-04-28,70.31411
1978-05-31,74.18696
1978-06-30,70.40454
1978-07-31,73.93712
1978-08-31,85.73625
1978-09-29,88.28802
1978-10-31,92.94957
1978-11-30,87.49605
1978-12-29,92.53078
1979-01-31,92.07936
1979-02-28,97.9323
1979-03-30,95.96018
1979-04-30,102.30524
1979-05-31,106.69929
1979-06-29,107.56587
1979-07-31,110.61942
1979-08-31,114.41024
1979-09-28,118.48329
1979-10-31,122.52618
1979-11-30,119.15599
1979-12-31,117.92614
1980-01-31,119.18179
1980-02-29,126.91448
1980-03-31,109.51515
1980-04-30,116.04861
1980-05-30,118.19811
1980-06-30,118.74454
1980-07-31,115.16709
1980-08-29,115.87379
1980-09-30,116.49115
1980-10-31,112.67367
1980-11-28,114.87807
1980-12-31,113.53401
1981-01-30,115.76461
1981-02-27,119.89817
1981-03-31,117.24597
1981-04-30,118.87069
1981-05-29,106.80338
1981-06-30,102.24265
1981-07-31,112.95114
1981-08-31,115.33752
1981-09-30,114.71813
1981-10-30,125.4619
1981-11-30,129.3077
1981-12-31,123.8024
1982-01-29,129.12732
1982-02-26,122.57715
1982-03-31,115.71304
1982-04-30,120.65119
1982-05-31,123.92186
1982-06-30,111.9836
1982-07-30,107.99932
1982-08-31,107.04388
1982-09-30,96.77025
1982-10-29,91.40803
1982-11-30,91.32376
