Date,CANADA VALUE
1974-12-31,100.0
1975-01-31,114.88245
1975-02-28,117.44952
1975-03-31,115.17598
1975-04-30,116.2784
1975-05-30,119.33344
1975-06-30,120.91001
1975-07-31,121.74223
1975-08-29,123.36839
1975-09-30,116.25527
1975-10-31,109.17641
1975-11-28,118.47378
1975-12-31,115.16602
1976-01-30,132.25884
1976-02-27,142.00053
1976-03-31,138.99859
1976-04-30,143.0336
1976-05-31,142.48146
1976-06-30,143.43668
1976-07-30,141.97318
1976-08-31,142.19053
1976-09-30,141.87872
1976-10-29,136.30136
1976-11-30,116.28592
1976-12-31,132.58864
1977-01-31,129.21002
1977-02-28,130.51191
1977-03-31,132.59165
1977-04-29,131.37357
1977-05-31,128.31599
1977-06-30,134.17154
1977-07-29,133.72606
1977-08-31,128.79694
1977-09-30,128.75612
1977-10-31,120.85342
1977-11-30,126.77213
1977-12-30,134.20867
1978-01-31,125.02652
1978-02-28,124.84793
1978-03-31,131.13404
1978-04-28,136.16799
1978-05-31,144.69998
1978-06-30,140.95839
1978-07-31,149.65895
1978-08-31,154.57625
1978-09-29,160.81597
1978-10-31,156.10143
1978-11-30,161.60599
1978-12-29,166.37414
1979-01-31,170.32017
1979-02-28,173.97328
1979-03-30,188.38421
1979-04-30,193.82918
1979-05-31,193.1973
1979-06-29,198.13826
1979-07-31,192.08012
1979-08-31,208.30734
1979-09-28,212.44029
1979-10-31,188.46454
1979-11-30,198.26235
1979-12-31,214.25489
1980-01-31,245.95568
1980-02-29,254.35436
1980-03-31,210.82615
1980-04-30,217.78154
1980-05-30,238.54248
1980-06-30,242.68543
1980-07-31,255.83112
1980-08-29,269.36906
1980-09-30,271.00342
1980-10-31,272.20247
1980-11-28,289.78891
1980-12-31,276.98894
1981-01-30,270.65479
1981-02-27,270.23853
1981-03-31,295.88707
1981-04-30,283.66359
1981-05-29,280.95007
1981-06-30,276.45259
1981-07-31,259.67301
1981-08-31,258.75855
1981-09-30,236.15231
1981-10-30,224.0732
1981-11-30,252.37864
1981-12-31,245.77693
1982-01-29,227.98191
1982-02-26,213.47352
1982-03-31,204.41957
1982-04-30,202.19326
1982-05-31,201.09531
1982-06-30,176.79884
1982-07-30,188.5862
1982-08-31,221.93749
1982-09-30,217.21295
1982-10-29,243.22289
1982-11-30,248.16808
1982-12-31,274.42282
1983-01-31,283.9615
1983-02-28,307.01162
1983-03-31,318.23741
1983-04-29,349.95926
1983-05-31,360.15628
1983-06-30,364.49983
1983-07-29,367.51403
1983-08-31,364.07143
1983-09-30,373.62939
1983-10-31,358.97278
1983-11-30,387.59464
1983-12-30,393.33846
1984-01-31,378.76607
1984-02-29,364.35982
1984-03-30,352.20496
1984-04-30,340.14732
1984-05-31,322.15768
1984-06-29,316.69609
1984-07-31,312.42121
1984-08-31,349.98221
1984-09-28,342.92523
1984-10-31,343.08181
1984-11-30,348.03156
1984-12-31,362.19015
1985-01-31,389.87703
1985-02-28,372.77854
1985-03-29,368.60696
1985-04-30,372.6169
1985-05-31,385.43596
1985-06-28,391.19903
1985-07-31,406.10917
