Date,NEW ZEALAND VALUE
1987-12-31,100.0
1988-01-29,93.22898
1988-02-29,73.78888
1988-03-31,90.88993
1988-04-29,92.57461
1988-05-31,95.26383
1988-06-30,88.73564
1988-07-29,89.96531
1988-08-31,81.04807
1988-09-30,76.66149
1988-10-31,81.35495
1988-11-30,75.43292
1988-12-30,73.01708
1989-01-31,77.08545
1989-02-28,75.28602
1989-03-31,72.8288
1989-04-28,77.48086
1989-05-31,73.16402
1989-06-30,75.02155
1989-07-31,80.58095
1989-08-31,104.36669
1989-09-29,97.33277
1989-10-31,88.92992
1989-11-30,85.99947
1989-12-29,83.78214
1990-01-31,82.38765
1990-02-28,76.9534
1990-03-30,76.22491
1990-04-30,74.3853
1990-05-31,79.48991
1990-06-29,78.84086
1990-07-31,83.07121
1990-08-31,80.95734
1990-09-28,72.7869
1990-10-31,62.57361
1990-11-30,62.64555
1990-12-31,58.13036
1991-01-31,61.53946
1991-02-28,65.46251
1991-03-29,58.18536
1991-04-30,60.76656
1991-05-31,66.87508
1991-06-28,62.95209
1991-07-31,65.37287
1991-08-30,59.28788
1991-09-30,65.37726
1991-10-31,70.41481
1991-11-29,73.72994
1991-12-31,72.65755
1992-01-31,69.95178
1992-02-28,73.55939
1992-03-31,70.86113
1992-04-30,74.81838
1992-05-29,80.96795
1992-06-30,78.98803
1992-07-31,74.17583
1992-08-31,66.11639
1992-09-30,59.94881
1992-10-30,54.24067
1992-11-30,65.0923
1992-12-31,68.12918
1993-01-29,67.24495
1993-02-26,71.58539
1993-03-31,72.89547
1993-04-30,79.40467
1993-05-31,78.19431
1993-06-30,78.4875
1993-07-30,84.41367
1993-08-31,96.70701
1993-09-30,91.36513
1993-10-29,103.77555
1993-11-30,97.65986
1993-12-31,105.34139
1994-01-31,117.70205
1994-02-28,112.59406
1994-03-31,98.56241
1994-04-29,109.46929
1994-05-31,119.35509
1994-06-30,114.36826
1994-07-29,117.3383
1994-08-31,127.07548
1994-09-30,123.77343
1994-10-31,129.35076
1994-11-30,122.00231
1994-12-30,116.26047
1995-01-31,119.37464
1995-02-28,121.67942
1995-03-31,120.97411
1995-04-28,135.41289
1995-05-31,133.59671
1995-06-30,134.74589
1995-07-31,139.10578
1995-08-31,130.4539
1995-09-29,135.51741
1995-10-31,137.77412
1995-11-30,128.75713
1995-12-29,128.64351
1996-01-31,130.30729
1996-02-29,129.9528
1996-03-29,131.33282
1996-04-30,136.91543
1996-05-31,127.57649
1996-06-28,135.40846
1996-07-31,137.59397
1996-08-30,137.54147
1996-09-30,135.78025
1996-10-31,136.89118
1996-11-29,138.41843
1996-12-31,140.01218
1997-01-31,141.41917841768463
1997-02-28,139.61554696029987
1997-03-31,134.03446362248522
1997-04-30,137.63447675444405
1997-05-30,145.71155055440295
1997-06-30,154.27485043993696
1997-07-31,146.40033210005183
1997-08-29,131.80835960867032
1997-09-30,134.58839486781676
1997-10-31,115.51538699117592
1997-11-28,102.4458326384651
1997-12-31,103.4821518273132
1998-01-30,103.95206633403511
1998-02-27,103.7858932799404
1998-03-31,95.82675996220979
1998-04-30,95.9860534313438
1998-05-29,85.7263440682466
1998-06-30,73.5934548995475
1998-07-31,79.0296448306646
1998-08-31,57.61893274772923
1998-09-30,50.294045124481016
1998-10-30,61.262692263249875
1998-11-30,66.11805278431109
1998-12-31,64.75417862455312
1999-01-29,70.24999480647226
1999-02-26,65.17814469970259
1999-03-31,65.45898943057084
1999-04-30,83.85850753420549
1999-05-31,71.75338137679327
1999-06-30,75.06442057740064
1999-07-30,76.81027940701094
1999-08-31,71.42918936460971
1999-09-30,69.67937398862402
1999-10-29,70.54370842011654
1999-11-30,69.9150120633445
1999-12-31,74.71330136675108
2000-01-31,64.8539817362009
2000-02-29,59.28699703819569
2000-03-31,57.30057426206966
2000-04-28,60.84513807024528
2000-05-31,60.78940209536817
2000-06-30,66.49079676431799
2000-07-31,66.8248521125768
2000-08-31,65.21941823481794
2000-09-29,58.491256649579576
2000-10-31,54.60103829246392
2000-11-30,58.287826905587565
2000-12-29,61.81944384354318
2001-01-01,61.81944384354318
2001-01-02,61.72165037305622
2001-01-03,61.46308190138262
2001-01-04,62.03466276130087
2001-01-05,63.178005152201905
2001-01-08,62.85918515159617
2001-01-09,62.800352180203
2001-01-10,62.541779110630095
2001-01-11,63.44729717919884
2001-01-12,63.47159614298881
2001-01-15,63.59706783889767
2001-01-16,64.06821199596537
2001-01-17,64.42109836489583
2001-01-18,64.36814448299288
2001-01-19,65.49389501966068
2001-01-22,66.1973453712973
2001-01-23,65.23085468563244
2001-01-24,63.83641175656071
2001-01-25,62.97429823606225
2001-01-26,63.01326772089324
2001-01-29,62.729605724765484
2001-01-30,63.60380620408393
2001-01-31,64.41332815841237
2001-02-01,65.87837455033619
2001-02-02,64.83006052663036
2001-02-05,64.51621707232978
2001-02-06,64.52350045651045
2001-02-07,65.34947865724132
2001-02-08,64.52371292510048
2001-02-09,64.27542166448447
2001-02-12,65.07815927387172
2001-02-13,64.60070557917014
2001-02-14,62.557910520648406
2001-02-15,62.48119268573074
2001-02-16,63.82382822747371
2001-02-19,63.75515307210713
2001-02-20,64.46132287967916
2001-02-21,64.82887031182645
2001-02-22,64.74027206199827
2001-02-23,65.30440865876872
2001-02-26,65.0089481549452
2001-02-27,66.10944357391168
2001-02-28,64.86621704487453
2001-03-01,65.90958476925367
2001-03-02,66.9717527504109
2001-03-05,67.1319872867604
2001-03-06,67.7048656387811
2001-03-07,67.99494969490867
2001-03-08,67.74809926562872
2001-03-09,66.68577878415117
2001-03-12,66.32305901986207
2001-03-13,64.98961304054005
2001-03-14,65.47563388310947
2001-03-15,65.27463998287469
2001-03-16,65.2431447752051
2001-03-19,65.86026571430583
2001-03-20,67.2957460133526
2001-03-21,66.76569987787232
2001-03-22,64.92002075398085
2001-03-23,67.12811956710111
2001-03-26,65.89663270153177
2001-03-27,64.81437021920911
2001-03-28,63.96204191391405
2001-03-29,62.54719185025029
2001-03-30,61.56359625515716
2001-04-02,61.597661972973704
2001-04-03,62.83148221122502
2001-04-04,63.00284820116955
2001-04-05,62.86458877582467
2001-04-06,63.349859169934184
2001-04-09,63.79869949444044
2001-04-10,63.71919558904065
2001-04-11,63.445426067164675
2001-04-12,64.12453484551081
2001-04-13,64.12453484551081
2001-04-16,64.25046985932306
2001-04-17,62.43963532195895
2001-04-18,62.204107701622355
2001-04-19,65.02027155553377
2001-04-20,65.93587149631993
2001-04-23,63.55327160043686
2001-04-24,63.1788786708456
2001-04-25,63.56633653096363
2001-04-26,64.02496217758056
2001-04-27,65.35145437852256
2001-04-30,65.85488912949856
2001-05-01,66.43645430068638
2001-05-02,67.09755568707182
2001-05-03,67.51594697114848
2001-05-04,66.53819908423031
2001-05-07,65.95972641501163
2001-05-08,65.51200574759338
2001-05-09,65.71823473506787
2001-05-10,67.1174436952696
2001-05-11,66.43059379494537
2001-05-14,65.86035729579234
2001-05-15,66.02293306001322
2001-05-16,66.37006177400407
2001-05-17,68.08865365529651
2001-05-18,67.88603408366292
2001-05-21,67.95748109416915
2001-05-22,68.0850139510278
2001-05-23,67.56618640709598
2001-05-24,67.68311642791409
2001-05-25,67.46090548637545
2001-05-28,67.382842318758
2001-05-29,66.69440191109517
2001-05-30,65.8204769914172
2001-05-31,64.44303125679558
2001-06-01,64.38216992784004
2001-06-04,64.21752969787356
2001-06-05,66.48659000353874
2001-06-06,67.78805180324282
2001-06-07,68.34882493899167
2001-06-08,68.15842909074468
2001-06-11,67.27089699180183
2001-06-12,68.03214516578507
2001-06-13,69.5091043384442
2001-06-14,68.8182303862646
2001-06-15,67.90358548406206
2001-06-18,67.07170760354985
2001-06-19,67.2915925265232
2001-06-20,66.26285090837935
2001-06-21,66.00897238906552
2001-06-22,66.55118777985453
2001-06-25,66.0801843753284
2001-06-26,67.01311633704503
2001-06-27,67.31996478320818
2001-06-28,66.88136237204289
2001-06-29,65.84054109514324
2001-07-02,67.25027505701873
2001-07-03,67.56193500167511
2001-07-04,67.79128256828561
2001-07-05,68.2033913193586
2001-07-06,68.30177913023877
2001-07-09,68.69668533179977
2001-07-10,69.70755786645753
2001-07-11,69.3786595937244
2001-07-12,68.60694224725559
2001-07-13,69.13817082421576
2001-07-16,69.48050844721246
2001-07-17,69.133486636447
2001-07-18,70.19626229809849
2001-07-19,71.30941617828833
2001-07-20,70.97208196207481
2001-07-23,72.03300548632168
2001-07-24,72.54802597300339
2001-07-25,72.93608825860653
2001-07-26,73.21482411123229
2001-07-27,73.26892760546878
2001-07-30,73.6368604932999
2001-07-31,73.77247487486954
2001-08-01,73.29023629726491
2001-08-02,73.0255954950083
2001-08-03,72.54677428860015
2001-08-06,71.58428899589792
2001-08-07,71.12329676523711
2001-08-08,71.88323509252847
2001-08-09,73.07478958390581
2001-08-10,73.51303724756468
2001-08-13,73.3992967596283
2001-08-14,73.45963017806025
2001-08-15,74.3416143253645
2001-08-16,74.01159256953378
2001-08-17,75.24875904192211
2001-08-20,74.06346458723527
2001-08-21,74.45302985552529
2001-08-22,75.32200200291936
