Date,SPAIN VALUE
1974-12-31,100.0
1975-01-31,97.29883
1975-02-28,95.78598
1975-03-31,91.19269
1975-04-30,98.06388
1975-05-30,92.42505
1975-06-30,91.42736
1975-07-31,86.62568
1975-08-29,87.07177
1975-09-30,84.06126
1975-10-31,90.22095
1975-11-28,99.40288
1975-12-31,97.03874
1976-01-30,87.21748
1976-02-27,74.16101
1976-03-31,75.62054
1976-04-30,75.17775
1976-05-31,71.38633
1976-06-30,65.98762
1976-07-30,65.44984
1976-08-31,65.45179
1976-09-30,69.32873
1976-10-29,67.02027
1976-11-30,63.87712
1976-12-31,61.70121
1977-01-31,56.46785
1977-02-28,59.99686
1977-03-31,56.70962
1977-04-29,58.03431
1977-05-31,57.02947
1977-06-30,56.97566
1977-07-29,43.30222
1977-08-31,44.58072
1977-09-30,41.14864
1977-10-31,41.27696
1977-11-30,40.32845
1977-12-30,44.39388
1978-01-31,42.76364
1978-02-28,42.72712
1978-03-31,43.44577
1978-04-28,43.6726
1978-05-31,45.71782
1978-06-30,47.99138
1978-07-31,48.89549
1978-08-31,49.78147
1978-09-29,48.82187
1978-10-31,51.84125
1978-11-30,45.9045
1978-12-29,46.20893
1979-01-31,44.95664
1979-02-28,47.94406
1979-03-30,54.8094
1979-04-30,51.441
1979-05-31,51.89819
1979-06-29,54.0972
1979-07-31,51.32923
1979-08-31,51.16844
1979-09-28,49.16907
1979-10-31,49.87425
1979-11-30,49.01334
1979-12-31,51.94837
1980-01-31,50.81713
1980-02-29,50.95549
1980-03-31,47.18897
1980-04-30,48.45936
1980-05-30,50.58391
1980-06-30,56.36726
1980-07-31,53.21109
1980-08-29,54.08116
1980-09-30,55.74736
1980-10-31,54.29962
1980-11-28,50.88097
1980-12-31,53.49993
1981-01-30,49.41684
1981-02-27,48.4522
1981-03-31,49.02791
1981-04-30,48.67294
1981-05-29,51.52211
1981-06-30,60.08836
1981-07-31,52.58832
1981-08-31,58.20997
1981-09-30,57.33314
1981-10-30,56.8485
1981-11-30,59.33529
1981-12-31,56.4557
1982-01-29,53.00199
1982-02-26,51.55738
1982-03-31,49.39556
1982-04-30,52.75711
1982-05-31,51.56664
1982-06-30,47.66794
1982-07-30,46.0029
1982-08-31,42.65598
1982-09-30,40.50757
1982-10-29,42.47516
1982-11-30,43.78868
1982-12-31,41.40711
1983-01-31,39.10745
1983-02-28,40.05336
1983-03-31,41.76513
1983-04-29,43.11727
1983-05-31,47.64173
1983-06-30,45.92812
1983-07-29,43.24414
1983-08-31,41.39799
1983-09-30,42.85013
1983-10-31,46.51679
1983-11-30,45.64985
1983-12-30,37.90193
1984-01-31,40.04346
1984-02-29,49.20242
1984-03-30,50.82493
1984-04-30,49.45112
1984-05-31,51.09281
1984-06-29,51.87745
1984-07-31,54.95947
1984-08-31,58.73456
1984-09-28,64.47361
1984-10-31,61.76343
1984-11-30,64.07968
1984-12-31,65.02411
1985-01-31,82.03509
1985-02-28,75.77366
1985-03-29,82.79439
1985-04-30,79.18119
1985-05-31,79.51442
1985-06-28,76.4726
1985-07-31,82.43749
1985-08-30,81.97424
1985-09-30,84.49051
1985-10-31,92.3181
1985-11-29,99.2051
1985-12-31,102.34993
1986-01-31,107.61913
1986-02-28,136.2488
1986-03-31,155.97611
1986-04-30,183.24251
1986-05-30,182.1945
1986-06-30,176.24345
1986-07-31,175.18245
1986-08-29,191.93197
1986-09-30,190.85767
1986-10-31,165.88717
1986-11-28,173.9124
1986-12-31,180.08889
1987-01-30,180.36612
1987-02-27,178.97512
1987-03-31,162.56865
1987-04-30,158.06319
1987-05-29,168.63621
1987-06-30,191.59933
1987-07-31,226.99312
1987-08-31,260.9614
1987-09-30,247.35233
1987-10-30,195.04499
1987-11-30,214.50301
1987-12-31,224.96174
1988-01-29,236.02291
1988-02-29,238.46759
1988-03-31,264.92211
1988-04-29,262.60683
1988-05-31,260.61819
1988-06-30,264.74885
1988-07-29,255.12109
1988-08-31,239.74389
1988-09-30,238.58365
1988-10-31,254.4617
1988-11-30,249.98056
1988-12-30,247.07066
1989-01-31,251.65966
1989-02-28,242.59535
1989-03-31,246.68919
1989-04-28,264.01172
1989-05-31,257.7957
1989-06-30,257.9496
1989-07-31,268.86549
1989-08-31,273.51413
1989-09-29,292.44393
1989-10-31,279.92076
1989-11-30,279.593
1989-12-29,292.15993
1990-01-31,281.93414
1990-02-28,276.71601
1990-03-30,259.26401
1990-04-30,287.61066
1990-05-31,298.58666
1990-06-29,325.40281
1990-07-31,334.83284
1990-08-31,294.53433
1990-09-28,251.72552
1990-10-31,279.61495
1990-11-30,277.17478
1990-12-31,276.32822
1991-01-31,291.22862
1991-02-28,327.47451
1991-03-29,323.09182
1991-04-30,307.00466
1991-05-31,323.5016
1991-06-28,292.92447
1991-07-31,291.81784
1991-08-30,302.53004
1991-09-30,327.13975
1991-10-31,330.40669
1991-11-29,313.68612
1991-12-31,340.61046
1992-01-31,329.04379
1992-02-28,343.48815
1992-03-31,323.59681
1992-04-30,313.2375
1992-05-29,351.09237
1992-06-30,323.30967
1992-07-31,305.57985
1992-08-31,298.62311
1992-09-30,264.46104
1992-10-30,241.6519
1992-11-30,254.52439
1992-12-31,252.98365
1993-01-29,285.33457
1993-02-26,279.08779
1993-03-31,298.12605
1993-04-30,295.25488
1993-05-31,289.51002
1993-06-30,287.03415
1993-07-30,264.76049
1993-08-31,324.08724
1993-09-30,317.77711
1993-10-29,331.00931
1993-11-30,292.53835
1993-12-31,318.56447
1994-01-31,352.48266
1994-02-28,331.08673
1994-03-31,310.08906
1994-04-29,330.00747
1994-05-31,332.41098
1994-06-30,317.96794
1994-07-29,336.30849
1994-08-31,330.7343
1994-09-30,325.65449
1994-10-31,332.60136
1994-11-30,326.17611
1994-12-30,307.07656
1995-01-31,306.0962
1995-02-28,311.97793
1995-03-31,304.49784
1995-04-28,319.54754
1995-05-31,339.02131
1995-06-30,342.0519
1995-07-31,365.39462
1995-08-31,355.29554
