Date,NETHERLANDS VALUE
1974-12-31,100.0
1975-01-31,125.70156
1975-02-28,137.50661
1975-03-31,135.10969
1975-04-30,138.30271
1975-05-30,132.66134
1975-06-30,139.49698
1975-07-31,131.04179
1975-08-29,132.26249
1975-09-30,121.12602
1975-10-31,132.72393
1975-11-28,142.2313
1975-12-31,153.13754
1976-01-30,168.40876
1976-02-27,165.18987
1976-03-31,175.59883
1976-04-30,176.11668
1976-05-31,173.86745
1976-06-30,169.88222
1976-07-30,168.91972
1976-08-31,168.60162
1976-09-30,163.06102
1976-10-29,159.65482
1976-11-30,164.30209
1976-12-31,173.80512
1977-01-31,172.1448
1977-02-28,177.06919
1977-03-31,183.32736
1977-04-29,203.03953
1977-05-31,190.16984
1977-06-30,186.98341
1977-07-29,193.55349
1977-08-31,183.63728
1977-09-30,182.87389
1977-10-31,187.98075
1977-11-30,191.99835
1977-12-30,199.44624
1978-01-31,200.3279
1978-02-28,205.93459
1978-03-31,211.64704
1978-04-28,207.89785
1978-05-31,216.07207
1978-06-30,215.09008
1978-07-31,220.25893
1978-08-31,244.14509
1978-09-29,244.87716
1978-10-31,249.08511
1978-11-30,228.51163
1978-12-29,242.93919
1979-01-31,243.71649
1979-02-28,237.39923
1979-03-30,244.22687
1979-04-30,246.84192
1979-05-31,226.70034
1979-06-29,240.61592
1979-07-31,244.11831
1979-08-31,250.41807
1979-09-28,258.74104
1979-10-31,236.18926
1979-11-30,233.11802
1979-12-31,238.82874
1980-01-31,233.60891
1980-02-29,217.93518
1980-03-31,188.07919
1980-04-30,222.31226
1980-05-30,224.6869
1980-06-30,230.13676
1980-07-31,244.22702
1980-08-29,237.96482
1980-09-30,232.9572
1980-10-31,218.98852
1980-11-28,213.80412
1980-12-31,207.27251
1981-01-30,203.10487
1981-02-27,211.86535
1981-03-31,220.39446
1981-04-30,222.86004
1981-05-29,208.41133
1981-06-30,214.88664
1981-07-31,203.82527
1981-08-31,206.99723
1981-09-30,193.22586
1981-10-30,200.16185
1981-11-30,215.66891
1981-12-31,213.13479
1982-01-29,224.77056
1982-02-26,220.48653
1982-03-31,224.07931
1982-04-30,244.99162
1982-05-31,236.05037
1982-06-30,213.93937
1982-07-30,213.32425
1982-08-31,216.3765
1982-09-30,217.92815
1982-10-29,237.39794
1982-11-30,250.16485
1982-12-31,272.17208
1983-01-31,298.80567
1983-02-28,319.33598
1983-03-31,375.45571
1983-04-29,397.63401
1983-05-31,389.80973
1983-06-30,430.52764
1983-07-29,426.00951
1983-08-31,424.4558
1983-09-30,423.85876
1983-10-31,402.48626
1983-11-30,408.32348
1983-12-30,418.62974
1984-01-31,468.4969
1984-02-29,480.63686
1984-03-30,488.3927
1984-04-30,475.49618
1984-05-31,458.9144
1984-06-29,456.03672
1984-07-31,402.99295
1984-08-31,478.40448
1984-09-28,501.35319
1984-10-31,483.89144
1984-11-30,472.04994
1984-12-31,473.22355
1985-01-31,514.37404
1985-02-28,516.10311
1985-03-29,546.37226
1985-04-30,570.38382
1985-05-31,554.93996
1985-06-28,566.71784
1985-07-31,606.96458
1985-08-30,618.31953
1985-09-30,616.44484
1985-10-31,643.67913
1985-11-29,667.46862
1985-12-31,676.37926
