Date,ITALY VALUE
1974-12-31,100.0
1975-01-31,109.97269
1975-02-28,124.67682
1975-03-31,118.4545
1975-04-30,117.78194
1975-05-30,112.29206
1975-06-30,98.25497
1975-07-31,83.88191
1975-08-29,84.64846
1975-09-30,79.63563
1975-10-31,82.81747
1975-11-28,87.7438
1975-12-31,88.56765
1976-01-30,87.72746
1976-02-27,87.0159
1976-03-31,69.34214
1976-04-30,62.14814
1976-05-31,68.15667
1976-06-30,75.45361
1976-07-30,80.32574
1976-08-31,76.95149
1976-09-30,70.83834
1976-10-29,60.59885
1976-11-30,66.44017
1976-12-31,71.79008
1977-01-31,65.564
1977-02-28,64.80353
1977-03-31,61.48742
1977-04-29,58.01838
1977-05-31,53.81511
1977-06-30,56.41216
1977-07-29,50.12039
1977-08-31,60.38439
1977-09-30,58.18372
1977-10-31,54.71937
1977-11-30,51.19606
1977-12-30,50.62628
1978-01-31,54.34707
1978-02-28,57.26694
1978-03-31,58.51432
1978-04-28,57.20285
1978-05-31,60.66591
1978-06-30,60.00808
1978-07-31,61.78943
1978-08-31,68.12411
1978-09-29,83.79597
1978-10-31,83.22649
1978-11-30,74.03207
1978-12-29,75.67273
1979-01-31,78.52581
1979-02-28,83.85024
1979-03-30,83.00023
1979-04-30,77.66892
1979-05-31,78.74355
1979-06-29,78.59932
1979-07-31,83.20645
1979-08-31,87.67048
1979-09-28,88.67537
1979-10-31,80.71635
1979-11-30,78.4743
1979-12-31,76.00843
1980-01-31,78.25168
1980-02-29,80.50039
1980-03-31,75.20922
1980-04-30,80.2856
1980-05-30,79.03075
1980-06-30,80.01305
1980-07-31,81.88247
1980-08-29,91.30705
1980-09-30,101.53507
1980-10-31,133.46042
1980-11-28,122.68409
1980-12-31,120.54715
1981-01-30,133.66871
1981-02-27,137.09392
1981-03-31,146.39399
1981-04-30,157.17805
1981-05-29,158.2008
1981-06-30,126.51793
1981-07-31,113.58125
1981-08-31,125.2793
1981-09-30,109.53693
1981-10-30,101.72964
1981-11-30,108.10291
1981-12-31,104.02829
1982-01-29,100.61661
1982-02-26,102.5848
1982-03-31,101.28787
1982-04-30,99.20158
1982-05-31,91.58629
1982-06-30,78.57595
1982-07-30,82.71602
1982-08-31,83.87984
1982-09-30,79.52023
1982-10-29,78.18137
1982-11-30,85.20363
1982-12-31,88.03039
1983-01-31,100.0476
1983-02-28,109.54713
1983-03-31,116.79413
1983-04-29,105.18799
1983-05-31,97.93906
1983-06-30,97.62422
1983-07-29,97.53413
1983-08-31,95.79921
1983-09-30,91.58828
1983-10-31,84.57996
1983-11-30,89.32127
1983-12-30,89.16732
1984-01-31,105.16589
1984-02-29,106.27642
1984-03-30,106.4761
1984-04-30,100.23688
1984-05-31,96.80429
1984-06-29,98.17186
1984-07-31,92.76604
1984-08-31,98.94806
1984-09-28,89.82715
1984-10-31,88.62747
1984-11-30,89.71719
1984-12-31,98.16871
1985-01-31,110.5277
1985-02-28,108.45019
1985-03-29,113.17635
1985-04-30,115.36009
1985-05-31,125.71952
1985-06-28,145.39377
1985-07-31,160.40889
1985-08-30,169.97851
1985-09-30,188.66904
1985-10-31,194.70918
1985-11-29,210.85007
1985-12-31,227.69578
1986-01-31,244.82941
1986-02-28,326.78686
1986-03-31,380.70837
1986-04-30,407.86345
1986-05-30,382.37087
